"繁"	"简"	"国际音标"	"吴语拼音"	"备注"	"调类"	"调值"								
"稞"	"稞"	"kʰu53"	"khu1"		1	53		"kh"	"u"	"kʰ"	"u"			
"萵"	"莴"	"βu53"	"vu1"		1	53		"v"	"u"	"β"	"u"			
"鉈"	"铊"	"tʰɑ53"	"tha1"	"化学元素Tl。"	1	53		"th"	"a"	"tʰ"	"ɑ"			
"鉈"	"铊"	"du22"	"du2"	"秤~。"	2	22		"d"	"u"	"d"	"u"			
"砣"	"砣"	"du22"	"du2"	"秤~。"	2	22		"d"	"u"	"d"	"u"			
"坨"	"坨"	"du22"	"du2"		2	22		"d"	"u"	"d"	"u"			
"陀"	"陀"	"du22"	"du2"		2	22		"d"	"u"	"d"	"u"			
"矬"	"矬"	"zu22"	"zu2"		2	22		"z"	"u"	"z"	"u"			
"礁"	"礁"	"tsiɔ53"	"tsiau1"		1	53		"ts"	"iau"	"ts"	"iɔ"			
"呱"	"呱"	"kuɑk5"	"kuaq7"	"~~叫。"	7	5		"k"	"uaq"	"k"	"uɑk"			
"呱"	"呱"	"ku53"	"ku1"	"~~坠地。"	1	53		"k"	"u"	"k"	"u"			
"趾"	"趾"	"tsɿ44"	"tsy3"		3	44		"ts"	"y"	"ts"	"ɿ"			
"籪"	"簖"	"ɗø35"	"toe5"	"一种渔具。"	5	35		"t"	"oe"	"ɗ"	"ø"			
"榨"	"榨"	"tsiɔ35"	"tsiau5"		5	35		"ts"	"iau"	"ts"	"iɔ"			
"墟"	"墟"	"tɕʰy53"	"chiu1"		1	53		"ch"	"iu"	"tɕʰ"	"y"			
"樞"	"枢"	"sy53"	"siu1"		1	53		"s"	"iu"	"s"	"y"			
"岱"	"岱"	"de13"	"de6"		6	13		"d"	"e"	"d"	"e"			
"咖"	"咖"	"kʰɑ53"	"kha1"	"~啡。"	1	53		"kh"	"a"	"kʰ"	"ɑ"			
"咖"	"咖"	"kɑ53"	"ka1"	"~喱。"	1	53		"k"	"a"	"k"	"ɑ"			
"啡"	"啡"	"ɸi53"	"fi1"		1	53		"f"	"i"	"ɸ"	"i"			
"喱"	"喱"	"li22"	"li2"		2	22		"l"	"i"	"l"	"i"			
"嗎"	"吗"	"mo213"	"mo4"	"~啡。"	4	213		"m"	"o"	"m"	"o"			
"嗎"	"吗"	"mɑ53"	"ma1"		1	53		"m"	"a"	"m"	"ɑ"			
"卡"	"卡"	"kʰɑ44"	"kha3"		3	44		"kh"	"a"	"kʰ"	"ɑ"			
"弇"	"弇"	"i44"	"i3"	"~山园（太仓的一座园林）。"	3	44			"i"		"i"			
"忒"	"忒"	"tʰʌk5"	"theoq7"	"副词，相当于普通话的“太”。"	7	5		"th"	"eoq"	"tʰ"	"ʌk"			
"哉"	"哉"	"tse53"	"tse1"		1	53		"ts"	"e"	"ts"	"e"			
"垃"	"垃"	"lɑ22"	"la2"		2	22		"l"	"a"	"l"	"ɑ"			
"圾"	"圾"	"si53"	"si1"		1	53		"s"	"i"	"s"	"i"			
"垃"	"垃"	"ləʔ23"	"leq8"		8	23		"l"	"eq"	"l"	"əʔ"			
"圾"	"圾"	"səʔ5"	"seq7"		7	5		"s"	"eq"	"s"	"əʔ"			
"漾"	"漾"	"ɦiã13"	"yan6"		6	13		"y"	"an"	"ɦ"	"iã"			
"羨"	"羡"	"zi13"	"zi6"		6	13		"z"	"i"	"z"	"i"			
"瀆"	"渎"	"dok23"	"doq8"		8	23		"d"	"oq"	"d"	"ok"			
"凜"	"凛"	"lin213"	"lin4"		4	213		"l"	"in"	"l"	"in"			
"冽"	"冽"	"liɪʔ23"	"liq8"		8	23		"l"	"iq"	"l"	"iɪʔ"			
"涇"	"泾"	"tɕiʌŋ53"	"cieon1"		1	53		"c"	"ieon"	"tɕ"	"iʌŋ"			
"瀝"	"沥"	"liɪʔ5"	"liq7"		7	5		"l"	"iq"	"l"	"iɪʔ"			
"澱"	"淀"	"di13"	"di6"	"~粉；积~；沉~；昆山、青浦一带的湖泊通名：薛~（又名“~山湖”），西漾~，大~，太史~。"	6	13		"d"	"i"	"d"	"i"			
"淀"	"淀"	"di13"	"di6"	"在华北地区指浅水湖泊，如位于河北雄县、容城、安新、任丘的“白洋淀”。上海市杨浦区亦有一湖泊名“白洋淀”。"	6	13		"d"	"i"	"d"	"i"			
"燴"	"烩"	"ɸe35"	"fe5"		5	35		"f"	"e"	"ɸ"	"e"			
"澮"	"浍"	"ɸe35"	"fe5"		5	35		"f"	"e"	"ɸ"	"e"			
"劊"	"刽"	"kue35"	"kue5"		5	35		"k"	"ue"	"k"	"ue"			
"儈"	"侩"	"kue35"	"kue5"		5	35		"k"	"ue"	"k"	"ue"			
"噲"	"哙"	"kʰuɑ35"	"khua5"		5	35		"kh"	"ua"	"kʰ"	"uɑ"			
"厾"	"厾"	"ɗok5"	"toq7"	"掷，扔，甩：~篮球。"	7	5		"t"	"oq"	"ɗ"	"ok"			
"瘪"	"瘪"	"ɓiɪʔ5"	"piq7"		7	5		"p"	"iq"	"ɓ"	"iɪʔ"			
"殻"	"壳"	"kʰɒk5"	"khaoq7"		7	5		"kh"	"aoq"	"kʰ"	"ɒk"			
"詼"	"诙"	"kʰue53"	"khue1"		1	53		"kh"	"ue"	"kʰ"	"ue"			
"諧"	"谐"	"ɦiɛ22"	"yae2"	"【文读】"	2	22		"y"	"ae"	"ɦ"	"iɛ"			
"吆"	"吆"	"iɔ53"	"iau1"		1	53			"iau"		"iɔ"			
"瑶"	"瑶"	"ɦiɔ22"	"yau2"		2	22		"y"	"au"	"ɦ"	"iɔ"			
"徭"	"徭"	"ɦiɔ22"	"yau2"		2	22		"y"	"au"	"ɦ"	"iɔ"			
"肴"	"肴"	"ɦiɔ22"	"yau2"		2	22		"y"	"au"	"ɦ"	"iɔ"			
"崤"	"崤"	"ɦiɔ22"	"yau2"		2	22		"y"	"au"	"ɦ"	"iɔ"			
"轄"	"辖"	"ɸæʔ5"	"faeq7"		7	5		"f"	"aeq"	"ɸ"	"æʔ"			
"痊"	"痊"	"tsʰi53"	"tshi1"		1	53		"tsh"	"i"	"tsʰ"	"i"			
"詮"	"诠"	"tsʰi53"	"tshi1"		1	53		"tsh"	"i"	"tsʰ"	"i"			
"銓"	"铨"	"tsʰi53"	"tshi1"		1	53		"tsh"	"i"	"tsʰ"	"i"			
"痙"	"痉"	"dʑiʌŋ213"	"jieon4"		4	213		"j"	"ieon"	"dʑ"	"iʌŋ"			
"逾"	"逾"	"ɦy22"	"yiu2"		2	22		"y"	"iu"	"ɦ"	"y"			
"渝"	"渝"	"ɦy22"	"yiu2"		2	22		"y"	"iu"	"ɦ"	"y"			
"瑜"	"瑜"	"ɦy22"	"yiu2"		2	22		"y"	"iu"	"ɦ"	"y"			
"諭"	"谕"	"ɦy13"	"yiu6"		6	13		"y"	"iu"	"ɦ"	"y"			
"恤"	"恤"	"siɪʔ5"	"siq7"		7	5		"s"	"iq"	"s"	"iɪʔ"			
"戢"	"戢"	"tɕiɪʔ5"	"ciq7"	"大~洋（杭州湾的一部分洋面）；大~山，小~山（浙江嵊泗地名，杭州湾岛屿）。"	7	5		"c"	"iq"	"tɕ"	"iɪʔ"			
"縷"	"缕"	"ly213"	"liu4"		4	213		"l"	"iu"	"l"	"y"			
"泐"	"泐"	"lʌk23"	"leoq8"	"沙洲上的河流：石皮~（上海浦东地名）；偷鸭~（上海奉贤地名）。"	8	23		"l"	"eoq"	"l"	"ʌk"			
"廿"	"廿"	"ȵiɛ13"	"gniae6"	"二十。"	6	13		"gn"	"iae"	"ȵ"	"iɛ"			
"廿"	"廿"	"ȵiɑ13"	"gnia6"	"~五（二十五）。"	6	13		"gn"	"ia"	"ȵ"	"iɑ"			
"卅"	"卅"	"sæʔ5"	"saeq7"	"三十。"	7	5		"s"	"aeq"	"s"	"æʔ"			
"乞"	"乞"	"tɕʰiɪʔ5"	"chiq7"		7	5		"ch"	"iq"	"tɕʰ"	"iɪʔ"			
"漴"	"漴"	"tsɒ̃35"	"tsaon5"	"~缺（上海奉贤地名）。"	5	35		"ts"	"aon"	"ts"	"ɒ̃"			
"幢"	"幢"	"zɒ̃22"	"zaon2"	"经~。"	2	22		"z"	"aon"	"z"	"ɒ̃"			
"幢"	"幢"	"zɒ̃13"	"zaon6"	"一~楼。"	6	13		"z"	"aon"	"z"	"ɒ̃"			
"甸"	"甸"	"di13"	"di6"		6	13		"d"	"i"	"d"	"i"			
"涮"	"涮"	"se35"	"se5"		5	35		"s"	"e"	"s"	"e"			
"淙"	"淙"	"zoŋ22"	"zon2"		2	22		"z"	"on"	"z"	"oŋ"			
"嗲"	"嗲"	"ɗiɑ44"	"tia3"	"发~。"	3	44		"t"	"ia"	"ɗ"	"iɑ"			
"茆"	"茆"	"mɔ213"	"mau4"	"白~（江苏常熟地名）；白~塘（江苏常熟境内的一条河流）。"	4	213		"m"	"au"	"m"	"ɔ"			
"溯"	"溯"	"su35"	"su5"		5	35		"s"	"u"	"s"	"u"			
"塑"	"塑"	"su35"	"su5"		5	35		"s"	"u"	"s"	"u"			
"坤"	"坤"	"kʰuəŋ53"	"khuen1"		1	53		"kh"	"uen"	"kʰ"	"uəŋ"			
"睏"	"睏"	"kʰuəŋ35"	"khuen5"	"睡：~觉。"	5	35		"kh"	"uen"	"kʰ"	"uəŋ"			
"胭"	"胭"	"i53"	"i1"		1	53			"i"		"i"			
"蕪"	"芜"	"βu22"	"vu2"		2	22		"v"	"u"	"β"	"u"			
"嘸"	"呒"	"m̩22"	"m2"	"“无”的俗字。"	2	22			"m"		"m̩"			
"猡"	"猡"	"lu22"	"lu2"	"猪~。"	2	22		"l"	"u"	"l"	"u"			
"沽"	"沽"	"ku53"	"ku1"		1	53		"k"	"u"	"k"	"u"			
"穢"	"秽"	"ɸe35"	"fe5"		5	35		"f"	"e"	"ɸ"	"e"			
"噦"	"哕"	"yœʔ5"	"ioeq7"		7	5			"ioeq"		"yœʔ"			
"叽"	"叽"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"			
"哩"	"哩"	"li53"	"li1"		1	53		"l"	"i"	"l"	"i"			
"咕"	"咕"	"ku53"	"ku1"		1	53		"k"	"u"	"k"	"u"			
"噜"	"噜"	"lu53"	"lu1"		1	53		"l"	"u"	"l"	"u"			
"咪"	"咪"	"mi53"	"mi1"		1	53		"m"	"i"	"m"	"i"			
"嘛"	"嘛"	"mɑ53"	"ma1"		1	53		"m"	"a"	"m"	"ɑ"			
"啦"	"啦"	"lɑ53"	"la1"		1	53		"l"	"a"	"l"	"ɑ"			
"蟛"	"蟛"	"bã22"	"ban2"		2	22		"b"	"an"	"b"	"ã"			
"蛸"	"蛸"	"sɔ53"	"sau1"		1	53		"s"	"au"	"s"	"ɔ"			
"蜞"	"蜞"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"蕾"	"蕾"	"le22"	"le2"		2	22		"l"	"e"	"l"	"e"			
"闵"	"闵"	"min213"	"min4"		4	213		"m"	"in"	"m"	"in"			
"悯"	"悯"	"min213"	"min4"		4	213		"m"	"in"	"m"	"in"			
"皿"	"皿"	"min213"	"min4"		4	213		"m"	"in"	"m"	"in"			
"旷"	"旷"	"kʰuɒ̃35"	"khuaon5"		5	35		"kh"	"uaon"	"kʰ"	"uɒ̃"			
"隴"	"陇"	"loŋ213"	"lon4"		4	213		"l"	"on"	"l"	"oŋ"			
"垄"	"垄"	"loŋ213"	"lon4"		4	213		"l"	"on"	"l"	"oŋ"			
"垡"	"垡"	"βæʔ23"	"vaeq8"		8	23		"v"	"aeq"	"β"	"æʔ"			
"貸"	"贷"	"de13"	"de6"		6	13		"d"	"e"	"d"	"e"			
"瘴"	"瘴"	"tsɒ̃35"	"tsaon5"		5	35		"ts"	"aon"	"ts"	"ɒ̃"			
"疼"	"疼"	"dəŋ22"	"den2"		2	22		"d"	"en"	"d"	"əŋ"			
"咳"	"咳"	"kʰəʔ5"	"kheq7"		7	5		"kh"	"eq"	"kʰ"	"əʔ"			
"痰"	"痰"	"dɛ22"	"dae2"		2	22		"d"	"ae"	"d"	"ɛ"			
"銃"	"铳"	"tsʰoŋ35"	"tshon5"		5	35		"tsh"	"on"	"tsʰ"	"oŋ"			
"訶"	"诃"	"kʰu53"	"khu1"		1	53		"kh"	"u"	"kʰ"	"u"			
"呵"	"呵"	"ɸu53"	"fu1"	"~斥；一气~成。"	1	53		"f"	"u"	"ɸ"	"u"			
"呵"	"呵"	"hɑ53"	"ha1"	"~气。"	1	53		"h"	"a"	"h"	"ɑ"			
"呵"	"呵"	"hɔ53"	"hau1"	"~欠。"	1	53		"h"	"au"	"h"	"ɔ"			
"嗬"	"嗬"	"ɸu53"	"fu1"		1	53		"f"	"u"	"ɸ"	"u"			
"喆"	"喆"	"tsəʔ5"	"tseq7"		7	5		"ts"	"eq"	"ts"	"əʔ"			
"珈"	"珈"	"kɑ53"	"ka1"		1	53		"k"	"a"	"k"	"ɑ"			
"淑"	"淑"	"zok23"	"zoq8"		8	23		"z"	"oq"	"z"	"ok"			
"廈"	"厦"	"ɦɔ213"	"ghau4"		4	213		"gh"	"au"	"ɦ"	"ɔ"			
"囊"	"囊"	"nɒ̃22"	"naon2"		2	22		"n"	"aon"	"n"	"ɒ̃"			
"饢"	"馕"	"nɒ̃22"	"naon2"		2	22		"n"	"aon"	"n"	"ɒ̃"			
"壤"	"壤"	"ȵiã213"	"gnian4"	"【白读】"	4	213		"gn"	"ian"	"ȵ"	"iã"			
"壤"	"壤"	"zã213"	"zan4"	"【文读】"	4	213		"z"	"an"	"z"	"ã"			
"攘"	"攘"	"ȵiã213"	"gnian4"	"【白读】"	4	213		"gn"	"ian"	"ȵ"	"iã"			
"攘"	"攘"	"zã213"	"zan4"	"【文读】"	4	213		"z"	"an"	"z"	"ã"			
"拄"	"拄"	"tsy44"	"tsiu3"		3	44		"ts"	"iu"	"ts"	"y"			
"躊"	"踌"	"zɤ22"	"zeu2"		2	22		"z"	"eu"	"z"	"ɤ"			
"躇"	"躇"	"zy22"	"ziu2"		2	22		"z"	"iu"	"z"	"y"			
"蹭"	"蹭"	"tsʰəŋ35"	"tshen5"		5	35		"tsh"	"en"	"tsʰ"	"əŋ"			
"襄"	"襄"	"ɕiã53"	"shian1"		1	53		"sh"	"ian"	"ɕ"	"iã"			
"鑲"	"镶"	"ɕiã53"	"shian1"		1	53		"sh"	"ian"	"ɕ"	"iã"			
"衷"	"衷"	"tsoŋ53"	"tson1"		1	53		"ts"	"on"	"ts"	"oŋ"			
"癰"	"痈"	"ioŋ53"	"ion1"		1	53			"ion"		"ioŋ"			
"剌"	"剌"	"læʔ23"	"laeq8"		8	23		"l"	"aeq"	"l"	"æʔ"			
"闌"	"阑"	"lɛ22"	"lae2"		2	22		"l"	"ae"	"l"	"ɛ"			
"妨"	"妨"	"ɸɒ̃53"	"faon1"		1	53		"f"	"aon"	"ɸ"	"ɒ̃"			
"虱"	"虱"	"səʔ5"	"seq7"		7	5		"s"	"eq"	"s"	"əʔ"			
"螄"	"蛳"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"肆"	"肆"	"sɿ35"	"sy5"		5	35		"s"	"y"	"s"	"ɿ"			
"矢"	"矢"	"sɿ44"	"sy3"		3	44		"s"	"y"	"s"	"ɿ"			
"匙"	"匙"	"zɿ22"	"zy2"		2	22		"z"	"y"	"z"	"ɿ"			
"豉"	"豉"	"zɿ13"	"zy6"		6	13		"z"	"y"	"z"	"ɿ"			
"劾"	"劾"	"ɦʌk23"	"gheoq8"		8	23		"gh"	"eoq"	"ɦ"	"ʌk"			
"軾"	"轼"	"sʌk5"	"seoq7"		7	5		"s"	"eoq"	"s"	"ʌk"			
"拭"	"拭"	"sʌk5"	"seoq7"		7	5		"s"	"eoq"	"s"	"ʌk"			
"弑"	"弑"	"sɿ35"	"sy5"		5	35		"s"	"y"	"s"	"ɿ"			
"琵"	"琵"	"bi22"	"bi2"		2	22		"b"	"i"	"b"	"i"			
"琶"	"琶"	"bo22"	"bo2"		2	22		"b"	"o"	"b"	"o"			
"滗"	"滗"	"ɓiɪʔ5"	"piq7"		7	5		"p"	"iq"	"ɓ"	"iɪʔ"			
"蒂"	"蒂"	"ɗi35"	"ti5"		5	35		"t"	"i"	"ɗ"	"i"			
"渧"	"渧"	"ɗi35"	"ti5"		5	35		"t"	"i"	"ɗ"	"i"			
"諦"	"谛"	"ɗi35"	"ti5"		5	35		"t"	"i"	"ɗ"	"i"			
"浠"	"浠"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"			
"烯"	"烯"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"			
"熙"	"熙"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"			
"羲"	"羲"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"			
"曦"	"曦"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"			
"禧"	"禧"	"ɕi53"	"shi1"		1	53		"sh"	"i"	"ɕ"	"i"			
"囍"	"囍"	"ɕi44"	"shi3"		3	44		"sh"	"i"	"ɕ"	"i"			
"兮"	"兮"	"ɦi22"	"yi2"		2	22		"y"	"i"	"ɦ"	"i"			
"貳"	"贰"	"ȵi13"	"gni6"	"【白读】"	6	13		"gn"	"i"	"ȵ"	"i"			
"貳"	"贰"	"əl13"	"er6"	"【文读】"	6	13			"er"		"əl"			
"呢"	"呢"	"ȵi22"	"gni2"		2	22		"gn"	"i"	"ȵ"	"i"			
"妮"	"妮"	"ȵi22"	"gni2"		2	22		"gn"	"i"	"ȵ"	"i"			
"毅"	"毅"	"ȵi13"	"gni6"		6	13		"gn"	"i"	"ȵ"	"i"			
"羿"	"羿"	"ȵi13"	"gni6"		6	13		"gn"	"i"	"ȵ"	"i"			
"裔"	"裔"	"ɦi13"	"yi6"		6	13		"y"	"i"	"ɦ"	"i"			
"肄"	"肄"	"ɦi13"	"yi6"		6	13		"y"	"i"	"ɦ"	"i"			
"懿"	"懿"	"i35"	"i5"		5	35			"i"		"i"			
"瞖"	"瞖"	"i35"	"i5"		5	35			"i"		"i"			
"萁"	"萁"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"琪"	"琪"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"淇"	"淇"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"祺"	"祺"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"麒"	"麒"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"祈"	"祈"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"圻"	"圻"	"dʑi22"	"ji2"		2	22		"j"	"i"	"dʑ"	"i"			
"箕"	"箕"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"			
"薺"	"荠"	"zi22"	"zi2"	"荸~。"	2	22		"z"	"i"	"z"	"i"			
"薺"	"荠"	"zi213"	"zi4"	"~菜。"	4	213		"z"	"i"	"z"	"i"			
"霽"	"霁"	"tsi35"	"tsi5"		5	35		"ts"	"i"	"ts"	"i"			
"既"	"既"	"tɕi35"	"ci5"		5	35		"c"	"i"	"tɕ"	"i"			
"肌"	"肌"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"			
"冀"	"冀"	"tɕi35"	"ci5"		5	35		"c"	"i"	"tɕ"	"i"			
"靡"	"靡"	"mi213"	"mi4"		4	213		"m"	"i"	"m"	"i"			
"凄"	"凄"	"tsʰi53"	"tshi1"		1	53		"tsh"	"i"	"tsʰ"	"i"			
"淒"	"淒"	"tsʰi53"	"tshi1"		1	53		"tsh"	"i"	"tsʰ"	"i"			
"悽"	"悽"	"tsʰi53"	"tshi1"		1	53		"tsh"	"i"	"tsʰ"	"i"			
"萋"	"萋"	"tsʰi53"	"tshi1"		1	53		"tsh"	"i"	"tsʰ"	"i"			
"砌"	"砌"	"tsʰi35"	"tshi5"		5	35		"tsh"	"i"	"tsʰ"	"i"			
"莉"	"莉"	"li13"	"li6"		6	13		"l"	"i"	"l"	"i"			
"勵"	"励"	"li13"	"li6"		6	13		"l"	"i"	"l"	"i"			
"藜"	"藜"	"li22"	"li2"		2	22		"l"	"i"	"l"	"i"			
"厘"	"厘"	"li22"	"li2"		2	22		"l"	"i"	"l"	"i"			
"勩"	"勚"	"ɦi13"	"yi6"		6	13		"y"	"i"	"ɦ"	"i"			
"霏"	"霏"	"ɸi53"	"fi1"		1	53		"f"	"i"	"ɸ"	"i"			
"跛"	"跛"	"ɓu44"	"pu3"		3	44		"p"	"u"	"ɓ"	"u"			
"簸"	"簸"	"ɓu44"	"pu3"	"颠~。"	3	44		"p"	"u"	"ɓ"	"u"			
"簸"	"簸"	"ɓu35"	"pu5"	"~箕。"	5	35		"p"	"u"	"ɓ"	"u"			
"茉"	"茉"	"məʔ23"	"meq8"		8	23		"m"	"eq"	"m"	"əʔ"			
"唾"	"唾"	"tʰu35"	"thu5"		5	35		"th"	"u"	"tʰ"	"u"			
"椭"	"椭"	"tʰu44"	"thu3"		3	44		"th"	"u"	"tʰ"	"u"			
"簰"	"簰"	"bɑ22"	"ba2"		2	22		"b"	"a"	"b"	"ɑ"			
"簇"	"簇"	"tsʰok5"	"tshoq7"		7	5		"tsh"	"oq"	"tsʰ"	"ok"			
"訇"	"訇"	"hoŋ53"	"hon1"		1	53		"h"	"on"	"h"	"oŋ"			
"骰"	"骰"	"dɤ22"	"deu2"		2	22		"d"	"eu"	"d"	"ɤ"			
"耦"	"耦"	"ŋɤ213"	"ngeu4"		4	213		"ng"	"eu"	"ŋ"	"ɤ"			
"禺"	"禺"	"ȵy22"	"gniu2"		2	22		"gn"	"iu"	"ȵ"	"y"			
"隅"	"隅"	"ȵy22"	"gniu2"		2	22		"gn"	"iu"	"ȵ"	"y"			
"番"	"番"	"pʰe53"	"phe1"	"~禺（广东地名）。"	1	53		"ph"	"e"	"pʰ"	"e"			
"鄱"	"鄱"	"bu22"	"bu2"		2	22		"b"	"u"	"b"	"u"			
"莜"	"莜"	"ɦiɤ22"	"yeu2"		2	22		"y"	"eu"	"ɦ"	"iɤ"			
"揪"	"揪"	"tsiɤ53"	"tsieu1"		1	53		"ts"	"ieu"	"ts"	"iɤ"			
"臼"	"臼"	"dʑiɤ213"	"jieu4"		4	213		"j"	"ieu"	"dʑ"	"iɤ"			
"鳩"	"鸠"	"tɕiɤ53"	"cieu1"		1	53		"c"	"ieu"	"tɕ"	"iɤ"			
"廄"	"厩"	"tɕiɤ35"	"cieu5"		5	35		"c"	"ieu"	"tɕ"	"iɤ"			
"咎"	"咎"	"dʑiɤ213"	"jieu4"		4	213		"j"	"ieu"	"dʑ"	"iɤ"			
"灸"	"灸"	"tɕiɤ44"	"cieu3"		3	44		"c"	"ieu"	"tɕ"	"iɤ"			
"玖"	"玖"	"tɕiɤ44"	"cieu3"		3	44		"c"	"ieu"	"tɕ"	"iɤ"			
"啾"	"啾"	"tsiɤ53"	"tsieu1"		1	53		"ts"	"ieu"	"ts"	"iɤ"			
"柩"	"柩"	"dʑiɤ13"	"jieu6"		6	13		"j"	"ieu"	"dʑ"	"iɤ"			
"疚"	"疚"	"tɕiɤ35"	"cieu5"		5	35		"c"	"ieu"	"tɕ"	"iɤ"			
"鷲"	"鹫"	"ziɤ13"	"zieu6"		6	13		"z"	"ieu"	"z"	"iɤ"			
"鬮"	"阄"	"tɕiɤ53"	"cieu1"		1	53		"c"	"ieu"	"tɕ"	"iɤ"			
"酋"	"酋"	"ziɤ22"	"zieu2"		2	22		"z"	"ieu"	"z"	"iɤ"			
"湫"	"湫"	"tsʰiɤ53"	"tshieu1"		1	53		"tsh"	"ieu"	"tsʰ"	"iɤ"			
"恘"	"恘"	"tɕʰiɤ53"	"chieu1"	"坏。"	1	53		"ch"	"ieu"	"tɕʰ"	"iɤ"			
"坵"	"坵"	"tɕʰiɤ53"	"chieu1"		1	53		"ch"	"ieu"	"tɕʰ"	"iɤ"			
"邱"	"邱"	"tɕʰiɤ53"	"chieu1"		1	53		"ch"	"ieu"	"tɕʰ"	"iɤ"			
"裘"	"裘"	"dʑiɤ22"	"jieu2"		2	22		"j"	"ieu"	"dʑ"	"iɤ"			
"俅"	"俅"	"dʑiɤ22"	"jieu2"		2	22		"j"	"ieu"	"dʑ"	"iɤ"			
"逑"	"逑"	"dʑiɤ22"	"jieu2"		2	22		"j"	"ieu"	"dʑ"	"iɤ"			
"鰍"	"鳅"	"tsʰiɤ53"	"tshieu1"		1	53		"tsh"	"ieu"	"tsʰ"	"iɤ"			
"虬"	"虬"	"dʑiɤ22"	"jieu2"		2	22		"j"	"ieu"	"dʑ"	"iɤ"			
"糗"	"糗"	"tɕʰiɤ44"	"chieu3"		3	44		"ch"	"ieu"	"tɕʰ"	"iɤ"			
"蚯"	"蚯"	"tɕʰiɤ53"	"chieu1"		1	53		"ch"	"ieu"	"tɕʰ"	"iɤ"			
"蚓"	"蚓"	"ɦin213"	"yin4"		4	213		"y"	"in"	"ɦ"	"in"			
"荀"	"荀"	"zin22"	"zin2"		2	22		"z"	"in"	"z"	"in"			
"殉"	"殉"	"zin13"	"zin6"		6	13		"z"	"in"	"z"	"in"			
"詢"	"询"	"sin53"	"sin1"		1	53		"s"	"in"	"s"	"in"			
"峋"	"峋"	"sin53"	"sin1"		1	53		"s"	"in"	"s"	"in"			
"洵"	"洵"	"sin53"	"sin1"		1	53		"s"	"in"	"s"	"in"			
"郇"	"郇"	"sin53"	"sin1"		1	53		"s"	"in"	"s"	"in"			
"郡"	"郡"	"dʑioŋ13"	"jion6"		6	13		"j"	"ion"	"dʑ"	"ioŋ"			
"駒"	"驹"	"tɕy53"	"ciu1"		1	53		"c"	"iu"	"tɕ"	"y"			
"莒"	"莒"	"tɕy44"	"ciu3"		3	44		"c"	"iu"	"tɕ"	"y"			
"菅"	"菅"	"tɕi53"	"ci1"		1	53		"c"	"i"	"tɕ"	"i"			
"鑷"	"镊"	"ȵiɪʔ23"	"gniq8"		8	23		"gn"	"iq"	"ȵ"	"iɪʔ"			
"躡"	"蹑"	"ȵiɪʔ23"	"gniq8"		8	23		"gn"	"iq"	"ȵ"	"iɪʔ"			
"焗"	"焗"	"dʑiok23"	"jioq8"		8	23		"j"	"ioq"	"dʑ"	"iok"			
"桔"	"桔"	"tɕiɪʔ5"	"ciq7"	"~梗。"	7	5		"c"	"iq"	"tɕ"	"iɪʔ"			
"岫"	"岫"	"ziɤ13"	"zieu6"		6	13		"z"	"ieu"	"z"	"iɤ"			
"佑"	"佑"	"iɤ35"	"ieu5"		5	35			"ieu"		"iɤ"			
"誘"	"诱"	"ɦiɤ13"	"yeu6"		6	13		"y"	"eu"	"ɦ"	"iɤ"			
"呦"	"呦"	"iɤ53"	"ieu1"		1	53			"ieu"		"iɤ"			
"喲"	"哟"	"iɤ53"	"ieu1"		1	53			"ieu"		"iɤ"			
"柚"	"柚"	"ɦiɤ13"	"yeu6"		6	13		"y"	"eu"	"ɦ"	"iɤ"			
"魷"	"鱿"	"ɦiɤ22"	"yeu2"		2	22		"y"	"eu"	"ɦ"	"iɤ"			
"酉"	"酉"	"ɦiɤ213"	"yeu4"		4	213		"y"	"eu"	"ɦ"	"iɤ"			
"侑"	"侑"	"ɦiɤ13"	"yeu6"		6	13		"y"	"eu"	"ɦ"	"iɤ"			
"宥"	"宥"	"ɦiɤ13"	"yeu6"		6	13		"y"	"eu"	"ɦ"	"iɤ"			
"攸"	"攸"	"iɤ53"	"ieu1"		1	53			"ieu"		"iɤ"			
"鼬"	"鼬"	"ɦiɤ13"	"yeu6"		6	13		"y"	"eu"	"ɦ"	"iɤ"			
