字	声母	韵母	调值	備註	陰平54 陰上32 陰去52 陰入2  陽平24 陽去21 陽入4		
聘	pʰ	iŋ	52				
聚	ts	y	21				
聞	m	uĩ/uoŋ	24	文讀，聽聞。			
聦	tsʰ	ɒŋ	54				
聮	l	ɛŋ	24				
聯	l	ɛŋ	24				
聰	tsʰ	ɒŋ	54				
聲	ɬ	iã/iŋ	54				
聶	n	ieʔ	2				
職	ts	iʔ	2				
聽	tʰ	iã/iŋ	54				
聾	l	aŋ/ɒŋ	24	聾啞，白讀。			
聿	0	yʔ	4				
肅	ɬ	yøʔ	2				
肆	ɬ	i	52				
肇	t	ieu	21				
肈	t	ieu	21				
肉	n/ts	yʔ/yøʔ	4				
肋	l	ɛʔ	2				
肌	k	i	54				
肖	ɬ	ieu	54/52	不肖，姓。			
肛	k	ɒŋ	54				
肠	t	ŋ/yøŋ	24				
股	k	ɔu	32				
肢	k	i	54				
肥	h/p	i/ui	24	合肥，白讀。			
肧	pʰ	i/uoi	54				
肨	pʰ	ɒŋ	21/52	腫脹（原作本字不明），膨脹，不實（原作本字不明），單字讀。			
肩	k	ĩ/ɛŋ	54				
肪	h	ɒŋ	54				
肯	kʰ	ɛŋ	32				
肴	h	au	24	菜肴。			
肺	h	i	52				
肾	ɬ	ɛŋ/iŋ	21	文讀，腰腎。			
肿	ts	yøŋ	32				
胀	t	iũ/ŋ/yøŋ	52	文讀，白讀，水腫。			
胁	h	ieʔ	4				
胃	0	ui	21				
背	p	uoi	21	動詞：背人。			
胎	tʰ	ø/ai	54				
胚	pʰ	i/uoi	54				
胛	k	ɒ	21	背部。			
胡	h	ɔu	24				
胳	k	uoʔ	2	胳lø51下：胳肢窩。			
胷	h	ɒŋ/yøŋ	54	單字讀，胸板。			
胸	h	ɒŋ/yøŋ	54	單字讀，胸板。			
能	n	ɛŋ	24				
脂	ts	i	54				
脅	h	ieʔ	4				
脆	tsʰ	ø/ui	52				
脉	m/p	aʔ/ɛʔ	4				
脊	ts	iʔ	2				
脏	ts	aŋ	54	骯髒。			
脐	ts	ai	24				
脑	n	o/ɒ	32	文讀，樟腦。			
脓	n	aŋ	24				
脣	t	uoŋ	24				
脯	p	ɔu	32				
脰	t	au	21	脖子。			
脹	t	iũ/ŋ/yøŋ	52	文讀，白讀，水腫。			
脾	p	i	24	肝脾。			
腎	ɬ	ɛŋ/iŋ	21	文讀，腰腎。			
腐	h	u	32				
腑	h	u	32				
腔	kʰ	iũ/aŋ	54	鼻腔，白讀。			
腥	ɬ/tsʰ	iŋ/ã	54	文讀，腥臊。			
腦	n	o/ɒ	32	文讀，樟腦。			
腫	ts	yøŋ	32				
腰	0	ieu	54				
腳	k/kʰ	ieu/yøʔ	21/2	文讀，腳色。			
腸	t	ŋ/yøŋ	24				
腹	h/p	ɒʔ/aʔ	2				
腾	t	ɛŋ	24				
腿	tʰ	ui	32				
膎	k	e	24	醃制的東西。			
膏	k	o/ɒ	54				
膚	h	u	54				
膝	ɬ	iʔ	2				
膠	k	ɒ/ieu/au	54	阿膠：中藥，白讀，白讀。			
膩	l	i	52				
膳	ɬ	ɛŋ	21				
膽	t	ɒ̃/aŋ	32				
膿	n	aŋ	24				
臆	0	i	52				
臊	ɬ/tsʰ	ɒ/o	54	文讀，腥臊。			
臍	ts	ai	24				
臘	l	aʔ	4				
臣	ɬ	iŋ	24				
臥	k	ɒ	21				
臨	l	ɛŋ/iŋ	24	降臨，臨時。			
自	ts	o	21				
臭	tsʰ	ieu	52				
至	ts	i	52				
致	t	i	52				
臺	t	ai	24	臺灣。			
臻	ts	ɛŋ	54				
臼	k	u/iu	21				
舂	ts	yøŋ	54	舂碓。			
舆	0	y	21/24				
與	0	y	21/32	連詞，參與。			
興	h	iŋ	54	興旺。			
舉	k	y	32				
舊	k	u/iu	21				
舌	ɬ	ɛʔ	2				
舐	ɬ	i	21				
舒	ɬ/tsʰ	y	54	文讀，舒鋪：鋪床。			
舜	ɬ	uoŋ	52				
舞	p	u	32				
舟	ts	iu	54				
航	h	ɒŋ	24				
舵	t	ɒ	21				
舷	h/k	yøŋ/iŋ	24	單字讀，邊緣。			
船	0/ɬ	yøŋ/uoŋ	24	戲，單字讀。			
艇	tʰ	ɛŋ	32				
艦	l	aŋ	21				
良	l	yøŋ	24				
艰	k	aŋ	54				
艱	k	aŋ	54				
色	ɬ	ɛʔ	2				
艺	k	e	21				
艾	h	ya	52				
节	ts	e/ɛʔ	21/2	文讀，過節。			
芋	0	ɔu	21				
芍	ɬ	yøʔ	2				
芎	k	yøŋ	54				
芙	h	u	24				
芝	ts	i/o	54				
芥	k	e/ua/ai	52	文讀，白讀，芥菜。			
芪	kʰ	i	24	黃芪			
芬	h	uoŋ	54				
花	h	ua	54				
芳	h/pʰ	ɒŋ/aŋ	54				
芹	kʰ	yŋ	24				
芽	k	ɒ/a	24				
苇	0	ui	32				
苋	h	ĩ	52	莧菜。			
苍	tsʰ	ɒŋ	54				
苏	ɬ	ɔu	54				
苑	0	yøŋ	32	西苑：地名。			
苔	tʰ	ai	54				
苗	p	ieu	24				
苛	kʰ	ɒ	54				
苞	p	au	54				
苟	k	ieu	32				
苦	kʰ	ɔu	32				
苧	t	ø/y	52/32				
英	0	iŋ	54				
苹	p/pʰ	iŋ	24	人名，蘋果。			
茁	tʰ	yøʔ	2				
茂	p	ieu	21				
茎	k	iŋ	52				
茔	0	yŋ	24				
茜	tsʰ	ɛŋ	52	人名。			
茫	m	ɒŋ	24				
茲	ts	o	54				
茴	h	uoi	24				
茵	0	iŋ	54				
茶	t/tsʰ	ɒ/a	24				
茸	ts	yøŋ	24				
茹	ts	y	24				
荀	ɬ	uoŋ	24				
草	tsʰ	au/ɒ	32				
荊	k	iŋ	54				
荒	h	ŋ	54				
荔	l/n	e/uĩ	21	單字讀，荔枝。			
荞	k	ieu	24				
荡	t	ŋ/uã/ɒŋ	21	文讀，涮。			
荣	0	yŋ	24				
荤	h	uoŋ	54				
荫	0	iŋ	52	福蔭。			
药	0	ieu/yøʔ	24/4	芍藥，白讀。			
荷	h	ɒ	24				
莆	pʰ	ɔu	24	莆田。			
莊	ts	ŋ/ɒŋ	54	文讀，姓。			
莖	k	iŋ	52				
莠	0	iu	32				
莧	h	ĩ	52	莧菜。			
莪	k	ɒ	24				
莱	l	ai	24				
莲	l/n	ɛŋ/uĩ	24	文讀，蓮子。			
获	h	ɔu	21	收穫。			
莹	0	yŋ	24				
莺	0	ɛŋ	54				
菀	0	yøŋ	32				
菌	kʰ	uoŋ	54				
菖	tsʰ	yøŋ	54				
菜	tsʰ	ai	52				
菰	k	ɔu	54				
菱	l	iŋ	24				
萃	ts	ui	21				
萄	tʰ	o	24				
萊	l	ai	24				
萌	m	ɛŋ	24				
萍	pʰ	iŋ	24				
萝	l	ɒ	24				
营	0	ieu/yã/yŋ	24	文讀，營長，營油：豬油。			
萦	0	yŋ	24				
萧	ɬ	ieu	54				
萨	ɬ	aʔ	2				
萬	m	aŋ	21				
萼	k	ɒʔ	4				
落	l	au/o/ɒʔ	52/24/4	文讀，落雨，葉落。			
葛	k	ɛʔ/aʔ	2				
董	t	ɒŋ	32				
葦	0	ui	32				
葩	pʰ	ɒ̃	54	量詞。			
葫	h	ɔu	24				
葬	ts	ɒŋ	52				
葱	tsʰ	aŋ/ɒŋ	54				
葵	k	i	24				
葷	h	uoŋ	54				
蒂	t	i	52				
蒙	m	ɒŋ	24				
蒜	ɬ	uoŋ	52				
蒲	p	ɔu	24	菖蒲：中藥。			
蒸	ts	iŋ	54				
蒹	k	ieŋ	54				
蒼	tsʰ	ɒŋ	54				
蓄	h	yøʔ	2	畜牧。			
蓆	ɬ/tsʰ	iʔ/ieu	4/24				
蓋	k	ua/ai	52	文讀，名詞。			
蓑	ɬ	uoi	54				
蓖	p	i	21				
蓮	l/n	ɛŋ/uĩ	24	文讀，蓮子。			
蔓	m	aŋ	21				
蔕	t	i	52				
蔗	ts	ia	52				
蔚	0	ui	52				
蔡	tsʰ	ua	52	姓。			
蔥	tsʰ	aŋ/ɒŋ	54				
蔬	ɬ	ø	54	雜蔬。			
蔭	0	iŋ	52	福蔭。			
蔼	0	ai	32				
蕉	ts	ieu	54				
蕊	l	ui	32				
蕎	k	ieu	24				
蕩	t	ŋ/uã/ɒŋ	21	文讀，涮。			
蕭	ɬ	ieu	54				
薄	p	o/ɒʔ	24/4	刻薄，不厚。			
薑	k	iũ/yøŋ	54				
薛	ɬ	i	52	姓。			
薦	ts	ɛŋ	52				
薩	ɬ	aʔ	2				
薪	ɬ	iŋ	54				
薰	h	uoŋ	54				
薸	pʰ	ieu	24	田薸。			
藍	l	aŋ	24				
藏	ts	ɒŋ	24	躲藏。			
藐	p	ieu	32				
藕	k	ieu	32				
藝	k	e	21				
藥	0	ieu/yøʔ	24/4	芍藥，白讀。			
藩	h/pʰ	uoŋ	54				
藹	0	ai	32				
藿	h	ɒʔ	4				
蘇	ɬ	ɔu	54				
蘭	l	aŋ	24				
蘿	l	ɒ	24				
虎	h	ɔu	32				
虏	l	ɔu	32				
虐	k	yøʔ	4				
虑	l	y	21				
虔	k	ɛŋ	24				
處	tsʰ	y	32	處理。			
虜	l	ɔu	32				
虧	kʰ	ui	54				
虽	ɬ	ui	54				
虾	h	ɒ	24	蝦背：駝背。			
蚀	ɬ	iʔ	2				
蚁	h/k	ya/i	21/32				
蚊	m	uoŋ	24				
蚌	p	ɒŋ	21				
蚤	ts	au	32				
蚵	0	o	24				
蚶	h	ɒ̃	54	蚌。			
蛀	ts	y	52				
蛎	l	e	21				
蛏	tʰ	ɛŋ	54				
蛛	t/ts	u/y	54				
蛮	m	aŋ	24				
蛹	0	yøŋ	32				
蜀	ɬ	uoʔ/yøʔ	4				
蜈	k	ya/ɔu	24	文讀，蜈蚣。			
蜘	t	i	54				
蜜	p	iʔ	4				
蜝	kʰ	i	24	胡蜞：螞蟥。			
蜞	kʰ	i	24	胡蜞：螞蟥。			
蝇	ɬ	iŋ	24				
蝉	ɬ	ɛŋ	24				
蝕	ɬ	iʔ	2				
蝗	h	ɒŋ	24				
蝠	h	ɒʔ	2				
蝦	h	ɒ	24	蝦背：駝背。			
融	h	yøŋ	24	金融。			
螟	m	ɛŋ	24				
螢	0	ɛŋ	54				
蟀	ɬ	uoʔ	2				
蟄	ts	iʔ	4				
蟒	m	ɒŋ	32				
蟬	ɬ	ɛŋ	24				
蟲	tʰ	aŋ/yøŋ	24				
蟶	tʰ	ɛŋ	54				
蟹	h	e	21				
蟻	h/k	ya/i	21/32				
蠅	ɬ	iŋ	24				
蠟	l	ɒʔ/aʔ	4	文讀，蜂蠟。			
蠢	tsʰ	uoŋ	32				
蠣	l	e	21				
蠶	tsʰ	aŋ	24				
蠻	m	aŋ	24				
蠽	tsʰ	i	24	梭子蟹。			
血	h	e/yøʔ	21/2				
衆	ts	yøŋ	52				
衇	m/p	aʔ/ɛʔ	4				
行	0/h	ŋ/aŋ	24	銀行，排行。			
衍	0	ɛŋ	21				
衔	h/k	aŋ/ɒ̃	24	文讀，白讀（原作枷）。			
街	k	e	54				
衛	0	e	21				
衞	0	e	21				
表	p	ieu	32				
衫	ɬ	ɒ̃	54				
衷	t	yøŋ	54				
袁	0	yøŋ	24				
袋	t	ø	52				
袒	tʰ	aŋ	32				
被	pʰ	uoi/i	21				
袭	ɬ	iʔ	2				
裁	ts	ai	24				
裂	l	e/ɛʔ	32/4				
装	ts	ŋ/ɒŋ	54				
裌	k	ɒ	21	裌國：背心。			
裕	ts	y	21				
裘	k	iu	24				
裙	k	uoŋ	24				
補	p	ɔu	32				
裝	ts	ŋ/ɒŋ	54				
裠	k	uoŋ	24				
裸	l	ɒ	32				
裾	k	y	54				
褐	h	aʔ	4				
褒	p	o/ɒ	54	文讀，奉承。			
褓	p	ɒ	32				
褥	ts	ɒ/ɒʔ/yøʔ	4				
褻	ɬ	ɛʔ	2	褻瀆。			
襄	ɬ	yøŋ	54				
襟	kʰ	iŋ	54				
襪	p	uoi	24				
襯	tsʰ	ɛŋ	52				
襲	ɬ	iʔ	2				
襵	ts	ɛʔ	2				
西	ɬ	ai/e	54				
覃	tʰ	aŋ	24				
見	k	iŋ/ɛŋ	52				
規	k	i/ui	54	規定，單字讀。			
覓	p	iʔ	4				
親	tsʰ	iŋ	54				
覺	k	aʔ	2				
覽	l	aŋ	32				
觀	k	uã/uoŋ	54	文讀，淩晨。			
见	k	iŋ/ɛŋ	52				
观	k	uã/uoŋ	54	文讀，淩晨。			
规	k	i/ui	54	規定，單字讀。			
览	l	aŋ	32				
觉	k	aʔ	2				
角	k	aʔ	2				
解	k	e/ai	32	文讀，對付。			
觸	tsʰ	yøʔ	2				
言	ŋ	yŋ	24				
訃	h	u	52				
計	k	e	52				
訊	ɬ	yŋ	52				
討	tʰ	o/ɒ	32				
訓	h	uoŋ	52				
託	tʰ	ɒʔ	2				
記	k	i	52				
訛	k	ɒ	24				
訣	k	yøʔ	2				
訪	h	ɒŋ	32				
設	ɬ	ɛʔ	2				
訴	ɬ	ɔu	52				
診	tʰ	iŋ	32				
詈	l		32	咒罵。			
詔	ts	ieu	52				
評	pʰ	iŋ	24				
詞	ɬ	o	24				
詠	0	yŋ	21				
詢	ɬ	uoŋ	24				
詣	k	e	32				
試	ɬ	i	52				
詩	ɬ	i	54				
詭	k	ui	32				
話	0	ua	21				
該	k	ai	54				
詳	ɬ	iũ/yøŋ	24	文讀，詳夢。			
詹	ts	ieŋ	54				
誅	t/tʰ	y	54				
誊	t	ɛŋ	24				
誌	ts	i	52				
認	n	iŋ	21				
誓	ɬ	ia/e	21	文讀，咒誓：發誓。			
誕	t	ɒ̃/aŋ	21	文讀，錯。			
誘	0	iu	32				
語	k	y	21/32	單字讀，動詞。			
誠	ɬ	iŋ	24				
誡	k	ai	52				
誣	p	u	24				
誤	k	ɔu	21				
誦	ɬ	yøŋ	21				
說	ɬ	uoi/yøʔ	52/21/2	小說，解釋，遊說。			
誼	k	i	24				
調	t	ieu	24	調和。			
談	t	aŋ	24				
請	tsʰ	iã	32				
諍	ts	ã	52	爭辯。			
諒	l	yøŋ	21				
論	l	uoŋ	24	論語。			
諜	t	ieʔ	4				
諧	h	ai	24				
諫	k	aŋ	52				
諱	h	ui	52				
諳	h	aŋ	54				
諵	n	aŋ	24				
諷	h	ɒŋ	32				
諸	ts	y	54				
諺	ŋ	ieŋ	21				
諾	t	ɒʔ	4				
謀	p	ieu					
謎	p	e	24				
謗	p	ɒŋ	52				
謙	kʰ	ieŋ	54				
講	k	aŋ/ɒŋ	32				
謝	ɬ	ia	21				
謠	0	ieu	24				
謬	p	iu	21				
謹	k	iŋ	32				
證	ts	iã/iŋ	52	文讀，作證。			
譏	k	i	54				
譚	tʰ	aŋ	24				
譜	pʰ	ɔu	32				
警	k	iŋ	52				
譬	p/pʰ	i/iʔ	52/2				
譯	0	iʔ	4				
議	k	i	32				
護	0/h	ɔu	21	文讀，偏袒。			
讀	t/tʰ	ɒʔ/aʔ	4				
變	p	iŋ/ɛŋ	52	文讀，變面：變臉。			
讎	ɬ	iu	24				
讓	ts	yøŋ	21				
计	k	e	52				
讣	h	u	52				
讥	k	i	54				
讨	tʰ	o/ɒ	32				
训	h	uoŋ	52				
议	k	i	32				
记	k	i	52				
讳	h	ui	52				
讹	k	ɒ	24				
论	l	uoŋ	24	論語。			
讽	h	ɒŋ	32				
设	ɬ	ɛʔ	2				
访	h	ɒŋ	32				
诀	k	yøʔ	2				
证	ts	iã/iŋ	52	文讀，作證。			
评	pʰ	iŋ	24				
诉	ɬ	ɔu	52				
诊	tʰ	iŋ	32				
词	ɬ	o	24				
诏	ts	ieu	52				
译	0	iʔ	4				
试	ɬ	i	52				
诗	ɬ	i	54				
诚	ɬ	iŋ	24				
诛	t/tʰ	y	54				
话	0	ua	21				
诞	t	ɒ̃/aŋ	21	文讀，錯。			
诡	k	ui	32				
询	ɬ	uoŋ	24				
诣	k	e	32				
诤	ts	ã	52	爭辯。			
该	k	ai	54				
详	ɬ	iũ/yøŋ	24	文讀，詳夢。			
诫	k	ai	52				
诬	p	u	24				
语	k	y	21/32	單字讀，動詞。			
误	k	ɔu	21				
诱	0	iu	32				
说	ɬ	uoi/yøʔ	52/21/2	小說，解釋，遊說。			
诵	ɬ	yøŋ	21				
请	tsʰ	iã	32				
诸	ts	y	54				
诺	t	ɒʔ	4				
读	t/tʰ	ɒʔ/aʔ	4				
谁	ɬ	ui	24				
调	t	ieu	24	調和。			
谅	l	yøŋ	21				
谈	t	aŋ	24				
谊	k	i	24				
谋	p	ieu					
谍	t	ieʔ	4				
谏	k	aŋ	52				
谐	h	ai	24				
谓	0	ui	21				
谙	h	aŋ	54				
谚	ŋ	ieŋ	21				
谜	p	e	24				
谢	ɬ	ia	21				
谣	0	ieu	24				
谤	p	ɒŋ	52				
谦	kʰ	ieŋ	54				
谨	k	iŋ	32				
谬	p	iu	21				
谭	tʰ	aŋ	24				
谱	pʰ	ɔu	32				
谷	k	ɒʔ	2				
豆	t	au	21				
豈	kʰ	i	32				
豎	ɬ	y	21				
豐	h/pʰ	ɒŋ	54	文讀，豐富。			
豔	0	ia/ieʔ	21/2				
豕	ɬ	i	32				
豚	t	uoŋ	24				
象	ɬ/tsʰ	yøŋ/iũ	21				
豢	h	uoŋ	21				
豫	0	y	21				
豬	t	y	54				
豸	t	ai	21				
豹	p	au	52				
豺	ts	ai	24				
貂	t	ieu	54				
貌	p	au	21				
貓	n	ieu	54				
貝	p	uoi	52				
貞	ts	iŋ	54				
貟	0	yøŋ	24				
負	h	u	21				
財	ts	ai	24				
貢	k	ɒŋ	52				
貧	p	iŋ	24				
貨	h	o	52				
販	h	uoŋ	52				
貪	tʰ	aŋ	54				
責	ts	ɛʔ	2				
貯	t	ieu/y	32	單字讀，盛裝。			
貴	k	ui	52				
貶	p	ɛŋ	32				
買	m/p	ai/e	32				
貸	t	ai	21				
費	p	i	52				
貼	tʰ	e/ieʔ	21/2				
貽	0	i	24				
貿	p	ieu	24	外貿。			
賀	h	o/ɒ	21	文讀，賀禮。			
賂	l	ɔu	21				
賃	ts	iŋ	21				
賄	h	uoi	32				
資	ts	o	54				
賈	k	ɔu	32	商賈。			
賑	ts	iŋ	32				
賒	ɬ	ia	54				
賓	p	iŋ	54				
賔	p	iŋ	54				
賖	ɬ	ia	54				
賛	ts	aŋ	52				
賜	ɬ	o	52				
賞	ɬ	iũ/yøŋ	32				
賢	h	ɛŋ	24				
賣	m/p	ai/e	21				
賤	ts	ɛŋ	21				
賦	h	u	52				
賭	t	ɔu	32				
賴	l	ua/ai	21				
購	k	ieu	52				
賽	ɬ	ø	52				
贅	ts	uoi/ui	52	疣，單字讀。			
贈	ts	ɛŋ	21				
贊	ts	aŋ	52				
贏	0	yã/iŋ	24				
贓	ts	ɒŋ	54				
贖	ɬ	yøʔ	4				
贝	p	uoi	52				
贞	ts	iŋ	54				
负	h	u	21				
贡	k	ɒŋ	52				
财	ts	ai	24				
责	ts	ɛʔ	2				
贤	h	ɛŋ	24				
败	p	ai	21				
货	h	o	52				
贩	h	uoŋ	52				
贪	tʰ	aŋ	54				
贫	p	iŋ	24				
贬	p	ɛŋ	32				
购	k	ieu	52				
贮	t	ieu/y	32	單字讀，盛裝。			
贰	ts	i	21				
贱	ts	ɛŋ	21				
贴	tʰ	e/ieʔ	21/2				
贵	k	ui	52				
贷	t	ai	21				
贸	p	ieu	24	外貿。			
费	p	i	52				
贺	h	o/ɒ	21	文讀，賀禮。			
贻	0	i	24				
贾	k	ɔu	32	商賈。			
贿	h	uoi	32				
赁	ts	iŋ	21				
赂	l	ɔu	21				
资	ts	o	54				
赈	ts	iŋ	32				
赋	h	u	52				
赌	t	ɔu	32				
赎	ɬ	yøʔ	4				
赏	ɬ	iũ/yøŋ	32				
赐	ɬ	o	52				
赘	ts	uoi/ui	52	疣，單字讀。			
赛	ɬ	ø	52				
赞	ts	aŋ	52				
赠	ts	ɛŋ	21				
赢	0	yã/iŋ	24				
赤	tsʰ	ia/iʔ	54/2	文讀，紅赤赤。			
赦	ɬ	ia	52				
赫	h	ɛʔ	2				
走	ts	au/ieu	32	文讀，跑。			
赴	h	u	52				
趁	tʰ	ɛŋ	52				
超	tʰ	ieu	54				
越	0	yøʔ	4				
趋	tsʰ	y	54				
趙	t	ieu	21				
趨	tsʰ	y	54				
足	ts						
趾	ts	i	32				
跃	0	ieu/yøʔ	21/4				
跄	tsʰ	yøŋ	52				
跋	p	ua/aʔ	24/4	文讀，跋錢：賭錢、又摔倒。			
跌	tʰ	ɛʔ	2				
跑	pʰ	au	32				
跔	kʰ	u	24	蹲。			
跛	p	ai	32				
距	k	y	21				
跟	k	yŋ/ɛŋ	54				
跡	ts	ia/iʔ	21/2	文讀，腳跡。			
跨	kʰ	ua	52				
路	l	ɔu	21				
践	ts	ɛŋ	21				
跷	kʰ	ieu	54				
踌	t	iu	24				
踐	ts	ɛŋ	21				
踞	k	y	52				
踢	tʰ	ɛʔ	2				
踵	ts	yøŋ	32				
蹄	t	e	24				
蹈	t	ɒ	21				
蹉	tsʰ	ɒ	54				
蹌	tsʰ	yøŋ	52				
蹑	n	ieʔ	2				
蹔	ts	ɒ̃	24	跳往。			
蹤	ts	ɒŋ	54				
蹹	t	ɒ/aʔ	24/4	文讀，白讀（原作踏）。			
蹺	kʰ	ieu	54				
蹼	pʰ	ɒʔ	2				
躁	ɬ	ɒ	52				
躇	t	y	24	道躇：麻煩。			
躊	t	iu	24				
躍	0	ieu/yøʔ	21/4				
躡	n	ieʔ	2				
身	ɬ	iŋ	54				
躬	k	yøŋ	54				
躯	kʰ	y	54				
軀	kʰ	y	54				
車	k	y	54	車砲。			
軋	k	aʔ	2				
軌	k	ui	32				
軍	k	uoŋ	54				
軒	h	yøŋ	54				
軟	n	uĩ/uoŋ	32				
軶	0	ɛʔ	2				
軸	t	yøʔ	4				
軻	kʰ	ɒ	54				
軾	ɬ	iʔ	2				
載	ts	ai	52	載重。			
輒	ts	ɛʔ	2				
輔	h	u	21				
輕	kʰ	iŋ	54				
輝	h	ui	54				
輩	p	uoi	24	下輩：晚輩。			
輪	l	uoŋ	24				
輯	tsʰ	iʔ	4				
輸	ɬ	ɔu/y	54	文讀，輸贏。			
輿	0	y	21/24				
轅	0	yøŋ	24				
轍	t	ɛʔ	4				
轟	0	ɛŋ	54				
轧	k	aʔ	2				
轨	k	ui	32				
轩	h	yøŋ	54				
转	t/ts	uĩ/uoŋ	32	轉身，轉正。			
轮	l	uoŋ	24				
软	n	uĩ/uoŋ	32				
轰	0	ɛŋ	54				
轲	kʰ	ɒ	54				
轴	t	yøʔ	4				
轻	kʰ	iŋ	54				
轼	ɬ	iʔ	2				
载	ts	ai	52	載重。			
辄	ts	ɛʔ	2				
辅	h	u	21				
辈	p	uoi	24	下輩：晚輩。			
辑	tsʰ	iʔ	4				
辕	0	yøŋ	24				
辙	t	ɛʔ	4				
辛	ɬ	iŋ	54				
辜	k	ɔu	54				
辞	ɬ	i/o	24				
辟	pʰ	ia/iʔ	21/2				
辢	l	ua/aʔ	24/4				
辣	l	ua/aʔ	24/4				
辦	p	aŋ	21				
辨	p	ɛŋ	21				
辩	p	ɛŋ	21				
辫	p	iŋ/ɛŋ	21	文讀，編頭髮。			
辭	ɬ	i/o	24				
辮	p	iŋ/ɛŋ	21	文讀，編頭髮。			
辯	p	ɛŋ	21				
辰	ɬ	iŋ	24				
辱	ts	yøʔ	4				
農	n	ɒŋ	24				
边	p	iŋ/ɛŋ	54				
辽	l	ieu	24				
迄	k	yʔ	2				
迈	m	ai	21				
运	0	uoŋ	21				
近	k	yŋ	21				
返	h	uoŋ	32				
还	h	ĩ/uoŋ	24				
进	ts	iŋ	52				
远	0/h	yøŋ/uĩ	32/21				
违	0	ui	24				
连	l	ɛŋ	24				
迟	t	i	24				
迢	tʰ	ieu	24				
迪	t	ɛʔ	4				
迭	t	ieʔ	4				
述	ɬ	uoʔ	4				
迹	ts	iʔ	2				
追	t	ui	54				
退	tʰ	ø	52				
送	ɬ	aŋ/ɒŋ	52				
逃	t	ɒ	24				
逆	k	iʔ	4				
选	ɬ	uĩ/yøŋ	32				
逊	ɬ	uoŋ	52				
透	tʰ	au	52				
逐	t	a/yøʔ	4	文讀，逐工：每天。			
途	t	ɔu	24				
通	tʰ	aŋ/ɒŋ	54	文讀，可以。			
逝	ɬ	e	21				
逞	tʰ	iŋ	32				
速	ɬ	ɒʔ	2				
造	tsʰ	ɒ	52				
逢	h	ɒŋ	24				
連	l	ɛŋ	24				
進	ts	iŋ	52				
逸	0	iʔ	4				
逼	p	iʔ	2				
逾	ts	y	24				
遇	k	y	21				
運	0	uoŋ	21				
遍	pʰ	ɛŋ	52				
過	k	o/ɒ	52				
道	t	ɒ	21				
達	t	aʔ	4				
違	0	ui	24				
遗	0	i	24				
遘	k	au	52				
遙	0	ieu	24				
遜	ɬ	uoŋ	52				
遠	0/h	yøŋ/uĩ	32/21				
遣	kʰ	ɛŋ	32				
適	ɬ	iʔ	2				
遭	ts	ɒ	54				
遮	ts	ia	54				
遲	t	i	24				
遵	ts	uoŋ	54				
遷	tsʰ	ɛŋ	54				
選	ɬ	uĩ/yøŋ	32				
遺	0	i	24				
遼	l	ieu	24				
避	pʰ	iʔ/ia	2/21				
邁	m	ai	21				
邃	ɬ	ui	21				
還	h	ĩ/uoŋ	24				
邊	p	iŋ/ɛŋ	54				
邑	0	iʔ	2				
邓	t	ɛŋ	52				
邢	h	iŋ	24				
邦	p	aŋ	54				
邱	kʰ	u/iu	54				
邵	ɬ	ieu	21				
邹	ts	ieu	54				
郁	0	yøʔ	2				
郊	k	au	54				
郑	t	ã/iŋ	21	鄭重，白讀。			
郝	h	ɒʔ	2	姓。			
郡	k	uoŋ	21				
郢	0	iŋ	32				
部	p	ɔu	21				
郭	k	o/ɒʔ	21/2				
郵	0	iu	24				
都	t	o/ɔu	54	首都，翁都：地名。			
鄂	k	ɒʔ	4				
鄉	h	iũ/yøŋ	54				
鄒	ts	ieu	54				
鄙	pʰ	i	32				
鄧	t	ɛŋ	52				
鄭	t	ã/iŋ	21	鄭重，白讀。			
鄰	l	iŋ	24				
酉	0	iu	32				
酊	t	ɛŋ	54				
酋	0	iu	24				
酌	ts	yøʔ	2				
配	pʰ	uoi	52				
酒	ts	iu	32				
酣	h	aŋ	54				
酥	ɬ	ɔu	54				
酬	ɬ	iu	24				
酱	ts	iũ	52				
酵	h	au	54				
酷	kʰ	ɒʔ	2				
酸	ɬ	ỹ/uoŋ	54				
酿	ts	yøŋ	21				
醇	ɬ	uoŋ	24				
醉	ts	ui	52				
醋	tsʰ	ɔu	52				
醪	l	o	24	濁也。			
醫	0	i	54				
醬	ts	iũ	52				
釀	ts	yøŋ	21				
采	tsʰ	ai	32				
釉	0	iu	24				
释	ɬ	iʔ	2				
釋	ɬ	iʔ	2				
里	l	i	32				
重	t	aŋ/yøŋ	21	重量，輕重。			
野	0	ia	32				
量	l/n	yøŋ/iũ	24	商量，量衣。			
釐	l	i	24				
金	k	iŋ	54				
釘	t	ɛŋ	54				
針	ts	ieŋ	54				
釣	t	ieu	52				
釧	ts	uoŋ	52				
釵	tsʰ	ɒ/ai	54				
鈍	t	uoŋ	54				
鈔	tsʰ	au	54				
鈞	k	yŋ	54				
鈴	l	ɛŋ	24				
鉎	ɬ	ã/ɛŋ	54	鏽。			
鉗	kʰ	ieŋ	24				
鉛	0	iũ/uĩ/yøŋ	24	文讀，鉛筆（較適當本字應為「洋」），鉛錫。			
鉢	p	uoʔ	2				
鉤	k	au	54				
鉸	k	ɒ	54	剪。			
銀	ŋ	yŋ	24				
銃	tsʰ	yøŋ	21	槍。			
銅	t	aŋ/ɒŋ	24				
銘	m	iŋ	24				
