字目	读音	注释	声母(实际)	声母(原)	韵母	声调	声调（调类)						声调	国际惯例	声调
萬	bvuaŋ6		bv	b	uaŋ	42	6								
端	tuaŋ1		t	t	uaŋ	22	1								
斷	tuaŋ5		t	t	uaŋ	21	5								
傳	tuaŋ6		t	t	uaŋ	42	6								
傳團	tʰuaŋ2		tʰ	tʰ	uaŋ	44	2								
亂	luaŋ4		l	l	uaŋ	213	4								
戀	luaŋ5		l	l	uaŋ	21	5								
暖	nuaŋ3		n	n	uaŋ	53	3								
專	tsuaŋ1		ts	ts	uaŋ	22	1								
裝妝樁	tsuaŋ1		ts	ts	uaŋ	22	1								
轉	tsuaŋ3		ts	ts	uaŋ	53	3								
撞狀	tsuaŋ4		ts	ts	uaŋ	213	4								
川穿	tsʰuaŋ1		tsʰ	tsʰ	uaŋ	22	1								
全	tsʰuaŋ2		tsʰ	tsʰ	uaŋ	44	2								
喘	tsʰuaŋ3		tsʰ	tsʰ	uaŋ	53	3								
串闖	tsʰuaŋ5		tsʰ	tsʰ	uaŋ	21	5								
□	dzuaŋ4	随意	dz	dz	uaŋ	213	4								
宣喧渲	suaŋ1		s	s	uaŋ	22	1								
旋	suaŋ2		s	s	uaŋ	44	2								
爽	suaŋ3		s	s	uaŋ	53	3								
選	suaŋ3		s	s	uaŋ	53	3								
算	suaŋ5		s	s	uaŋ	21	5								
光	kuaŋ1		k	k	uaŋ	22	1								
觀关	kuaŋ1		k	k	uaŋ	22	1								
廣	kuaŋ3		k	k	uaŋ	53	3								
館管	kuaŋ3		k	k	uaŋ	53	3								
罐灌冠貫慣	kuaŋ5		k	k	uaŋ	21	5								
卷	kuaŋ5	～□tsʰiaŋ2，是一种用豆皮将萝卜丝、粉、芋头丝、花生等内陷裹着油炸的食物。又称作管(kuaŋ3)章	k	k	uaŋ	21	5								
券	kuaŋ5	又音kŋ3	k	k	uaŋ	21	5								
逛	kuaŋ5		k	k	uaŋ	21	5								
圈寬	kʰuaŋ1		kʰ	kʰ	uaŋ	22	1								
匡筐框眶	kʰuaŋ1		kʰ	kʰ	uaŋ	22	1								
狂	kʰuaŋ2		kʰ	kʰ	uaŋ	44	2								
權	kʰuaŋ2		kʰ	kʰ	uaŋ	44	2								
款	kʰuaŋ3		kʰ	kʰ	uaŋ	53	3								
礦曠擴鄺	kʰuaŋ5		kʰ	kʰ	uaŋ	21	5								
況	kʰuaŋ5		kʰ	kʰ	uaŋ	21	5								
元源原顏	ŋuaŋ2		ŋ	ŋ	uaŋ	44	2								
玩阮頑	ŋuaŋ3		ŋ	ŋ	uaŋ	53	3								
願	ŋuaŋ4		ŋ	ŋ	uaŋ	213	4								
藩翻番	huaŋ1		h	h	uaŋ	22	1								
荒慌謊	huaŋ1		h	h	uaŋ	22	1								
方芳	huaŋ1	文	h	h	uaŋ	22	1								
吩	huaŋ1	～咐	h	h	uaŋ	22	1								
風	huaŋ1	～台	h	h	uaŋ	22	1								
瘋	huaŋ1		h	h	uaŋ	22	1								
繁	huaŋ2		h	h	uaŋ	44	2								
簧凰惶防妨皇	huaŋ2		h	h	uaŋ	44	2								
還環煩	huaŋ2		h	h	uaŋ	44	2								
坊肪仿	huaŋ3		h	h	uaŋ	53	3								
反	huaŋ3		h	h	uaŋ	53	3								
訪	huaŋ3		h	h	uaŋ	53	3								
晃	huaŋ4		h	h	uaŋ	213	4								
放	huaŋ5	文，解～	h	h	uaŋ	21	5								
喚煥瘓	huaŋ5		h	h	uaŋ	21	5								
冤彎灣鴛汪	uaŋ1				uaŋ	22	1								
完丸袁員緣王	uaŋ2				uaŋ	44	2								
芫	uaŋ2	～荽			uaŋ	44	2								
阮	uaŋ3	我们			uaŋ	53	3								
宛惋苑婉	uaŋ3				uaŋ	53	3								
往枉	uaŋ3				uaŋ	53	3								
旺	uaŋ4				uaŋ	213	4								
怨	uaŋ5				uaŋ	21	5								
憑	peŋ2		p	p	eŋ	44	2								
秉	peŋ3		p	p	eŋ	53	3								
炳	peŋ3		p	p	eŋ	53	3								
並	peŋ5	~且	p	p	eŋ	21	5								
併	peŋ5		p	p	eŋ	21	5								
拼	pʰeŋ1	～音，～多多	pʰ	pʰ	eŋ	22	1								
朋	pʰeŋ2		pʰ	pʰ	eŋ	44	2								
平	pʰeŋ2	～时	pʰ	pʰ	eŋ	44	2								
評	pʰeŋ2		pʰ	pʰ	eŋ	44	2								
聘娉	pʰeŋ5		pʰ	pʰ	eŋ	21	5								
萌明盟鳴銘	meŋ2		m	m	eŋ	44	2								
免	meŋ3	白，不用	m	m	eŋ	53	3								
孟錳	meŋ3		m	m	eŋ	53	3								
命	meŋ4	文	m	m	eŋ	213	4								
登	teŋ1		t	t	eŋ	22	1								
徵	teŋ1	～求，特～。注意：“徵”为多音字，读陟陵切的字今简化作“征”，而五音的“宫商角徵羽”并未简化	t	t	eŋ	22	1								
丁燈釘	teŋ1		t	t	eŋ	22	1								
亭	teŋ2		t	t	eŋ	44	2								
□	teŋ2	塕eng1～，指灰尘	t	t	eŋ	44	2								
重	teŋ2	～复	t	t	eŋ	44	2								
等頂	teŋ3		t	t	eŋ	53	3								
戥	teŋ3	称	t	t	eŋ	53	3								
定鄧	teŋ4		t	t	eŋ	213	4								
綻	teŋ4	俗读半边	t	t	eŋ	213	4								
中	teŋ5	白，砸中。如：乞口石～着，一块被石头砸中	t	t	eŋ	21	5								
釘	teŋ5	动词	t	t	eŋ	21	5								
訂	teŋ5		t	t	eŋ	21	5								
窗	tʰeŋ1		tʰ	tʰ	eŋ	22	1								
澄	tʰeŋ2		tʰ	tʰ	eŋ	44	2								
程	tʰeŋ2	大工～（工序复杂）	tʰ	tʰ	eŋ	44	2								
停	tʰeŋ2		tʰ	tʰ	eŋ	44	2								
庭廷婷騰	tʰeŋ2		tʰ	tʰ	eŋ	44	2								
艇挺懲	tʰeŋ3		tʰ	tʰ	eŋ	53	3								
聽	tʰeŋ5		tʰ	tʰ	eŋ	21	5								
鈴	leŋ1		l	l	eŋ	22	1								
能	leŋ2	白：有～为（有能力）	l	l	eŋ	44	2								
棱菱陵零伶玲綾淩齡寧靈	leŋ2		l	l	eŋ	44	2								
龍嚨	leŋ2		l	l	eŋ	44	2								
檸	leŋ2		l	l	eŋ	44	2								
□	leŋ3	推	l	l	eŋ	53	3								
隴	leŋ3		l	l	eŋ	53	3								
令另	leŋ4		l	l	eŋ	213	4								
苓	leŋ4	土茯～	l	l	eŋ	213	4								
能	neŋ2	～力	n	n	eŋ	44	2								
寧	neŋ2	又	n	n	eŋ	44	2								
曾增僧征蒸精睛	tseŋ1		ts	ts	eŋ	22	1								
舂	tseŋ1	白	ts	ts	eŋ	22	1								
箏貞禎偵幀	tseŋ1		ts	ts	eŋ	22	1								
鐘盅鍾	tseŋ1		ts	ts	eŋ	22	1								
曾	tseŋ2		ts	ts	eŋ	44	2								
種	tseŋ3	～子	ts	ts	eŋ	53	3								
腫	tseŋ3		ts	ts	eŋ	53	3								
淨	tseŋ4		ts	ts	eŋ	213	4								
症政證	tseŋ5		ts	ts	eŋ	21	5								
眾	tseŋ5		ts	ts	eŋ	21	5								
種	tseŋ5	白	ts	ts	eŋ	21	5								
清稱	tsʰeŋ1		tsʰ	tsʰ	eŋ	22	1								
橙	tsʰeŋ2		tsʰ	tsʰ	eŋ	44	2								
情	tsʰeŋ2		tsʰ	tsʰ	eŋ	44	2								
銃	tsʰeŋ5	白，口语表示火枪。如“铳子”，子弹	tsʰ	tsʰ	eŋ	21	5								
穿	tsʰeŋ6	训，本字为“颂”	tsʰ	tsʰ	eŋ	42	6								
頌	tsʰeŋ6	白，穿	tsʰ	tsʰ	eŋ	42	6								
升笙甥猩	seŋ1		s	s	eŋ	22	1								
生	seŋ1	学～	s	s	eŋ	22	1								
乘剩成誠承	seŋ2	文	s	s	eŋ	44	2								
榕	seŋ2	白，～树	s	s	eŋ	44	2								
省	seŋ3	反～	s	s	eŋ	53	3								
盛	seŋ4		s	s	eŋ	213	4								
勝	seŋ5		s	s	eŋ	21	5								
□	keŋ1	量词，用于摔炮	k	k	eŋ	22	1								
更	keŋ1		k	k	eŋ	22	1								
弓	keŋ1		k	k	eŋ	22	1								
供	keŋ1		k	k	eŋ	22	1								
經	keŋ1		k	k	eŋ	22	1								
宮	keŋ1	白	k	k	eŋ	22	1								
窮	keŋ2	白	k	k	eŋ	44	2								
境警景竟競	keŋ3		k	k	eŋ	53	3								
更敬亘	keŋ5		k	k	eŋ	21	5								
筐	kʰeŋ1		kʰ	kʰ	eŋ	22	1								
卿	kʰeŋ1		kʰ	kʰ	eŋ	22	1								
莖鯨	kʰeŋ2		kʰ	kʰ	eŋ	44	2								
肯	kʰeŋ3		kʰ	kʰ	eŋ	53	3								
虹	kʰeŋ4	白，一条～	kʰ	kʰ	eŋ	213	4								
杏	kʰeŋ4		kʰ	kʰ	eŋ	213	4								
慶	kʰeŋ5		kʰ	kʰ	eŋ	21	5								
胸	heŋ1		h	h	eŋ	22	1								
興	heŋ1		h	h	eŋ	22	1								
行	heŋ2	文，～李	h	h	eŋ	44	2								
王	heŋ2	姓	h	h	eŋ	44	2								
恒	hueŋ2	文	h	h	ueŋ	44	2								
形型刑	heŋ2		h	h	eŋ	44	2								
行	heŋ4	品～	h	h	eŋ	213	4								
幸	heŋ4		h	h	eŋ	213	4								
興	heŋ5		h	h	eŋ	21	5								
英	eŋ1				eŋ	22	1								
翁	eŋ1				eŋ	22	1								
塕	eŋ1	～teŋ2，指灰尘			eŋ	22	1								
鷹鶯鸚櫻纓嬰	eŋ1				eŋ	22	1								
湧	eŋ3				eŋ	53	3								
應	eŋ5	～该			eŋ	21	5								
用	eŋ6				eŋ	42	6								
耿迥炯	kueŋ3		k	k	ueŋ	53	3								
傾	kʰueŋ1		kʰ	kʰ	ueŋ	22	1								
宏瓊	kʰueŋ2		kʰ	kʰ	ueŋ	44	2								
頃	kʰueŋ3	也读kʰeŋ3	kʰ	kʰ	ueŋ	53	3								
盈榮營螢熒瑩	ueŋ2				ueŋ	44	2								
永	ueŋ3				ueŋ	53	3								
孕	ueŋ4	文			ueŋ	213	4								
乓	poŋ1		p	p	oŋ	22	1								
泵	poŋ2		p	p	oŋ	44	2								
□	poŋ6	爆炸声	p	p	oŋ	42	6								
蓬鵬	pʰoŋ2		pʰ	pʰ	oŋ	44	2								
縫	pʰoŋ2	文，～补，～车	pʰ	pʰ	oŋ	44	2								
捧	pʰoŋ3		pʰ	pʰ	oŋ	53	3								
□	pʰoŋ5	蓬松	pʰ	pʰ	oŋ	21	5								
碰	pʰoŋ5		pʰ	pʰ	oŋ	21	5								
摸蒙謀	moŋ2	也说mou2。该音节和moŋ2是自由变体	m	m	oŋ	44	2								
懵	moŋ3		m	m	oŋ	53	3								
舞	moŋ4	白，～虎狮。	m	m	oŋ	213	4								
東	toŋ1	文，毛泽～，～西(si1)	t	t	oŋ	22	1								
中忠	toŋ1		t	t	oŋ	22	1								
董懂	toŋ3		t	t	oŋ	53	3								
仲	toŋ4	文，日常读音	t	t	oŋ	213	4								
重動	toŋ4		t	t	oŋ	213	4								
中凍	toŋ5		t	t	oŋ	21	5								
檔	toŋ5	～口	t	t	oŋ	21	5								
幢	toŋ6		t	t	oŋ	42	6								
通	tʰoŋ1		tʰ	tʰ	oŋ	22	1								
桐童彤	tʰoŋ2		tʰ	tʰ	oŋ	44	2								
重	tʰoŋ2	～阳	tʰ	tʰ	oŋ	44	2								
統	tʰoŋ3		tʰ	tʰ	oŋ	53	3								
寵	tʰoŋ3	文，受～若惊	tʰ	tʰ	oŋ	53	3								
痛	tʰoŋ5		tʰ	tʰ	oŋ	21	5								
儂	loŋ2	文	l	l	oŋ	44	2								
隆農膿濃	loŋ2		l	l	oŋ	44	2								
攏壟	loŋ3		l	l	oŋ	53	3								
弄	loŋ4		l	l	oŋ	213	4								
宗綜終蹤	tsoŋ1		ts	ts	oŋ	22	1								
撞	tsoŋ2	冲，跑	ts	ts	oŋ	44	2								
總	tsoŋ3		ts	ts	oŋ	53	3								
狀	tsoŋ4	文，～元，市区东音	ts	ts	oŋ	213	4								
縱	tsioŋ5	坐~，纵容	ts	ts	ioŋ	21	5								
縱	tsoŋ5		ts	ts	oŋ	21	5								
匆衷充聰	tsʰoŋ1		tsʰ	tsʰ	oŋ	22	1								
崇從	tsʰoŋ2		tsʰ	tsʰ	oŋ	44	2								
寵	tsʰoŋ3	新文读，～物	tsʰ	tsʰ	oŋ	53	3								
嵩鬆	soŋ1		s	s	oŋ	22	1								
松	soŋ2	文。该字不读阴平song1，读阴平者为“鬆”之简化	s	s	oŋ	44	2								
爽	soŋ3	～快（舒服）	s	s	oŋ	53	3								
誦頌訟	soŋ4		s	s	oŋ	213	4								
宋	soŋ5		s	s	oŋ	21	5								
公攻	koŋ1		k	k	oŋ	22	1								
戇	koŋ2	傻	k	k	oŋ	44	2								
□	koŋ3	水杯	k	k	oŋ	53	3								
講	koŋ3	白	k	k	oŋ	53	3								
龔	koŋ3		k	k	oŋ	53	3								
杠汞貢	koŋ5		k	k	oŋ	21	5								
烘	koŋ5	熏	k	k	oŋ	21	5								
空	kʰoŋ1		kʰ	kʰ	oŋ	22	1								
孔	kʰoŋ3		kʰ	kʰ	oŋ	53	3								
空控	kʰoŋ5		kʰ	kʰ	oŋ	21	5								
戇	ŋoŋ5	笨	ŋ	ŋ	oŋ	21	5								
封峰轟風豐鋒	hoŋ1		h	h	oŋ	22	1								
洪烘弘虹逢鴻	hoŋ2		h	h	oŋ	44	2								
奉鳳	hoŋ4		h	h	oŋ	213	4								
諷	hoŋ5		h	h	oŋ	21	5								
翁	oŋ1				oŋ	22	1								
中	tioŋ1	文，人～	t	t	ioŋ	22	1								
仲	tioŋ4	杜～	t	t	ioŋ	213	4								
叫	tioŋ5	由tio鼻化而来，形容词尾缀	t	t	ioŋ	21	5								
扔	dzioŋ1		dz	dz	ioŋ	22	1								
戎茸絨仍	dzioŋ2		dz	dz	ioŋ	44	2								
冗	dzioŋ3		dz	dz	ioŋ	53	3								
躬穹恭	kioŋ1		k	k	ioŋ	22	1								
窮	kʰioŋ2		kʰ	kʰ	ioŋ	44	2								
恐巩鞏	kʰioŋ3		kʰ	kʰ	ioŋ	53	3								
匈凶汹	hioŋ1		h	h	ioŋ	22	1								
雄	hioŋ2		h	h	ioŋ	44	2								
雍	ioŋ1				ioŋ	22	1								
融容蓉庸鎔榕溶熔	ioŋ2				ioŋ	44	2								
勇	ioŋ3				ioŋ	53	3								
泳湧詠擁	ioŋ5				ioŋ	21	5								
奔	pfuŋ1		pf	p	uŋ	22	1								
分	pfuŋ1	送	pf	p	uŋ	22	1								
㖹	pfuŋ2	吹	pf	p	uŋ	44	2								
笨	pfuŋ3		pf	p	uŋ	53	3								
糞	pfuŋ5		pf	p	uŋ	21	5								
潘	pfʰuŋ1	潲水	pfʰ	pʰ	uŋ	22	1								
盆墳	pfʰuŋ2		pfʰ	pʰ	uŋ	44	2								
噴	pfʰuŋ5		pfʰ	pʰ	uŋ	21	5								
蚊炆	bvuŋ1		bv	b	uŋ	22	1								
玫文紋	bvuŋ2		bv	b	uŋ	44	2								
紊	bvuŋ3		bv	b	uŋ	53	3								
聞	bvuŋ4		bv	b	uŋ	213	4								
悶	ɱuŋ5		ɱ	m	uŋ	21	5								
堆	tuŋ1		t	t	uŋ	22	1								
敦墩吨	tuŋ1		t	t	uŋ	22	1								
唇	tuŋ2		t	t	uŋ	44	2								
盾遁鈍	tuŋ3		t	t	uŋ	53	3								
炖	tuŋ4		t	t	uŋ	213	4								
吞飩	tʰuŋ1		tʰ	tʰ	uŋ	22	1								
屯豚	tʰuŋ2		tʰ	tʰ	uŋ	44	2								
塵	tʰuŋ2	筅～	tʰ	tʰ	uŋ	44	2								
侖倫淪輪論	luŋ2		l	l	uŋ	44	2								
忍	nuŋ3		n	n	uŋ	53	3								
怒	nuŋ5	白，~气	n	n	uŋ	21	5								
嫩	nuŋ5		n	n	uŋ	21	5								
尊遵蹲	tsuŋ1		ts	ts	uŋ	22	1								
船	tsuŋ2		ts	ts	uŋ	44	2								
准	tsuŋ3		ts	ts	uŋ	53	3								
俊圳竣	tsuŋ5		ts	ts	uŋ	21	5								
陣	tsuŋ6		ts	ts	uŋ	42	6								
伸抻	tsʰuŋ1		tsʰ	tsʰ	uŋ	22	1								
春	tsʰuŋ1		tsʰ	tsʰ	uŋ	22	1								
存	tsʰuŋ2		tsʰ	tsʰ	uŋ	44	2								
蠢	tsʰuŋ3		tsʰ	tsʰ	uŋ	53	3								
寸	tsʰuŋ5		tsʰ	tsʰ	uŋ	21	5								
允	dzuŋ3		dz	dz	uŋ	53	3								
潤	dzuŋ4		dz	dz	uŋ	213	4								
韌	dzuŋ6		dz	dz	uŋ	42	6								
閏	dzuŋ6		dz	dz	uŋ	42	6								
孫	suŋ1	孙子；侄子	s	s	uŋ	22	1								
荀旬循巡醇淳詢純	suŋ2		s	s	uŋ	44	2								
蟬	suŋ2		s	s	uŋ	44	2								
損筍	suŋ3		s	s	uŋ	53	3								
殉順	suŋ4		s	s	uŋ	213	4								
舜瞬遜	suŋ5		s	s	uŋ	21	5								
君軍	kuŋ1		k	k	uŋ	22	1								
拳	kuŋ2		k	k	uŋ	44	2								
群	kuŋ2	白，一～人	k	k	uŋ	44	2								
裙	kuŋ2		k	k	uŋ	44	2								
滚	kuŋ3	文	k	k	uŋ	53	3								
滚	kuŋ3	弄乱。本义口语也读kun3	k	k	uŋ	53	3								
棍	kuŋ4		k	k	uŋ	213	4								
昆坤	kʰuŋ1		kʰ	kʰ	uŋ	22	1								
群	kʰuŋ2	文，～体	kʰ	kʰ	uŋ	44	2								
綑菌窘	kʰuŋ3		kʰ	kʰ	uŋ	53	3								
困睏	kʰuŋ5		kʰ	kʰ	uŋ	21	5								
昏婚混分芬熏餛紛葷氛	huŋ1		h	h	uŋ	22	1								
痕	huŋ2		h	h	uŋ	44	2								
魂渾	huŋ2		h	h	uŋ	44	2								
粉	huŋ3		h	h	uŋ	53	3								
糞奮訓憤	huŋ5		h	h	uŋ	21	5								
孕	huŋ6	白：身～，身孕	h	h	uŋ	42	6								
份	huŋ6		h	h	uŋ	42	6								
瘟溫	uŋ1				uŋ	22	1								
匀焚耘	uŋ2				uŋ	44	2								
坛	uŋ2	普宁地名用字。如：交丙坛村（在占陇）、新坛村（在流沙）。注意：闽方言俗字，本义待考			uŋ	44	2								
穩	uŋ3				uŋ	53	3								
韻運	uŋ6				uŋ	42	6								
擲	tip8	训，扔	t	t	ip	5	8								
立	lip8		l	l	ip	5	8								
執	tsip7		ts	ts	ip	32	7								
濕	tsip7	白	ts	ts	ip	32	7								
集	tsip8		ts	ts	ip	5	8								
緝	tsʰip7		tsʰ	tsʰ	ip	32	7								
入	dzip8		dz	dz	ip	5	8								
濕	sip7		s	s	ip	32	7								
十習襲拾	sip8	文	s	s	ip	5	8								
急給	kip7		k	k	ip	32	7								
及	kip7	以～，来唔～	k	k	ip	32	7								
及	kip8		k	k	ip	5	8								
泣吸級	kʰip7		kʰ	kʰ	ip	32	7								
熻	hip7		h	h	ip	32	7								
邑	ip7				ip	32	7								
答	tap7		t	t	ap	32	7								
沓	tʰap7		tʰ	tʰ	ap	32	7								
塌	tʰap8		tʰ	tʰ	ap	5	8								
納諾	nap8		n	n	ap	5	8								
汁	tsap7		ts	ts	ap	32	7								
濕	tsap7	～～，湿漉漉的	ts	ts	ap	32	7								
十	tsap8	白	ts	ts	ap	5	8								
雜	tsap8		ts	ts	ap	5	8								
什	tsap8	白，～锦	ts	ts	ap	5	8								
插	tsʰap7	文，sio1～：交往	tsʰ	tsʰ	ap	32	7								
剎	sap8	俗	s	s	ap	5	8								
合	kap7	混合。生（tsʰẽ1）～：乱吃不宜同食的食物	k	k	ap	32	7								
鴿	kap7		k	k	ap	32	7								
□	kʰap7	遮盖	kʰ	kʰ	ap	32	7								
恰	kʰap7		kʰ	kʰ	ap	32	7								
磕	kʰap8		kʰ	kʰ	ap	5	8								
合	hap8	文，但常用于口语。～起来：合起来；～起去：合上	h	h	ap	5	8								
峽	hap8	～山，地名，在潮阳	h	h	ap	5	8								
腌	ap7	～臜，脏的意思			ap	32	7								
盒匣	ap8				ap	5	8								
碟蝶牒諜	tiap8		t	t	iap	5	8								
帖貼	tʰiap7	文	tʰ	tʰ	iap	32	7								
疊	tʰiap8		tʰ	tʰ	iap	5	8								
粒	liap8		l	l	iap	5	8								
攝聶鑷	niap7		n	n	iap	32	7								
接	tsiap7		ts	ts	iap	32	7								
洽捷婕	tsiap8		ts	ts	iap	5	8								
竊	tsʰiap7		tsʰ	tsʰ	iap	32	7								
□	tsʰiap8	踩水	tsʰ	tsʰ	iap	5	8								
廿	dziap8		dz	dz	iap	5	8								
霎	siap7	~时，时不时	s	s	iap	32	7								
澀	siap7		s	s	iap	32	7								
卌	siap7	四十合音	s	s	iap	32	7								
涉泄	siap8		s	s	iap	5	8								
□	kiap7	黏	k	k	iap	32	7								
劫	kiap7		k	k	iap	32	7								
峽夾	kiap8		k	k	iap	5	8								
怯	kʰiap7		kʰ	kʰ	iap	32	7								
業	giap8	白，勤快	g	g	iap	5	8								
業	ŋiap8		ŋ	ŋ	iap	5	8								
狹脅挾俠協	hiap8		h	h	iap	5	8								
壓	iap7				iap	32	7								
葉	iap8	姓			iap	5	8								
法	huap7		h	h	uap	32	7								
□	top8	用笔涂掉错字；涂抹	t	t	op	5	8								
□	tsop7	一～花：一束花	ts	ts	op	32	7								
□	tsʰop7	～牌：洗牌	tsʰ	tsʰ	op	32	7								
不	pfuk7		pf	p	uk	32	7								
抔	pfuk7	捧着	pf	p	uk	32	7								
勿吻刎	ɱuk7	文	ɱ	m	uk	32	7								
突	tuk8		t	t	uk	5	8								
术	tuk8	白～	t	t	uk	5	8								
突脫	tʰuk7		tʰ	tʰ	uk	32	7								
㪐	luk7	脱落	l	l	uk	32	7								
捋律率	luk8		l	l	uk	5	8								
卒	tsuk7		ts	ts	uk	32	7								
秫	tsuk8		ts	ts	uk	5	8								
□	tsuk8	揉	ts	ts	uk	5	8								
糯	tsuk8	训	ts	ts	uk	5	8								
猝	tsʰuk7		tsʰ	tsʰ	uk	32	7								
出	tsʰuk7		tsʰ	tsʰ	uk	32	7								
戌恤甩率摔	suk7		s	s	uk	32	7								
述術	suk8		s	s	uk	5	8								
□	suk8	温顺	s	s	uk	5	8								
骨掘	kuk7		k	k	uk	32	7								
滑猾	kuk8		k	k	uk	5	8								
窟屈	kʰuk7		kʰ	kʰ	uk	32	7								
弗氟忽囫	huk7		h	h	uk	32	7								
佛	huk8		h	h	uk	5	8								
核	huk8	白，果～	h	h	uk	5	8								
鬱	uk7	～闷			uk	32	7								
熨	uk7				uk	32	7								
必筆	pik7		p	p	ik	32	7								
蝠	pik7	~婆：蝙蝠	p	p	ik	32	7								
畢	pik8		p	p	ik	5	8								
匹	pʰik7		pʰ	pʰ	ik	32	7								
噼	pʰik7		pʰ	pʰ	ik	32	7								
□	bik8	满	b	b	ik	5	8								
蜜	bik8		b	b	ik	5	8								
密覓蜜	mik8		m	m	ik	5	8								
得	tik7		t	t	ik	32	7								
直	tik8		t	t	ik	5	8								
鯽織脊	tsik7		ts	ts	ik	32	7								
疾	tsik8	又读dzik8	ts	ts	ik	5	8								
七	tsʰik7		tsʰ	tsʰ	ik	32	7								
拭	tsʰik7	擦	tsʰ	tsʰ	ik	32	7								
日	dzik8		dz	dz	ik	5	8								
失室蟋	sik7		s	s	ik	32	7								
食	sik8	文，开伙～	s	s	ik	5	8								
翼	sik8	白，鸡～	s	s	ik	5	8								
實	sik8		s	s	ik	5	8								
揭	kik7	~阳	k	k	ik	32	7								
結	kik7	系（jì）	k	k	ik	32	7								
橘	kik7		k	k	ik	32	7								
結	kik7		k	k	ik	32	7								
乞	kʰik7	文，～食（乞丐）	kʰ	kʰ	ik	32	7								
一乙壹	ik7				ik	32	7								
逸	ik8				ik	5	8								
扒	pak7	～掉	p	p	ak	32	7								
叭	pak7	曾经；认识	p	p	ak	32	7								
北	pak7		p	p	ak	32	7								
幅	pak7		p	p	ak	32	7								
腹	pak7	肚～：肚子；肚量	p	p	ak	32	7								
別	pak7	认识	p	p	ak	32	7								
剝	pak7		p	p	ak	32	7								
輻	pak7	～射	p	p	ak	32	7								
縛	pak8	绑	p	p	ak	5	8								
別	pak8	白，～人	p	p	ak	5	8								
博	pʰak7	～士	pʰ	pʰ	ak	32	7								
瀑	pʰak7		pʰ	pʰ	ak	32	7								
雹	pʰak8		pʰ	pʰ	ak	5	8								
曝	pʰak8	晒	pʰ	pʰ	ak	5	8								
墨	bak8		b	b	ak	5	8								
木	bak8		b	b	ak	5	8								
摸	mak7	手沾到液体	m	m	ak	32	7								
目	mak8	白读。～水好：眼力好	m	m	ak	5	8								
值	tak8		t	t	ak	5	8								
毒	tak8		t	t	ak	5	8								
達	tak8		t	t	ak	5	8								
拓	tʰak7		tʰ	tʰ	ak	32	7								
踢	tʰak7		tʰ	tʰ	ak	32	7								
讀	tʰak8		tʰ	tʰ	ak	5	8								
落	lak7	脱落下来	l	l	ak	32	7								
栗	lak8	板～	l	l	ak	5	8								
力	lak8		l	l	ak	5	8								
六	lak8		l	l	ak	5	8								
樂	lak8	快～	l	l	ak	5	8								
札扎作	tsak7		ts	ts	ak	32	7								
節	tsak7	～约（估计）	ts	ts	ak	32	7								
實	tsak8	雨～（雨下得大），tãi6～（口感紧实）	ts	ts	ak	5	8								
擦察漆	tsʰak7		tsʰ	tsʰ	ak	32	7								
鑿	tsʰak8		tsʰ	tsʰ	ak	5	8								
賊	tsʰak8		tsʰ	tsʰ	ak	5	8								
虱	sak7		s	s	ak	32	7								
塞	sak7	～车	s	s	ak	32	7								
薩	sak7		s	s	ak	32	7								
各覺	kak7		k	k	ak	32	7								
角	kak7		k	k	ak	32	7								
結	kak7	打～	k	k	ak	32	7								
咳	kʰak7		kʰ	kʰ	ak	32	7								
霍藿確殼	kʰak7		kʰ	kʰ	ak	32	7								
麯	kʰak7	白：酒～粿	kʰ	kʰ	ak	32	7								
鄂鱷噩岳	ŋak8		ŋ	ŋ	ak	5	8								
喝瞎	hak7		h	h	ak	32	7								
蓄	hak7	购置	h	h	ak	32	7								
□	hak7	购置	h	h	ak	32	7								
郝壑	hak7		h	h	ak	32	7								
轄褐	hak7		h	h	ak	32	7								
學	hak8		h	h	ak	5	8								
抑	ak7	训			ak	32	7								
沃	ak7	淋湿			ak	32	7								
惡	ak7				ak	32	7								
遏	ak7				ak	32	7								
別	piak8		p	p	iak	5	8								
滅	miak8		m	m	iak	5	8								
□	tiak7	用手指弹	t	t	iak	32	7								
哲侄跌秩窒	tiak7		t	t	iak	32	7								
撤徹	tʰiak7		tʰ	tʰ	iak	32	7								
列栗烈	liak8		l	l	iak	5	8								
略	liak8	文，楚～（随便）	l	l	iak	5	8								
浙嚼酌	tsiak7		ts	ts	iak	32	7								
即	tsiak7		ts	ts	iak	32	7								
灼	tsiak8		ts	ts	iak	5	8								
切雀鵲	tsʰiak7		tsʰ	tsʰ	iak	32	7								
若弱熱	dziak8		dz	dz	iak	5	8								
屑設	siak7		s	s	iak	32	7								
吉	kiak7		k	k	iak	32	7								
結	kiak7	~冻(tang5)：结成冻	k	k	iak	32	7								
潔	kiak7		k	k	iak	32	7								
桔	kiak7	桔梗	k	k	iak	32	7								
傑	kiak8		k	k	iak	5	8								
卻	kʰiak7		kʰ	kʰ	iak	32	7								
□	kʰiak8	用刷子刷	kʰ	kʰ	iak	5	8								
吃	ŋiak7		ŋ	ŋ	iak	32	7								
虐	ŋiak8		ŋ	ŋ	iak	5	8								
約	iak7				iak	32	7								
躍	iak8				iak	5	8								
拔	pfuak8		pf	p	uak	5	8								
勃	pfuak8		pf	p	uak	5	8								
