"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"
"4657"	"瓶"	"瓶"	"paŋ阳平"	"白"	""	""
"4658"	"屏"	"屏"	"peŋ阴上"	"文"	""	""
"4659"	"屏"	"屏"	"pʰiŋ阳平"	"白"	""	""
"4660"	"並"	"并"	"peŋ阳上"	""	""	""
"4661"	"銘"	"铭"	"meŋ阳平"	"文"	""	""
"4662"	"銘"	"铭"	"mia阳平"	"白"	""	""
"4663"	"冥"	"冥"	"meŋ阳平"	"文"	""	""
"4664"	"冥"	"冥"	"me阳平"	"白"	""	""
"4665"	"丁"	"丁"	"teŋ阴平"	""	""	""
"4666"	"釘"	"钉"	"teŋ阴平"	""	""	""
"4667"	"釘"	"钉"	"teŋ去声"	""	""	""
"4668"	"頂"	"顶"	"teŋ阴上"	""	""	""
"4669"	"鼎"	"鼎"	"teŋ阴上"	"文"	""	""
"4670"	"鼎"	"鼎"	"tiã阴上"	"白"	""	""
"4671"	"訂"	"订"	"teŋ去声"	""	""	""
"4672"	"聽"	"听"	"tʰeŋ去声"	"文"	""	""
"4673"	"聽"	"听"	"tʰiã阴平"	"白"	""	""
"4674"	"汀"	"汀"	"tʰeŋ阴平"	""	""	""
"4675"	"廳"	"厅"	"tʰeŋ阴平"	"文"	""	""
"4676"	"廳"	"厅"	"tʰiã阴平"	"白"	""	""
"4677"	"廷"	"廷"	"tʰeŋ阳平"	""	""	""
"4678"	"停"	"停"	"tʰeŋ阳平"	""	""	""
"4679"	"停"	"停"	"teŋ阳平"	""	""	""
"4680"	"亭"	"亭"	"teŋ阳平"	""	""	""
"4681"	"庭"	"庭"	"tʰeŋ阳平"	"文"	""	""
"4682"	"庭"	"庭"	"tiã阳平"	"白"	""	""
"4683"	"蜓"	"蜓"	"tʰeŋ阳平"	""	""	""
"4684"	"挺"	"挺"	"tʰeŋ阴上"	""	""	""
"4685"	"艇"	"艇"	"tʰeŋ阴上"	""	""	""
"4686"	"錠"	"锭"	"teŋ去声"	"文"	""	""
"4687"	"錠"	"锭"	"tiã去声"	"白"	""	""
"4688"	"定"	"定"	"teŋ去声"	"文"	""	""
"4689"	"定"	"定"	"tiã去声"	"白"	""	""
"4690"	"寧"	"宁"	"leŋ阳平"	""	""	""
"4691"	"寧"	"宁"	"neŋ阳平"	""	""	""
"4692"	"佞"	"佞"	"neŋ去声"	""	""	""
"4693"	"靈"	"灵"	"leŋ阳平"	""	""	""
"4694"	"零"	"零"	"leŋ阳平"	"文"	""	""
"4695"	"零"	"零"	"laŋ阳平"	"白"	""	""
"4696"	"鈴"	"铃"	"leŋ阴平"	""	""	""
"4697"	"伶"	"伶"	"leŋ阳平"	""	""	""
"4698"	"另"	"另"	"leŋ阳平"	""	""	""
"4699"	"青"	"青"	"tsʰeŋ阴平"	"文"	""	""
"4700"	"青"	"青"	"tsʰẽ阴平"	"白"	""	""
"4701"	"蜻"	"蜻"	"tsʰeŋ阴平"	"文"	""	""
"4702"	"蜻"	"蜻"	"tsʰẽ阴平"	""	""	""
"4703"	"星"	"星"	"seŋ阴平"	"文"	""	""
"4704"	"星"	"星"	"saŋ阴平"	"白"	""	""
"4705"	"星"	"星"	"tsʰẽ阴平"	"白"	""	""
"4706"	"腥"	"腥"	"seŋ阴平"	"文"	""	""
"4707"	"腥"	"腥"	"tsʰẽ阴平"	"白"	""	""
"4708"	"醒"	"醒"	"seŋ阴上"	"文"	""	""
"4709"	"醒"	"醒"	"tsʰẽ阴上"	"白"	""	""
"4710"	"經"	"经"	"keŋ阴平"	"文"	""	""
"4711"	"經"	"经"	"kẽ阴平"	"白"	""	""
"4712"	"經"	"经"	"kiã阴平"	"白"	""	""
"4713"	"徑"	"径"	"keŋ去声"	"文"	""	""
"4714"	"徑"	"径"	"kẽ去声"	"白"	""	""
"4715"	"磬"	"磬"	"kʰeŋ去声"	""	""	""
"4716"	"馨"	"馨"	"heŋ阴平"	""	""	""
"4717"	"刑"	"刑"	"heŋ阳平"	""	""	""
"4718"	"型"	"型"	"heŋ阳平"	""	""	""
"4719"	"形"	"形"	"heŋ阳平"	""	""	""
"4720"	"百"	"百"	"pek阴入"	"文"	""	""
"4721"	"百"	"百"	"peʔ阴入"	"白"	""	""
"4722"	"柏"	"柏"	"pek阴入"	"文"	""	""
"4723"	"柏"	"柏"	"peʔ阴入"	"白"	""	""
"4724"	"伯"	"伯"	"pek阴入"	"文"	""	""
"4725"	"伯"	"伯"	"peʔ阴入"	"白"	""	""
"4726"	"迫"	"迫"	"pek阴入"	"文"	""	""
"4727"	"迫"	"迫"	"pak阴入"	"白"	""	""
"4728"	"拍"	"拍"	"pʰek阴入"	"文"	""	""
"4729"	"拍"	"拍"	"pʰaʔ阴入"	"白"	""	""
"4730"	"珀"	"珀"	"pʰek阴入"	""	""	""
"4731"	"魄"	"魄"	"pʰek阴入"	""	""	""
"4732"	"白"	"白"	"pek阳入"	"文"	""	""
"4733"	"白"	"白"	"peʔ阳入"	"白"	""	""
"4734"	"帛"	"帛"	"pek阳入"	"文"	""	""
"4735"	"帛"	"帛"	"peʔ阳入"	"白"	""	""
"4736"	"陌"	"陌"	"mek阳入"	""	""	""
"4737"	"拆"	"拆"	"tʰek阴入"	"文"	""	""
"4738"	"拆"	"拆"	"tʰiaʔ阴入"	"白"	""	""
"4739"	"擇"	"择"	"toʔ阳入"	"替"	""	""
"4740"	"擇"	"择"	"tak阳入"	"白"	""	""
"4741"	"澤"	"泽"	"tsek阳入"	""	""	""
"4742"	"宅"	"宅"	"tek阳入"	"文"	""	""
"4743"	"宅"	"宅"	"tʰeʔ阳入"	"白"	""	""
"4744"	"窄"	"窄"	"tsek阳入"	""	""	""
"4745"	"格"	"格"	"kek阴入"	"文"	""	""
"4746"	"格"	"格"	"keʔ阴入"	"白"	""	""
"4747"	"客"	"客"	"kʰeʔ阴入"	"白"	""	""
"4748"	"客"	"客"	"kʰak阴入"	"白"	""	""
"4749"	"咳"	"咳"	"kʰek阴入"	"文"	""	""
"4750"	"咳"	"咳"	"kʰeʔ阴入"	"白"	""	""
"4751"	"咳"	"咳"	"ka阴平"	"白"	""	""
"4752"	"額"	"额"	"ŋek阳入"	"文"	""	""
"4753"	"額"	"额"	"hiaʔ阳入"	"白"	""	""
"4754"	"赫"	"赫"	"hek阴入"	""	""	""
"4755"	"麥"	"麦"	"mek阳入"	"文"	""	""
"4756"	"麥"	"麦"	"beʔ阳入"	"白"	""	""
"4757"	"脈"	"脉"	"mek阳入"	"文"	""	""
"4758"	"脈"	"脉"	"beʔ阳入"	"白"	""	""
"4759"	"摘"	"摘"	"tek阴入"	"文"	""	""
"4760"	"摘"	"摘"	"tiaʔ阴入"	"白"	""	""
"4761"	"責"	"责"	"tsek阴入"	"文"	""	""
"4762"	"責"	"责"	"tseʔ阴入"	"白"	""	""
"4763"	"策"	"策"	"tsʰek阴入"	"文"	""	""
"4764"	"策"	"策"	"tsʰeʔ阴入"	"白"	""	""
"4765"	"册"	"册"	"tsʰek阴入"	"文"	""	""
"4766"	"册"	"册"	"tsʰeʔ阴入"	"白"	""	""
"4767"	"栅"	"栅"	"tsʰek阴入"	""	""	""
"4768"	"革"	"革"	"kek阴入"	""	""	""
"4769"	"隔"	"隔"	"kek阴入"	"文"	""	""
"4770"	"隔"	"隔"	"keʔ阴入"	"白"	""	""
"4771"	"核"	"核"	"hek阴入"	"文"	""	""
"4772"	"覆"	"覆"	"hok阳入"	""	""	""
"4773"	"厄"	"厄"	"ek阴入"	"文"	""	""
"4774"	"厄"	"厄"	"eʔ阴入"	"白"	""	""
"4775"	"扼"	"扼"	"ek阴入"	"文"	""	""
"4776"	"扼"	"扼"	"ak阴入"	"白"	""	""
"4777"	"軛"	"轭"	"ek阴入"	""	""	""
"4778"	"碧"	"碧"	"pʰek阴入"	""	""	""
"4779"	"戟"	"戟"	"kek阴入"	""	""	""
"4780"	"隙"	"隙"	"kʰek阴入"	"文"	""	""
"4781"	"隙"	"隙"	"kʰiaʔ阴入"	"白"	""	""
"4782"	"劇"	"剧"	"kek阳入"	"文"	""	""
"4783"	"劇"	"剧"	"kiak阳入"	"白"	""	""
"4784"	"劇"	"剧"	"kiaʔ阳入"	"白"	""	""
"4785"	"屐"	"屐"	"kek阳入"	"文"	""	""
"4786"	"屐"	"屐"	"kiaʔ阳入"	"白"	""	""
"4787"	"逆"	"逆"	"ŋek阳入"	"文"	""	""
"4788"	"逆"	"逆"	"keʔ阳入"	"白"	""	""
"4789"	"逆"	"逆"	"ŋiak阳入"	"白"	""	""
"4790"	"璧"	"璧"	"pek阴入"	"文"	""	""
"4791"	"璧"	"璧"	"piaʔ阴入"	"白"	""	""
"4792"	"僻"	"僻"	"pʰek阴入"	"文"	""	""
"4793"	"僻"	"僻"	"pʰiaʔ阴入"	"白"	""	""
"4794"	"闢"	"辟"	"pek阳入"	""	""	""
"4795"	"積"	"积"	"tsek阴入"	"文"	""	""
"4796"	"積"	"积"	"tseʔ阴入"	"白"	""	""
"4797"	"跡"	"迹"	"tsek阴入"	"文"	""	""
"4798"	"跡"	"迹"	"tsiaʔ阴入"	"白"	""	""
"4799"	"脊"	"脊"	"tsek阴入"	"文"	""	""
"4800"	"脊"	"脊"	"tsiaʔ阴入"	""	""	""
"4801"	"籍"	"籍"	"̃tsek阳入"	"文"	""	""
"4802"	"籍"	"籍"	"tsiak阳入"	"白"	""	""
"4803"	"藉"	"藉"	"tsiaʔ阳入"	"白"	""	""
"4804"	"昔"	"昔"	"sek阴入"	""	""	""
"4805"	"惜"	"惜"	"sek阴入"	"文"	""	""
"4806"	"惜"	"惜"	"sioʔ阴入"	"白"	""	""
"4807"	"席"	"席"	"sek阳入"	"文"	""	""
"4808"	"席"	"席"	"tsʰioʔ阳入"	"白"	""	""
"4809"	"夕"	"夕"	"sek阴入"	""	""	""
"4810"	"擲"	"掷"	"tsek阳入"	""	""	""
"4811"	"隻"	"只"	"tsek阴入"	"文"	""	""
"4812"	"隻"	"只"	"tsiaʔ阴入"	"白"	""	""
"4813"	"炙"	"炙"	"tsek阴入"	"文"	""	""
"4814"	"炙"	"炙"	"tsia去声"	"文"	""	""
"4815"	"赤"	"赤"	"tsʰek阴入"	"文"	""	""
"4816"	"赤"	"赤"	"tsʰiaʔ阴入"	"白"	""	""
"4817"	"斥"	"斥"	"tsʰek阴入"	""	""	""
"4818"	"尺"	"尺"	"tsʰek阴入"	"文"	""	""
"4819"	"尺"	"尺"	"tsʰioʔ阴入"	"白"	""	""
"4820"	"適"	"适"	"sek阴入"	""	""	""
"4821"	"釋"	"释"	"sek阴入"	""	""	""
"4822"	"石"	"石"	"sek阳入"	"文"	""	""
"4823"	"石"	"石"	"tsioʔ阳入"	"白"	""	""
"4824"	"碩"	"硕"	"sek阳入"	"文"	""	""
"4825"	"碩"	"硕"	"siaʔ阳入"	"白"	""	""
"4826"	"益"	"益"	"ek阴入"	"文"	""	""
"4827"	"益"	"益"	"iaʔ阴入"	"白"	""	""
"4828"	"亦"	"亦"	"ek阳入"	""	""	""
"4829"	"譯"	"译"	"ek阳入"	""	""	""
"4830"	"液"	"液"	"ek阳入"	"文"	""	""
"4831"	"液"	"液"	"sioʔ阳入"	"白"	""	""
"4832"	"腋"	"腋"	"ek阳入"	""	""	""
"4833"	"壁"	"壁"	"pek阴入"	"文"	""	""
"4834"	"壁"	"壁"	"piaʔ阴入"	"白"	""	""
"4835"	"霹"	"霹"	"pʰek阴入"	""	""	""
"4836"	"劈"	"劈"	"pʰek阴入"	""	""	""
"4837"	"覓"	"觅"	"mek阳入"	""	""	""
"4838"	"滴"	"滴"	"tek阴入"	"文"	""	""
"4839"	"滴"	"滴"	"tiʔ阴入"	"白"	""	""
"4840"	"嫡"	"嫡"	"tek阴入"	"文"	""	""
"4841"	"嫡"	"嫡"	"tiaʔ阴入"	"白"	""	""
"4842"	"的"	"的"	"tek阳入"	""	""	""
"4843"	"踢"	"踢"	"tʰek阴入"	"文"	""	""
"4844"	"踢"	"踢"	"tʰak阴入"	"白"	""	""
"4845"	"剔"	"剔"	"tʰek阴入"	"文"	""	""
"4846"	"剔"	"剔"	"tʰak阴入"	"白"	""	""
"4847"	"狄"	"狄"	"tek阳入"	""	""	""
"4848"	"笛"	"笛"	"tek阳入"	""	""	""
"4849"	"敵"	"敌"	"tek阳入"	""	""	""
"4850"	"糴"	"籴"	"tek阳入"	"文"	""	""
"4851"	"糴"	"籴"	"tiaʔ阳入"	"白"	""	""
"4852"	"溺"	"溺"	"nek阳入"	""	""	""
"4853"	"歷"	"历"	"lek阳入"	"文"	""	""
"4854"	"歷"	"历"	"leʔ阳入"	"白"	""	""
"4855"	"歷"	"历"	"liak阳入"	"白"	""	""
"4856"	"曆"	"历"	"lek阳入"	"文"	""	""
"4857"	"曆"	"历"	"leʔ阳入"	"白"	""	""
"4858"	"曆"	"历"	"liak阳入"	"白"	""	""
"4859"	"績"	"绩"	"tsek阴入"	"文"	""	""
"4860"	"績"	"绩"	"tseʔ阴入"	"白"	""	""
"4861"	"戚"	"戚"	"tsʰek阴入"	""	""	""
"4862"	"寂"	"寂"	"siok阴入"	""	""	""
"4863"	"錫"	"锡"	"sek阴入"	"文"	""	""
"4864"	"錫"	"锡"	"siaʔ阴入"	"白"	""	""
"4865"	"析"	"析"	"sek阴入"	""	""	""
"4866"	"擊"	"击"	"kek阴入"	""	""	""
"4867"	"激"	"激"	"kek阴入"	""	""	""
"4868"	"喫"	"吃"	"kʰek阴入"	"文"	""	""
"4869"	"礦"	"矿"	"kʰuaŋ去声"	""	""	""
"4870"	"橫"	"横"	"hueŋ阳平"	"文"	""	""
"4871"	"橫"	"横"	"huẽ阳平"	"白"	""	""
"4872"	"橫"	"横"	"huẽ去声"	"白"	""	""
"4873"	"轟"	"轰"	"hoŋ阴平"	"文"	""	""
"4874"	"轟"	"轰"	"hueŋ去声"	"白"	""	""
"4875"	"宏"	"宏"	"kʰueŋ阳平"	"白"	""	""
"4876"	"宏"	"宏"	"hoŋ阳平"	"文"	""	""
"4877"	"兄"	"兄"	"hiã阴平"	""	""	""
"4878"	"榮"	"荣"	"ueŋ阳平"	"白"	""	""
"4879"	"榮"	"荣"	"ioŋ阳平"	"文"	""	""
"4880"	"永"	"永"	"ueŋ阴上"	"白"	""	""
"4881"	"永"	"永"	"ioŋ阴上"	"文"	""	""
"4882"	"泳"	"泳"	"ueŋ去声"	"白"	""	""
"4883"	"泳"	"泳"	"ioŋ去声"	"文"	""	""
"4884"	"咏"	"咏"	"ueŋ去声"	"白"	""	""
"4885"	"咏"	"咏"	"ioŋ去声"	"文"	""	""
"4886"	"傾"	"倾"	"kʰueŋ阴平"	""	""	""
"4887"	"頃"	"顷"	"kʰueŋ阴平"	""	""	""
"4888"	"頃"	"顷"	"kʰueŋ阴上"	""	""	""
"4889"	"瓊"	"琼"	"kʰueŋ阳平"	""	""	""
"4890"	"營"	"营"	"ueŋ阳平"	"文"	""	""
"4891"	"營"	"营"	"iã阳平"	"白"	""	""
"4892"	"塋"	"茔"	"ueŋ阳平"	""	""	""
"4893"	"穎"	"颖"	"kueŋ阴上"	""	""	""
"4894"	"螢"	"萤"	"ueŋ阳平"	""	""	""
"4895"	"迥"	"迥"	"kueŋ阴上"	""	""	""
"4896"	"虢"	"虢"	"kuek阴入"	""	""	""
"4897"	"獲"	"获"	"uek阳入"	""	""	""
"4898"	"劃"	"划"	"uek阳入"	"文"	""	""
"4899"	"劃"	"划"	"ueʔ阳入"	"白"	""	""
"4900"	"劃"	"划"	"huek阴入"	"文"	""	""
"4901"	"役"	"役"	"uek阳入"	""	""	""
"4902"	"疫"	"疫"	"ek阳入"	"文"	""	""
"4903"	"疫"	"疫"	"mok阳入"	"俗"	""	""
"4904"	"篷"	"篷"	"pʰoŋ阳平"	"文"	""	""
"4905"	"篷"	"篷"	"pʰaŋ阳平"	"白"	""	""
"4906"	"蓬"	"蓬"	"poŋ阳平"	"文"	""	""
"4907"	"蓬"	"蓬"	"pʰoŋ阳平"	"文"	""	""
"4908"	"蒙"	"蒙"	"moŋ阳平"	""	""	""
"4909"	"懵"	"懵"	"moŋ阴上"	""	""	""
"4910"	"東"	"东"	"toŋ阴平"	"文"	""	""
"4911"	"東"	"东"	"taŋ阴平"	"白"	""	""
"4912"	"董"	"董"	"toŋ阴上"	"文"	""	""
"4913"	"董"	"董"	"taŋ阴上"	"白"	""	""
"4914"	"懂"	"懂"	"toŋ阴上"	""	""	""
"4915"	"棟"	"栋"	"toŋ去声"	"文"	""	""
"4916"	"棟"	"栋"	"taŋ去声"	"白"	""	""
"4917"	"凍"	"冻"	"toŋ去声"	"文"	""	""
"4918"	"凍"	"冻"	"taŋ去声"	"白"	""	""
"4919"	"通"	"通"	"tʰoŋ阴平"	"文"	""	""
"4920"	"通"	"通"	"tʰaŋ阴平"	"白"	""	""
"4921"	"通"	"通"	"tʰoŋ去声"	"又"	""	""
"4922"	"桶"	"桶"	"tʰoŋ阴上"	"文"	""	""
"4923"	"桶"	"桶"	"tʰaŋ阴上"	"白"	""	""
"4924"	"捅"	"捅"	"tʰoŋ阴上"	"文"	""	""
"4925"	"捅"	"捅"	"tʰaŋ阴上"	"白"	""	""
"4926"	"捅"	"捅"	"tʰŋ阴上"	"白"	""	""
"4927"	"痛"	"痛"	"tʰoŋ去声"	"文"	""	""
"4928"	"痛"	"痛"	"tʰiã去声"	"替"	""	""
"4929"	"同"	"同"	"tʰoŋ阳平"	"文"	""	""
"4930"	"同"	"同"	"taŋ阳平"	"白"	""	""
"4931"	"銅"	"铜"	"taŋ阳平"	""	""	""
"4932"	"桐"	"桐"	"tʰoŋ阳平"	"文"	""	""
"4933"	"桐"	"桐"	"taŋ阳平"	"白"	""	""
"4934"	"筒"	"筒"	"tʰoŋ阳平"	"文"	""	""
"4935"	"筒"	"筒"	"taŋ阳平"	"白"	""	""
"4936"	"童"	"童"	"tʰoŋ阳平"	"文"	""	""
"4937"	"童"	"童"	"taŋ阳平"	"白"	""	""
"4938"	"瞳"	"瞳"	"tʰoŋ阳平"	"文"	""	""
"4939"	"瞳"	"瞳"	"taŋ阳平"	"白"	""	""
"4940"	"動"	"动"	"toŋ阳上"	"文"	""	""
"4941"	"動"	"动"	"taŋ阳上"	"白"	""	""
"4942"	"洞"	"洞"	"tʰoŋ去声"	"文"	""	""
"4943"	"洞"	"洞"	"tʰoŋ阳平"	"文"	""	""
"4944"	"洞"	"洞"	"taŋ去声"	"白"	""	""
"4945"	"籠"	"笼"	"loŋ阳平"	"文"	""	""
"4946"	"籠"	"笼"	"loŋ阴上"	"文"	""	""
"4947"	"籠"	"笼"	"laŋ阳平"	"白"	""	""
"4948"	"籠"	"笼"	"laŋ阴上"	"白"	""	""
"4949"	"聾"	"聋"	"loŋ阳平"	"文"	""	""
"4950"	"聾"	"聋"	"laŋ阳平"	"白"	""	""
"4951"	"攏"	"拢"	"loŋ阴上"	""	""	""
"4952"	"弄"	"弄"	"loŋ去声"	"文"	""	""
"4953"	"弄"	"弄"	"luŋ去声"	"又"	""	""
"4954"	"棕"	"棕"	"tsoŋ阴平"	"文"	""	""
"4955"	"棕"	"棕"	"tsaŋ阴平"	"白"	""	""
"4956"	"鬃"	"鬃"	"tsoŋ阴平"	"文"	""	""
"4957"	"鬃"	"鬃"	"tsaŋ阴平"	"白"	""	""
"4958"	"總"	"总"	"tsoŋ阴上"	"文"	""	""
"4959"	"總"	"总"	"tsaŋ阴上"	"白"	""	""
"4960"	"粽"	"粽"	"tsoŋ去声"	"文"	""	""
"4961"	"粽"	"粽"	"tsaŋ去声"	"白"	""	""
"4962"	"聰"	"聪"	"tsʰoŋ阴平"	""	""	""
"4963"	"匆"	"匆"	"tsʰoŋ阴平"	""	""	""
"4964"	"葱"	"葱"	"tsʰoŋ阴平"	"文"	""	""
"4965"	"葱"	"葱"	"tsʰaŋ阴平"	"白"	""	""
"4966"	"囱"	"囱"	"tsʰoŋ阴平"	""	""	""
"4967"	"叢"	"丛"	"tsʰoŋ阳平"	"文"	""	""
"4968"	"叢"	"丛"	"tsaŋ阳平"	"白"	""	""
"4969"	"送"	"送"	"soŋ去声"	"文"	""	""
"4970"	"送"	"送"	"saŋ去声"	"白"	""	""
"4971"	"公"	"公"	"koŋ阴平"	"文"	""	""
"4972"	"公"	"公"	"kaŋ阴平"	"白"	""	""
"4973"	"工"	"工"	"koŋ阴平"	"文"	""	""
"4974"	"工"	"工"	"kaŋ阴平"	"白"	""	""
"4975"	"工"	"工"	"kʰaŋ阴平"	"白"	""	""
"4976"	"功"	"功"	"koŋ阴平"	"文"	""	""
"4977"	"功"	"功"	"kaŋ阴平"	"白"	""	""
"4978"	"攻"	"攻"	"koŋ阴平"	""	""	""
"4979"	"貢"	"贡"	"koŋ去声"	""	""	""
"4980"	"空"	"空"	"kʰoŋ阴平"	"文"	""	""
"4981"	"空"	"空"	"kʰaŋ阴平"	"白"	""	""
"4982"	"孔"	"孔"	"kʰoŋ阴上"	"文"	""	""
"4983"	"孔"	"孔"	"kʰaŋ阴上"	"白"	""	""
"4984"	"控"	"控"	"kʰoŋ去声"	""	""	""
"4985"	"烘"	"烘"	"hoŋ阴平"	"文"	""	""
"4986"	"烘"	"烘"	"hoŋ阳平"	"文"	""	""
"4987"	"烘"	"烘"	"haŋ阳平"	"白"	""	""
"4988"	"哄"	"哄"	"hoŋ阳上"	""	""	""
"4989"	"紅"	"红"	"hoŋ阳平"	"文"	""	""
"4990"	"紅"	"红"	"aŋ阳平"	"白"	""	""
"4991"	"洪"	"洪"	"hoŋ阳平"	"文"	""	""
"4992"	"鴻"	"鸿"	"hoŋ阳平"	""	""	""
"4993"	"汞"	"汞"	"koŋ去声"	""	""	""
"4994"	"閧"	"閧"	"hoŋ去声"	""	""	""
"4995"	"翁"	"翁"	"oŋ阴平"	"文"	""	""
"4996"	"翁"	"翁"	"aŋ阴平"	"白"	""	""
"4997"	"瓮"	"瓮"	"oŋ去声"	"文"	""	""
"4998"	"瓮"	"瓮"	"aŋ去声"	"白"	""	""
"4999"	"冬"	"冬"	"toŋ阴平"	"文"	""	""
"5000"	"冬"	"冬"	"taŋ阴平"	"白"	""	""
"5001"	"統"	"统"	"tʰoŋ阴上"	""	""	""
"5002"	"農"	"农"	"loŋ阳平"	""	""	""
"5003"	"農"	"农"	"noŋ阳平"	""	""	""
"5004"	"膿"	"脓"	"noŋ阳平"	"文"	""	""
"5005"	"膿"	"脓"	"naŋ阳平"	"白"	""	""
"5006"	"宗"	"宗"	"tsoŋ阴平"	""	""	""
"5007"	"鬆"	"松"	"soŋ阴平"	"文"	""	""
"5008"	"鬆"	"松"	"saŋ阴平"	"白"	""	""
"5009"	"宋"	"宋"	"soŋ去声"	"文"	""	""
"5010"	"宋"	"宋"	"saŋ去声"	"白"	""	""
"5011"	"風"	"风"	"hoŋ阴平"	"文"	""	""
"5012"	"風"	"风"	"hioŋ阴平"	"文"	""	""
"5013"	"風"	"风"	"huaŋ阴平"	"白"	""	""
"5014"	"瘋"	"疯"	"hoŋ阴平"	""	""	""
"5015"	"諷"	"讽"	"hoŋ去声"	""	""	""
"5016"	"豐"	"丰"	"hoŋ阴平"	""	""	""
"5017"	"馮"	"冯"	"hoŋ阳平"	"文"	""	""
"5018"	"馮"	"冯"	"paŋ阳平"	"白"	""	""
"5019"	"鳳"	"凤"	"hoŋ阳上"	""	""	""
"5020"	"夢"	"梦"	"moŋ去声"	"文"	""	""
"5021"	"夢"	"梦"	"maŋ去声"	"白"	""	""
"5022"	"隆"	"隆"	"lioŋ阳平"	""	""	""
"5023"	"隆"	"隆"	"loŋ阳平"	""	""	""
"5024"	"嵩"	"嵩"	"sioŋ阴平"	""	""	""
"5025"	"中"	"中"	"tioŋ阴平"	"文"	""	""
"5026"	"中"	"中"	"tioŋ去声"	"文"	""	""
"5027"	"中"	"中"	"taŋ阴平"	"白"	""	""
"5028"	"中"	"中"	"teŋ去声"	"白"	""	""
"5029"	"忠"	"忠"	"tioŋ阴平"	""	""	""
"5030"	"蟲"	"虫"	"tsʰioŋ阳平"	"文"	""	""
"5031"	"蟲"	"虫"	"tʰaŋ阳平"	"白"	""	""
"5032"	"仲"	"仲"	"tioŋ去声"	""	""	""
"5033"	"崇"	"崇"	"tsioŋ阳平"	"文"	""	""
"5034"	"崇"	"崇"	"tsʰioŋ阳平"	"文"	""	""
"5035"	"終"	"终"	"tsioŋ阴平"	""	""	""
"5036"	"眾"	"众"	"tsioŋ去声"	"文"	""	""
"5037"	"眾"	"众"	"tseŋ去声"	"白"	""	""
"5038"	"充"	"充"	"tsʰoŋ阴平"	""	""	""
"5039"	"充"	"充"	"tsʰioŋ阴平"	""	""	""
"5040"	"銃"	"铳"	"tsʰioŋ去声"	"文"	""	""
"5041"	"銃"	"铳"	"tsʰeŋ去声"	"白"	""	""
"5042"	"絨"	"绒"	"dzioŋ阳平"	""	""	""
"5043"	"戎"	"戎"	"dzioŋ阳平"	""	""	""
"5044"	"弓"	"弓"	"kioŋ阴平"	"文"	""	""
"5045"	"弓"	"弓"	"keŋ阴平"	"白"	""	""
"5046"	"躬"	"躬"	"kioŋ阴平"	""	""	""
"5047"	"宮"	"宫"	"kioŋ阴平"	"文"	""	""
"5048"	"宮"	"宫"	"keŋ阴平"	"白"	""	""
"5049"	"穹"	"穹"	"kʰioŋ阴平"	""	""	""
"5050"	"窮"	"穷"	"kioŋ阳平"	"文"	""	""
"5051"	"窮"	"穷"	"keŋ阳平"	"白"	""	""
"5052"	"熊"	"熊"	"hioŋ阳平"	"文"	""	""
"5053"	"熊"	"熊"	"him阳平"	"白"	""	""
"5054"	"雄"	"雄"	"hioŋ阳平"	"文"	""	""
"5055"	"雄"	"雄"	"heŋ阳平"	"白"	""	""
"5056"	"融"	"融"	"ioŋ阳平"	"文"	""	""
"5057"	"融"	"融"	"iõ阳平"	"替"	""	""
"5058"	"封"	"封"	"hoŋ阴平"	"文"	""	""
"5059"	"封"	"封"	"huaŋ阴平"	"白"	""	""
"5060"	"峰"	"峰"	"hoŋ阴平"	""	""	""
"5061"	"蜂"	"蜂"	"hoŋ阴平"	"文"	""	""
"5062"	"蜂"	"蜂"	"pʰaŋ阴平"	"白"	""	""
"5063"	"鋒"	"锋"	"hoŋ阴平"	""	""	""
"5064"	"捧"	"捧"	"pʰoŋ阴上"	"白"	""	""
"5065"	"捧"	"捧"	"hoŋ阴上"	"文"	""	""
"5066"	"逢"	"逢"	"poŋ阳平"	"白"	""	""
"5067"	"逢"	"逢"	"hoŋ阳平"	"文"	""	""
"5068"	"縫"	"缝"	"hoŋ阳平"	"文"	""	""
"5069"	"縫"	"缝"	"pʰoŋ阳平"	"白"	""	""
"5070"	"縫"	"缝"	"pʰaŋ去声"	"白"	""	""
"5071"	"奉"	"奉"	"poŋ阳上"	"白"	""	""
"5072"	"奉"	"奉"	"hoŋ阳上"	"文"	""	""
"5073"	"俸"	"俸"	"poŋ去声"	"白"	""	""
"5074"	"俸"	"俸"	"hoŋ阳上"	"文"	""	""
"5075"	"濃"	"浓"	"noŋ阳平"	""	""	""
"5076"	"龍"	"龙"	"lioŋ阳平"	"文"	""	""
"5077"	"龍"	"龙"	"leŋ阳平"	"白"	""	""
"5078"	"隴"	"陇"	"lioŋ阴上"	"文"	""	""
"5079"	"隴"	"陇"	"leŋ阴上"	"白"	""	""
"5080"	"壟"	"垄"	"loŋ阴上"	"文"	""	""
"5081"	"壟"	"垄"	"leŋ阴上"	"白"	""	""
"5082"	"蹤"	"踪"	"tsioŋ阴平"	""	""	""
"5083"	"縱"	"纵"	"tsioŋ去声"	"文"	""	""
"5084"	"縱"	"纵"	"tseŋ去声"	"白"	""	""
"5085"	"從"	"从"	"tsʰioŋ阳平"	""	""	""
