汉字	拼音	IPA	注释	编号	符号	调值	名称		说明：本字表使用Sawroeg，以武鸣壮语为主，收集了壮语（包含方言）的汉字音，不区分层次。				
踢	dik	tik55											
剔	dik	tik55											
狄													
笛	dig	tik33											
笛	deg	teːk33											
敵	dig	tik33											
糴													
溺													
溺													
歷	lig	lik33											
曆	lig	lik33											
績	cik	ɕik55											
戚	cik	ɕik55											
寂													
錫	sik	θik55											
析	sik	θik55											
析	cek	ɕeːk35											
擊													
激	gik	kik55											
激	gig	kik33											
喫													
礦	gvangq	kʷaːŋ35											
橫	vengz	βeŋ31											
橫	vang	βaːŋ24											
轟	hoengh	hoŋ33											
宏	hung	huŋ24											
兄	hing	hiŋ24											
榮	vingz	βiŋ31											
榮	yungz	juŋ31											
永	vingx	βiŋ42											
永	yungx	juŋ42											
永	yinx	jin42											
泳	vingh	βiŋ33											
咏	vingh	βiŋ33											
傾	ging	kiŋ24											
頃	gingj	kiŋ55											
瓊													
營	yingz	jiŋ31											
塋													
瑩	vingz	βiŋ31											
穎	vingx	βiŋ42											
螢	hingz	hiŋ31											
螢	yingj	jiŋ55											
迥													
虢													
獲	veg	βeːk33											
獲	vueg	βuːk33											
劃	veg	βeːk33											
役	yig	jik33											
疫	yig	jik33											
篷	bungz	puŋ31											
蓬	boengz	poŋ31											
蒙	moengz	moŋ31											
懵	moengj	moŋ55											
東	doeng	toŋ24											
董													
懂	doengj	toŋ55											
棟	doengz	toŋ31											
凍	doengq	toŋ35											
凍	dung	tuŋ24											
通	doeng	toŋ24											
桶	doengj	toŋ55											
捅	doengj	toŋ55											
捅	dongj	toːŋ55											
痛	doengq	toŋ35											
同	doengz	toŋ31											
銅	doengz	toŋ31											
桐	doengz	toŋ31											
筒	doengz	toŋ31											
童	doengz	toŋ31											
瞳													
動	doengh	toŋ33											
洞													
籠	roengz	ɣoŋ31											
籠	loengz	loŋ31											
聾													
攏	lungj	luŋ55											
弄	loengh	loŋ33											
棕	coeng	ɕoŋ24											
鬃	coeng	ɕoŋ24											
總	cungj	ɕuŋ55											
粽													
聰	coeng	ɕoŋ24											
匆	coeng	ɕoŋ24											
葱	coeng	ɕoŋ24											
囱													
叢	coengz	ɕoŋ31											
送	soengq	θoŋ35											
公	goeng	koŋ24											
工	goeng	koŋ24											
功	goeng	koŋ24											
攻	gung	kuŋ24											
貢	gung	kuŋ24											
空	hoeng	hoŋ24											
孔													
控													
空	hoengq	hoŋ35											
空	gungq	kuŋ35											
烘	hoeng	hoŋ24											
哄	hoengh	hoŋ33											
紅	hoengz	hoŋ31											
洪	hoengz	hoŋ31											
鴻													
虹	hoengz	hoŋ31											
汞													
汞													
閧	hangh	haːŋ33											
翁	ung	uŋ24											
瓮	ungq	uŋ35											
嗡	ung	uŋ24											
冬	doeng	toŋ24											
統	doengj	toŋ55											
農	nungz	nuŋ31											
膿	nong	noːŋ24											
宗	coeng	ɕoŋ24											
鬆	soeng	θoŋ24											
宋	soengq	θoŋ35											
風	fung	fuŋ24											
瘋													
諷													
豐	fung	fuŋ24											
馮													
鳳	fungh	fuŋ33											
夢													
隆													
隆													
嵩													
中	deng	teŋ24											
中	cung	ɕuŋ24											
忠	cung	ɕuŋ24											
中	cungq	ɕuŋ35											
蟲	cungz	ɕuŋ31											
仲													
崇	coengz	ɕoŋ31											
崇	sungz	θuŋ31											
終													
眾	cungq	ɕuŋ35											
充	cung	ɕuŋ24											
銃	cungq	ɕuŋ35											
絨	nyungz	ȵuŋ31											
絨	yungz	juŋ31											
戎													
弓	gung	kuŋ24											
躬													
宮	goeng	koŋ24											
宮	gung	kuŋ24											
穹													
窮	gungz	kuŋ31											
熊	hungz	huŋ31											
雄	hungz	huŋ31											
融	yungz	juŋ31											
封	fung	fuŋ24											
峰	fung	fuŋ24											
蜂													
鋒	fung	fuŋ24											
捧	bungj	puŋ55											
逢	bungz	puŋ31											
縫													
奉	fungh	fuŋ33											
俸	fungj	fuŋ55											
縫													
濃	noengz	noŋ31											
龍	lungz	luŋ31											
龍													
隴													
壟	lungj	luŋ55											
壟													
蹤													
蹤													
縱	cuengq	ɕuːŋ35											
縱	cungh	ɕuŋ33											
從	coengz	ɕoŋ31											
從													
慫													
慫													
松	coengz	ɕoŋ31											
誦	cungh	ɕuŋ33											
頌	cungh	ɕuŋ33											
訟													
冢													
寵													
重	cungh	ɕuŋ33											
重	cungz	ɕuŋ31											
鐘	cung	ɕuŋ24											
盅	cung	ɕuŋ24											
種	cungj	ɕuŋ55											
腫													
种													
衝	cung	ɕuŋ24											
舂													
茸	nyungz	ȵuŋ31											
茸	yungz	juŋ31											
冗													
恭	goeng	koŋ24											
恭	gung	kuŋ24											
供	gung	kuŋ24											
拱	gungj	kuŋ55											
鞏													
鞏													
供	gungq	kuŋ35											
恐	hoengj	hoŋ55											
恐													
共	gungh	kuŋ33											
胸													
匈	hung	huŋ24											
兇													
凶													
雍	ung	uŋ24											
擁	ungj	uŋ55											
容	yungz	juŋ31											
熔	yungz	juŋ31											
庸	yoeng	joŋ24											
傭	yoeng	joŋ24											
甬													
勇	yungx	juŋ42											
湧	yungx	juŋ42											
用	yungh	juŋ33											
卜	boek	pok55											
卜	baeg	pak33	萝卜										
蔔	baeg	pak33											
撲	boek	pok55											
僕	boeg	pok33											
曝													
瀑													
木	moeg	mok33											
木	muz	muː31											
沐													
禿	duk	tuk55											
獨	dog	toːk33											
讀	doeg	tok33											
讀	dog	toːk33											
牘													
鹿	loeg	lok33											
鹿	log	loːk33											
禄	loeg	lok33											
族	cug	ɕuk33											
速	suk	θuk55											
穀	goek	kok55											
谷													
哭													
斛													
屋	uk	uk55											
篤													
督	duk	tuk55											
督	duz	tuː31											
毒	doeg	tok33											
酷													
沃	uk	uk55											
福	fuk	fuk55											
幅	fuk	fuk55											
蝠													
復	fuk	fuk55											
腹													
覆													
服	fug	fuk33											
伏	fug	fuk33											
袱	fug	fuk33											
目	moeg	mok33											
穆													
牧													
六	roek	ɣok55											
六	loeg	lok33											
陸	loeg	lok33											
戮													
肅	suk	θuk55											
夙													
宿	suk	θuk55											
竹	cuk	ɕuk55											
築	cuk	ɕuk55											
畜	cuk	ɕuk55											
逐	cug	ɕuk33											
軸	sug	θuk33											
縮	suk	θuk55											
祝	cuk	ɕuk55											
粥	cuk	ɕuk55											
叔	cuk	ɕuk55											
叔	cuz	ɕuː31											
熟	sug	θuk33											
熟	suk	θuk55											
熟	cug	ɕuk33											
淑													
肉	nyug	ȵuk33											
菊	gyuk	kʲuk55											
菊	goek	kok55											
菊	giz	kiː31											
麴													
畜													
蓄	cwk	ɕɯk55											
郁	yuk	juk55											
鬱	vaet	βat55											
育	yug	juk33											
綠	loeg	lok33											
錄	loeg	lok33											
足	cuk	ɕuk55											
促	cuk	ɕuk55											
促	cuz	ɕuː31											
粟	suek	θuːk35	麦粟，玉米										
俗	sug	θuk33											
續	cuk	ɕuk55											
燭	cuk	ɕuk55											
囑													
觸	cuk	ɕuk55											
贖	cueg	ɕuːk33											
束	suk	θuk55											
束	cug	ɕuk33											
蜀													
屬	sug	θuk33											
辱	nyug	ȵuk33											
褥													
鋦													
麯													
曲	guk	kuk55											
曲	gok	koːk35											
曲	goz	koː31											
局													
玉	ngug	ŋuk33											
玉	nyawh	ȵaɯ33											
獄	ngug	ŋuk33											
旭	yuk	juk55											
欲	yug	juk33											
峪	yug	juk33											
浴	yug	juk33											
慾	yug	juk33											
