字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
童	=D3516&E3516&F3516		tʰ	oŋ	44	=IF(D3516=0,"〇",D3516)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3516=B3517,0,1)	=IF(B3516=B3515,L3515&IF(C3516=0,A3516,A3516&"{"&C3516&"}"),IF(C3516=0,A3516,A3516&"{"&C3516&"}"))	=D3516&E3516	=IF(M3516=M3517,0,1)	=IF(N3515=0,IF(K3515=0,IF(B3516=B3515,O3515&IF(C3516=0,A3516,A3516&"{"&C3516&"}"),"["&J3516&"]"&IF(C3516=0,A3516,A3516&"{"&C3516&"}")),O3515&"["&J3516&"]"&IF(C3516=0,A3516,A3516&"{"&C3516&"}")),"["&J3516&"]"&IF(C3516=0,A3516,A3516&"{"&C3516&"}"))	=M3516&O3516
瞳	=D3517&E3517&F3517		tʰ	oŋ	44	=IF(D3517=0,"〇",D3517)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3517=B3518,0,1)	=IF(B3517=B3516,L3516&IF(C3517=0,A3517,A3517&"{"&C3517&"}"),IF(C3517=0,A3517,A3517&"{"&C3517&"}"))	=D3517&E3517	=IF(M3517=M3518,0,1)	=IF(N3516=0,IF(K3516=0,IF(B3517=B3516,O3516&IF(C3517=0,A3517,A3517&"{"&C3517&"}"),"["&J3517&"]"&IF(C3517=0,A3517,A3517&"{"&C3517&"}")),O3516&"["&J3517&"]"&IF(C3517=0,A3517,A3517&"{"&C3517&"}")),"["&J3517&"]"&IF(C3517=0,A3517,A3517&"{"&C3517&"}"))	=M3517&O3517
洞	=D3518&E3518&F3518	文，～箫	tʰ	oŋ	44	=IF(D3518=0,"〇",D3518)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3518=B3519,0,1)	=IF(B3518=B3517,L3517&IF(C3518=0,A3518,A3518&"{"&C3518&"}"),IF(C3518=0,A3518,A3518&"{"&C3518&"}"))	=D3518&E3518	=IF(M3518=M3519,0,1)	=IF(N3517=0,IF(K3517=0,IF(B3518=B3517,O3517&IF(C3518=0,A3518,A3518&"{"&C3518&"}"),"["&J3518&"]"&IF(C3518=0,A3518,A3518&"{"&C3518&"}")),O3517&"["&J3518&"]"&IF(C3518=0,A3518,A3518&"{"&C3518&"}")),"["&J3518&"]"&IF(C3518=0,A3518,A3518&"{"&C3518&"}"))	=M3518&O3518
重	=D3519&E3519&F3519	～阳	tʰ	oŋ	44	=IF(D3519=0,"〇",D3519)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3519=B3520,0,1)	=IF(B3519=B3518,L3518&IF(C3519=0,A3519,A3519&"{"&C3519&"}"),IF(C3519=0,A3519,A3519&"{"&C3519&"}"))	=D3519&E3519	=IF(M3519=M3520,0,1)	=IF(N3518=0,IF(K3518=0,IF(B3519=B3518,O3518&IF(C3519=0,A3519,A3519&"{"&C3519&"}"),"["&J3519&"]"&IF(C3519=0,A3519,A3519&"{"&C3519&"}")),O3518&"["&J3519&"]"&IF(C3519=0,A3519,A3519&"{"&C3519&"}")),"["&J3519&"]"&IF(C3519=0,A3519,A3519&"{"&C3519&"}"))	=M3519&O3519
仝	=D3520&E3520&F3520		tʰ	oŋ	44	=IF(D3520=0,"〇",D3520)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3520=B3521,0,1)	=IF(B3520=B3519,L3519&IF(C3520=0,A3520,A3520&"{"&C3520&"}"),IF(C3520=0,A3520,A3520&"{"&C3520&"}"))	=D3520&E3520	=IF(M3520=M3521,0,1)	=IF(N3519=0,IF(K3519=0,IF(B3520=B3519,O3519&IF(C3520=0,A3520,A3520&"{"&C3520&"}"),"["&J3520&"]"&IF(C3520=0,A3520,A3520&"{"&C3520&"}")),O3519&"["&J3520&"]"&IF(C3520=0,A3520,A3520&"{"&C3520&"}")),"["&J3520&"]"&IF(C3520=0,A3520,A3520&"{"&C3520&"}"))	=M3520&O3520
彤	=D3521&E3521&F3521		tʰ	oŋ	44	=IF(D3521=0,"〇",D3521)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3521=B3522,0,1)	=IF(B3521=B3520,L3520&IF(C3521=0,A3521,A3521&"{"&C3521&"}"),IF(C3521=0,A3521,A3521&"{"&C3521&"}"))	=D3521&E3521	=IF(M3521=M3522,0,1)	=IF(N3520=0,IF(K3520=0,IF(B3521=B3520,O3520&IF(C3521=0,A3521,A3521&"{"&C3521&"}"),"["&J3521&"]"&IF(C3521=0,A3521,A3521&"{"&C3521&"}")),O3520&"["&J3521&"]"&IF(C3521=0,A3521,A3521&"{"&C3521&"}")),"["&J3521&"]"&IF(C3521=0,A3521,A3521&"{"&C3521&"}"))	=M3521&O3521
捅	=D3522&E3522&F3522		tʰ	oŋ	53	=IF(D3522=0,"〇",D3522)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3522=B3523,0,1)	=IF(B3522=B3521,L3521&IF(C3522=0,A3522,A3522&"{"&C3522&"}"),IF(C3522=0,A3522,A3522&"{"&C3522&"}"))	=D3522&E3522	=IF(M3522=M3523,0,1)	=IF(N3521=0,IF(K3521=0,IF(B3522=B3521,O3521&IF(C3522=0,A3522,A3522&"{"&C3522&"}"),"["&J3522&"]"&IF(C3522=0,A3522,A3522&"{"&C3522&"}")),O3521&"["&J3522&"]"&IF(C3522=0,A3522,A3522&"{"&C3522&"}")),"["&J3522&"]"&IF(C3522=0,A3522,A3522&"{"&C3522&"}"))	=M3522&O3522
統	=D3523&E3523&F3523		tʰ	oŋ	53	=IF(D3523=0,"〇",D3523)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3523=B3524,0,1)	=IF(B3523=B3522,L3522&IF(C3523=0,A3523,A3523&"{"&C3523&"}"),IF(C3523=0,A3523,A3523&"{"&C3523&"}"))	=D3523&E3523	=IF(M3523=M3524,0,1)	=IF(N3522=0,IF(K3522=0,IF(B3523=B3522,O3522&IF(C3523=0,A3523,A3523&"{"&C3523&"}"),"["&J3523&"]"&IF(C3523=0,A3523,A3523&"{"&C3523&"}")),O3522&"["&J3523&"]"&IF(C3523=0,A3523,A3523&"{"&C3523&"}")),"["&J3523&"]"&IF(C3523=0,A3523,A3523&"{"&C3523&"}"))	=M3523&O3523
寵	=D3524&E3524&F3524	文，受～若惊	tʰ	oŋ	53	=IF(D3524=0,"〇",D3524)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3524=B3525,0,1)	=IF(B3524=B3523,L3523&IF(C3524=0,A3524,A3524&"{"&C3524&"}"),IF(C3524=0,A3524,A3524&"{"&C3524&"}"))	=D3524&E3524	=IF(M3524=M3525,0,1)	=IF(N3523=0,IF(K3523=0,IF(B3524=B3523,O3523&IF(C3524=0,A3524,A3524&"{"&C3524&"}"),"["&J3524&"]"&IF(C3524=0,A3524,A3524&"{"&C3524&"}")),O3523&"["&J3524&"]"&IF(C3524=0,A3524,A3524&"{"&C3524&"}")),"["&J3524&"]"&IF(C3524=0,A3524,A3524&"{"&C3524&"}"))	=M3524&O3524
痛	=D3525&E3525&F3525		tʰ	oŋ	21	=IF(D3525=0,"〇",D3525)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3525=B3526,0,1)	=IF(B3525=B3524,L3524&IF(C3525=0,A3525,A3525&"{"&C3525&"}"),IF(C3525=0,A3525,A3525&"{"&C3525&"}"))	=D3525&E3525	=IF(M3525=M3526,0,1)	=IF(N3524=0,IF(K3524=0,IF(B3525=B3524,O3524&IF(C3525=0,A3525,A3525&"{"&C3525&"}"),"["&J3525&"]"&IF(C3525=0,A3525,A3525&"{"&C3525&"}")),O3524&"["&J3525&"]"&IF(C3525=0,A3525,A3525&"{"&C3525&"}")),"["&J3525&"]"&IF(C3525=0,A3525,A3525&"{"&C3525&"}"))	=M3525&O3525
儂	=D3526&E3526&F3526	文，用于人名	l	oŋ	44	=IF(D3526=0,"〇",D3526)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3526=B3527,0,1)	=IF(B3526=B3525,L3525&IF(C3526=0,A3526,A3526&"{"&C3526&"}"),IF(C3526=0,A3526,A3526&"{"&C3526&"}"))	=D3526&E3526	=IF(M3526=M3527,0,1)	=IF(N3525=0,IF(K3525=0,IF(B3526=B3525,O3525&IF(C3526=0,A3526,A3526&"{"&C3526&"}"),"["&J3526&"]"&IF(C3526=0,A3526,A3526&"{"&C3526&"}")),O3525&"["&J3526&"]"&IF(C3526=0,A3526,A3526&"{"&C3526&"}")),"["&J3526&"]"&IF(C3526=0,A3526,A3526&"{"&C3526&"}"))	=M3526&O3526
隆	=D3527&E3527&F3527		l	oŋ	44	=IF(D3527=0,"〇",D3527)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3527=B3528,0,1)	=IF(B3527=B3526,L3526&IF(C3527=0,A3527,A3527&"{"&C3527&"}"),IF(C3527=0,A3527,A3527&"{"&C3527&"}"))	=D3527&E3527	=IF(M3527=M3528,0,1)	=IF(N3526=0,IF(K3526=0,IF(B3527=B3526,O3526&IF(C3527=0,A3527,A3527&"{"&C3527&"}"),"["&J3527&"]"&IF(C3527=0,A3527,A3527&"{"&C3527&"}")),O3526&"["&J3527&"]"&IF(C3527=0,A3527,A3527&"{"&C3527&"}")),"["&J3527&"]"&IF(C3527=0,A3527,A3527&"{"&C3527&"}"))	=M3527&O3527
農	=D3528&E3528&F3528		l	oŋ	44	=IF(D3528=0,"〇",D3528)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3528=B3529,0,1)	=IF(B3528=B3527,L3527&IF(C3528=0,A3528,A3528&"{"&C3528&"}"),IF(C3528=0,A3528,A3528&"{"&C3528&"}"))	=D3528&E3528	=IF(M3528=M3529,0,1)	=IF(N3527=0,IF(K3527=0,IF(B3528=B3527,O3527&IF(C3528=0,A3528,A3528&"{"&C3528&"}"),"["&J3528&"]"&IF(C3528=0,A3528,A3528&"{"&C3528&"}")),O3527&"["&J3528&"]"&IF(C3528=0,A3528,A3528&"{"&C3528&"}")),"["&J3528&"]"&IF(C3528=0,A3528,A3528&"{"&C3528&"}"))	=M3528&O3528
膿	=D3529&E3529&F3529		l	oŋ	44	=IF(D3529=0,"〇",D3529)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3529=B3530,0,1)	=IF(B3529=B3528,L3528&IF(C3529=0,A3529,A3529&"{"&C3529&"}"),IF(C3529=0,A3529,A3529&"{"&C3529&"}"))	=D3529&E3529	=IF(M3529=M3530,0,1)	=IF(N3528=0,IF(K3528=0,IF(B3529=B3528,O3528&IF(C3529=0,A3529,A3529&"{"&C3529&"}"),"["&J3529&"]"&IF(C3529=0,A3529,A3529&"{"&C3529&"}")),O3528&"["&J3529&"]"&IF(C3529=0,A3529,A3529&"{"&C3529&"}")),"["&J3529&"]"&IF(C3529=0,A3529,A3529&"{"&C3529&"}"))	=M3529&O3529
濃	=D3530&E3530&F3530		l	oŋ	44	=IF(D3530=0,"〇",D3530)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3530=B3531,0,1)	=IF(B3530=B3529,L3529&IF(C3530=0,A3530,A3530&"{"&C3530&"}"),IF(C3530=0,A3530,A3530&"{"&C3530&"}"))	=D3530&E3530	=IF(M3530=M3531,0,1)	=IF(N3529=0,IF(K3529=0,IF(B3530=B3529,O3529&IF(C3530=0,A3530,A3530&"{"&C3530&"}"),"["&J3530&"]"&IF(C3530=0,A3530,A3530&"{"&C3530&"}")),O3529&"["&J3530&"]"&IF(C3530=0,A3530,A3530&"{"&C3530&"}")),"["&J3530&"]"&IF(C3530=0,A3530,A3530&"{"&C3530&"}"))	=M3530&O3530
胧	=D3531&E3531&F3531		l	oŋ	44	=IF(D3531=0,"〇",D3531)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3531=B3532,0,1)	=IF(B3531=B3530,L3530&IF(C3531=0,A3531,A3531&"{"&C3531&"}"),IF(C3531=0,A3531,A3531&"{"&C3531&"}"))	=D3531&E3531	=IF(M3531=M3532,0,1)	=IF(N3530=0,IF(K3530=0,IF(B3531=B3530,O3530&IF(C3531=0,A3531,A3531&"{"&C3531&"}"),"["&J3531&"]"&IF(C3531=0,A3531,A3531&"{"&C3531&"}")),O3530&"["&J3531&"]"&IF(C3531=0,A3531,A3531&"{"&C3531&"}")),"["&J3531&"]"&IF(C3531=0,A3531,A3531&"{"&C3531&"}"))	=M3531&O3531
攏	=D3532&E3532&F3532		l	oŋ	53	=IF(D3532=0,"〇",D3532)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3532=B3533,0,1)	=IF(B3532=B3531,L3531&IF(C3532=0,A3532,A3532&"{"&C3532&"}"),IF(C3532=0,A3532,A3532&"{"&C3532&"}"))	=D3532&E3532	=IF(M3532=M3533,0,1)	=IF(N3531=0,IF(K3531=0,IF(B3532=B3531,O3531&IF(C3532=0,A3532,A3532&"{"&C3532&"}"),"["&J3532&"]"&IF(C3532=0,A3532,A3532&"{"&C3532&"}")),O3531&"["&J3532&"]"&IF(C3532=0,A3532,A3532&"{"&C3532&"}")),"["&J3532&"]"&IF(C3532=0,A3532,A3532&"{"&C3532&"}"))	=M3532&O3532
壟	=D3533&E3533&F3533		l	oŋ	53	=IF(D3533=0,"〇",D3533)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3533=B3534,0,1)	=IF(B3533=B3532,L3532&IF(C3533=0,A3533,A3533&"{"&C3533&"}"),IF(C3533=0,A3533,A3533&"{"&C3533&"}"))	=D3533&E3533	=IF(M3533=M3534,0,1)	=IF(N3532=0,IF(K3532=0,IF(B3533=B3532,O3532&IF(C3533=0,A3533,A3533&"{"&C3533&"}"),"["&J3533&"]"&IF(C3533=0,A3533,A3533&"{"&C3533&"}")),O3532&"["&J3533&"]"&IF(C3533=0,A3533,A3533&"{"&C3533&"}")),"["&J3533&"]"&IF(C3533=0,A3533,A3533&"{"&C3533&"}"))	=M3533&O3533
弄	=D3534&E3534&F3534		l	oŋ	13	=IF(D3534=0,"〇",D3534)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3534=B3535,0,1)	=IF(B3534=B3533,L3533&IF(C3534=0,A3534,A3534&"{"&C3534&"}"),IF(C3534=0,A3534,A3534&"{"&C3534&"}"))	=D3534&E3534	=IF(M3534=M3535,0,1)	=IF(N3533=0,IF(K3533=0,IF(B3534=B3533,O3533&IF(C3534=0,A3534,A3534&"{"&C3534&"}"),"["&J3534&"]"&IF(C3534=0,A3534,A3534&"{"&C3534&"}")),O3533&"["&J3534&"]"&IF(C3534=0,A3534,A3534&"{"&C3534&"}")),"["&J3534&"]"&IF(C3534=0,A3534,A3534&"{"&C3534&"}"))	=M3534&O3534
宗	=D3535&E3535&F3535		ts	oŋ	22	=IF(D3535=0,"〇",D3535)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3535=B3536,0,1)	=IF(B3535=B3534,L3534&IF(C3535=0,A3535,A3535&"{"&C3535&"}"),IF(C3535=0,A3535,A3535&"{"&C3535&"}"))	=D3535&E3535	=IF(M3535=M3536,0,1)	=IF(N3534=0,IF(K3534=0,IF(B3535=B3534,O3534&IF(C3535=0,A3535,A3535&"{"&C3535&"}"),"["&J3535&"]"&IF(C3535=0,A3535,A3535&"{"&C3535&"}")),O3534&"["&J3535&"]"&IF(C3535=0,A3535,A3535&"{"&C3535&"}")),"["&J3535&"]"&IF(C3535=0,A3535,A3535&"{"&C3535&"}"))	=M3535&O3535
盅	=D3536&E3536&F3536		ts	oŋ	22	=IF(D3536=0,"〇",D3536)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3536=B3537,0,1)	=IF(B3536=B3535,L3535&IF(C3536=0,A3536,A3536&"{"&C3536&"}"),IF(C3536=0,A3536,A3536&"{"&C3536&"}"))	=D3536&E3536	=IF(M3536=M3537,0,1)	=IF(N3535=0,IF(K3535=0,IF(B3536=B3535,O3535&IF(C3536=0,A3536,A3536&"{"&C3536&"}"),"["&J3536&"]"&IF(C3536=0,A3536,A3536&"{"&C3536&"}")),O3535&"["&J3536&"]"&IF(C3536=0,A3536,A3536&"{"&C3536&"}")),"["&J3536&"]"&IF(C3536=0,A3536,A3536&"{"&C3536&"}"))	=M3536&O3536
綜	=D3537&E3537&F3537		ts	oŋ	22	=IF(D3537=0,"〇",D3537)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3537=B3538,0,1)	=IF(B3537=B3536,L3536&IF(C3537=0,A3537,A3537&"{"&C3537&"}"),IF(C3537=0,A3537,A3537&"{"&C3537&"}"))	=D3537&E3537	=IF(M3537=M3538,0,1)	=IF(N3536=0,IF(K3536=0,IF(B3537=B3536,O3536&IF(C3537=0,A3537,A3537&"{"&C3537&"}"),"["&J3537&"]"&IF(C3537=0,A3537,A3537&"{"&C3537&"}")),O3536&"["&J3537&"]"&IF(C3537=0,A3537,A3537&"{"&C3537&"}")),"["&J3537&"]"&IF(C3537=0,A3537,A3537&"{"&C3537&"}"))	=M3537&O3537
終	=D3538&E3538&F3538		ts	oŋ	22	=IF(D3538=0,"〇",D3538)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3538=B3539,0,1)	=IF(B3538=B3537,L3537&IF(C3538=0,A3538,A3538&"{"&C3538&"}"),IF(C3538=0,A3538,A3538&"{"&C3538&"}"))	=D3538&E3538	=IF(M3538=M3539,0,1)	=IF(N3537=0,IF(K3537=0,IF(B3538=B3537,O3537&IF(C3538=0,A3538,A3538&"{"&C3538&"}"),"["&J3538&"]"&IF(C3538=0,A3538,A3538&"{"&C3538&"}")),O3537&"["&J3538&"]"&IF(C3538=0,A3538,A3538&"{"&C3538&"}")),"["&J3538&"]"&IF(C3538=0,A3538,A3538&"{"&C3538&"}"))	=M3538&O3538
蹤	=D3539&E3539&F3539		ts	oŋ	22	=IF(D3539=0,"〇",D3539)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3539=B3540,0,1)	=IF(B3539=B3538,L3538&IF(C3539=0,A3539,A3539&"{"&C3539&"}"),IF(C3539=0,A3539,A3539&"{"&C3539&"}"))	=D3539&E3539	=IF(M3539=M3540,0,1)	=IF(N3538=0,IF(K3538=0,IF(B3539=B3538,O3538&IF(C3539=0,A3539,A3539&"{"&C3539&"}"),"["&J3539&"]"&IF(C3539=0,A3539,A3539&"{"&C3539&"}")),O3538&"["&J3539&"]"&IF(C3539=0,A3539,A3539&"{"&C3539&"}")),"["&J3539&"]"&IF(C3539=0,A3539,A3539&"{"&C3539&"}"))	=M3539&O3539
撞	=D3540&E3540&F3540	冲，跑	ts	oŋ	44	=IF(D3540=0,"〇",D3540)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3540=B3541,0,1)	=IF(B3540=B3539,L3539&IF(C3540=0,A3540,A3540&"{"&C3540&"}"),IF(C3540=0,A3540,A3540&"{"&C3540&"}"))	=D3540&E3540	=IF(M3540=M3541,0,1)	=IF(N3539=0,IF(K3539=0,IF(B3540=B3539,O3539&IF(C3540=0,A3540,A3540&"{"&C3540&"}"),"["&J3540&"]"&IF(C3540=0,A3540,A3540&"{"&C3540&"}")),O3539&"["&J3540&"]"&IF(C3540=0,A3540,A3540&"{"&C3540&"}")),"["&J3540&"]"&IF(C3540=0,A3540,A3540&"{"&C3540&"}"))	=M3540&O3540
總	=D3541&E3541&F3541		ts	oŋ	53	=IF(D3541=0,"〇",D3541)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3541=B3542,0,1)	=IF(B3541=B3540,L3540&IF(C3541=0,A3541,A3541&"{"&C3541&"}"),IF(C3541=0,A3541,A3541&"{"&C3541&"}"))	=D3541&E3541	=IF(M3541=M3542,0,1)	=IF(N3540=0,IF(K3540=0,IF(B3541=B3540,O3540&IF(C3541=0,A3541,A3541&"{"&C3541&"}"),"["&J3541&"]"&IF(C3541=0,A3541,A3541&"{"&C3541&"}")),O3540&"["&J3541&"]"&IF(C3541=0,A3541,A3541&"{"&C3541&"}")),"["&J3541&"]"&IF(C3541=0,A3541,A3541&"{"&C3541&"}"))	=M3541&O3541
種	=D3542&E3542&F3542	芒～	ts	oŋ	53	=IF(D3542=0,"〇",D3542)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3542=B3543,0,1)	=IF(B3542=B3541,L3541&IF(C3542=0,A3542,A3542&"{"&C3542&"}"),IF(C3542=0,A3542,A3542&"{"&C3542&"}"))	=D3542&E3542	=IF(M3542=M3543,0,1)	=IF(N3541=0,IF(K3541=0,IF(B3542=B3541,O3541&IF(C3542=0,A3542,A3542&"{"&C3542&"}"),"["&J3542&"]"&IF(C3542=0,A3542,A3542&"{"&C3542&"}")),O3541&"["&J3542&"]"&IF(C3542=0,A3542,A3542&"{"&C3542&"}")),"["&J3542&"]"&IF(C3542=0,A3542,A3542&"{"&C3542&"}"))	=M3542&O3542
傯	=D3543&E3543&F3543	倥～	ts	oŋ	53	=IF(D3543=0,"〇",D3543)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3543=B3544,0,1)	=IF(B3543=B3542,L3542&IF(C3543=0,A3543,A3543&"{"&C3543&"}"),IF(C3543=0,A3543,A3543&"{"&C3543&"}"))	=D3543&E3543	=IF(M3543=M3544,0,1)	=IF(N3542=0,IF(K3542=0,IF(B3543=B3542,O3542&IF(C3543=0,A3543,A3543&"{"&C3543&"}"),"["&J3543&"]"&IF(C3543=0,A3543,A3543&"{"&C3543&"}")),O3542&"["&J3543&"]"&IF(C3543=0,A3543,A3543&"{"&C3543&"}")),"["&J3543&"]"&IF(C3543=0,A3543,A3543&"{"&C3543&"}"))	=M3543&O3543
狀	=D3544&E3544&F3544	文，～元，市区东音	ts	oŋ	13	=IF(D3544=0,"〇",D3544)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3544=B3545,0,1)	=IF(B3544=B3543,L3543&IF(C3544=0,A3544,A3544&"{"&C3544&"}"),IF(C3544=0,A3544,A3544&"{"&C3544&"}"))	=D3544&E3544	=IF(M3544=M3545,0,1)	=IF(N3543=0,IF(K3543=0,IF(B3544=B3543,O3543&IF(C3544=0,A3544,A3544&"{"&C3544&"}"),"["&J3544&"]"&IF(C3544=0,A3544,A3544&"{"&C3544&"}")),O3543&"["&J3544&"]"&IF(C3544=0,A3544,A3544&"{"&C3544&"}")),"["&J3544&"]"&IF(C3544=0,A3544,A3544&"{"&C3544&"}"))	=M3544&O3544
縱	=D3545&E3545&F3545		ts	oŋ	21	=IF(D3545=0,"〇",D3545)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B3545=B3546,0,1)	=IF(B3545=B3544,L3544&IF(C3545=0,A3545,A3545&"{"&C3545&"}"),IF(C3545=0,A3545,A3545&"{"&C3545&"}"))	=D3545&E3545	=IF(M3545=M3546,0,1)	=IF(N3544=0,IF(K3544=0,IF(B3545=B3544,O3544&IF(C3545=0,A3545,A3545&"{"&C3545&"}"),"["&J3545&"]"&IF(C3545=0,A3545,A3545&"{"&C3545&"}")),O3544&"["&J3545&"]"&IF(C3545=0,A3545,A3545&"{"&C3545&"}")),"["&J3545&"]"&IF(C3545=0,A3545,A3545&"{"&C3545&"}"))	=M3545&O3545
