"繁体字"	"简体字"	"国际音标"	"吴语拼音"	"备注"	"调类"	"调值"					
"約"	"约"	"iɑʔ5"	"iaq7"		7	5			"iaq"		"iɑʔ"
"藥"	"药"	"ɦiɑʔ23"	"yaq8"		8	23		"y"	"aq"	"ɦ"	"iɑʔ"
"鑰"	"钥"	"ɦiɑʔ23"	"yaq8"		8	23		"y"	"aq"	"ɦ"	"iɑʔ"
"嵊"	"嵊"	"dʐᴇ̃213"	"jen6"		6	213		"j"	"en"	"dʐ"	"ᴇ̃"
"光"	"光"	"kuɒ̃53"	"kuaon1"		1	53		"k"	"uaon"	"k"	"uɒ̃"
"光"	"光"	"kuã53"	"kuan1"	"~火（发怒）。"	1	53		"k"	"uan"	"k"	"uã"
"廣"	"广"	"kuɒ̃44"	"kuaon3"		3	44		"k"	"uaon"	"k"	"uɒ̃"
"荒"	"荒"	"huɒ̃53"	"huaon1"		1	53		"h"	"uaon"	"h"	"uɒ̃"
"慌"	"慌"	"huɒ̃53"	"huaon1"		1	53		"h"	"uaon"	"h"	"uɒ̃"
"謊"	"谎"	"huɒ̃44"	"huaon3"		3	44		"h"	"uaon"	"h"	"uɒ̃"
"黄"	"黄"	"ɦuɒ̃24"	"waon2"		2	24		"w"	"aon"	"ɦ"	"uɒ̃"
"黄"	"黄"	"huɒ̃53"	"huaon1"	"蛋~。"	1	53		"h"	"uaon"	"h"	"uɒ̃"
"晃"	"晃"	"ɦuɒ̃31"	"waon4"		4	31		"w"	"aon"	"ɦ"	"uɒ̃"
"晃"	"晃"	"huɒ̃44"	"huaon3"		3	44		"h"	"uaon"	"h"	"uɒ̃"
"晃"	"晃"	"uɒ̃53"	"uaon1"	"~眼。"	1	53			"uaon"		"uɒ̃"
"簧"	"簧"	"ɦuɒ̃24"	"waon2"		2	24		"w"	"aon"	"ɦ"	"uɒ̃"
"皇"	"皇"	"ɦuɒ̃24"	"waon2"		2	24		"w"	"aon"	"ɦ"	"uɒ̃"
"郭"	"郭"	"kuɔʔ5"	"kuaoq7"		7	5		"k"	"uaoq"	"k"	"uɔʔ"
"椁"	"椁"	"kuɔʔ5"	"kuaoq7"		7	5		"k"	"uaoq"	"k"	"uɔʔ"
"擴"	"扩"	"kʰuɔʔ5"	"khuaoq7"		7	5		"kh"	"uaoq"	"kʰ"	"uɔʔ"
"廓"	"廓"	"kʰuɔʔ5"	"khuaoq7"		7	5		"kh"	"uaoq"	"kʰ"	"uɔʔ"
"霍"	"霍"	"huɔʔ5"	"huaoq7"		7	5		"h"	"uaoq"	"h"	"uɔʔ"
"鑊"	"镬"	"ɦuɔʔ23"	"waoq8"		8	23		"w"	"aoq"	"ɦ"	"uɔʔ"
"方"	"方"	"fɒ̃53"	"faon1"		1	53		"f"	"aon"	"f"	"ɒ̃"
"肪"	"肪"	"fɒ̃53"	"faon1"		1	53		"f"	"aon"	"f"	"ɒ̃"
"邡"	"邡"	"fɒ̃53"	"faon1"		1	53		"f"	"aon"	"f"	"ɒ̃"
"坊"	"坊"	"fɒ̃53"	"faon1"		1	53		"f"	"aon"	"f"	"ɒ̃"
"舫"	"舫"	"fɒ̃44"	"faon3"		3	44		"f"	"aon"	"f"	"ɒ̃"
"仿"	"仿"	"fɒ̃44"	"faon3"		3	44		"f"	"aon"	"f"	"ɒ̃"
"放"	"放"	"fɒ̃423"	"faon5"		5	423		"f"	"aon"	"f"	"ɒ̃"
"芳"	"芳"	"fɒ̃53"	"faon1"		1	53		"f"	"aon"	"f"	"ɒ̃"
"紡"	"纺"	"fɒ̃44"	"faon3"		3	44		"f"	"aon"	"f"	"ɒ̃"
"仿"	"仿"	"fɒ̃44"	"faon3"		3	44		"f"	"aon"	"f"	"ɒ̃"
"訪"	"访"	"fɒ̃44"	"faon3"		3	44		"f"	"aon"	"f"	"ɒ̃"
"防"	"防"	"bɒ̃24"	"baon2"		2	24		"b"	"aon"	"b"	"ɒ̃"
"房"	"房"	"vɒ̃24"	"vaon2"		2	24		"v"	"aon"	"v"	"ɒ̃"
"房"	"房"	"bɒ̃24"	"baon2"	"阿~宫。"	2	24		"b"	"aon"	"b"	"ɒ̃"
"亡"	"亡"	"mɒ̃24"	"maon2"	"【白读】~人；关~。"	2	24		"m"	"aon"	"m"	"ɒ̃"
"亡"	"亡"	"vɒ̃24"	"vaon2"	"【文读】死~。"	2	24		"v"	"aon"	"v"	"ɒ̃"
"芒"	"芒"	"mɒ̃24"	"maon2"		2	24		"m"	"aon"	"m"	"ɒ̃"
"網"	"网"	"mɒ̃31"	"maon4"		4	31		"m"	"aon"	"m"	"ɒ̃"
"忘"	"忘"	"mɒ̃213"	"maon6"	"【白读】~记。"	6	213		"m"	"aon"	"m"	"ɒ̃"
"忘"	"忘"	"vɒ̃213"	"vaon6"	"【文读】健~；失~。"	6	213		"v"	"aon"	"v"	"ɒ̃"
"望"	"望"	"mɒ̃213"	"maon6"	"【白读】"	6	213		"m"	"aon"	"m"	"ɒ̃"
"望"	"望"	"vɒ̃213"	"vaon6"	"【文读】希~。"	6	213		"v"	"aon"	"v"	"ɒ̃"
"望"	"望"	"bɒ̃213"	"baon6"	"平~（江苏吴江地名）。"	6	213		"b"	"aon"	"b"	"ɒ̃"
"妄"	"妄"	"mɒ̃213"	"maon6"	"【白读】痴心~想。"	6	213		"m"	"aon"	"m"	"ɒ̃"
"妄"	"妄"	"vɒ̃213"	"vaon6"	"【文读】狂~。"	6	213		"v"	"aon"	"v"	"ɒ̃"
"筐"	"筐"	"kʰuɒ̃53"	"khuaon1"		1	53		"kh"	"uaon"	"kʰ"	"uɒ̃"
"匡"	"匡"	"tɕʰiɒ̃53"	"chiaon1"	"【白读】姓：~巷（上海嘉定地名）。"	1	53		"ch"	"iaon"	"tɕʰ"	"iɒ̃"
"匡"	"匡"	"kʰuɒ̃53"	"khuaon1"	"【文读】"	1	53		"kh"	"uaon"	"kʰ"	"uɒ̃"
"眶"	"眶"	"tɕʰiɒ̃53"	"chiaon1"	"【白读】眼~。"	1	53		"ch"	"iaon"	"tɕʰ"	"iɒ̃"
"眶"	"眶"	"kʰuɒ̃53"	"khuaon1"	"【文读】"	1	53		"kh"	"uaon"	"kʰ"	"uɒ̃"
"狂"	"狂"	"guɒ̃213"	"guaon6"		6	213		"g"	"uaon"	"g"	"uɒ̃"
"況"	"况"	"huɒ̃423"	"huaon5"		5	423		"h"	"uaon"	"h"	"uɒ̃"
"王"	"王"	"ɦiɒ̃24"	"yaon2"	"【白读】姓。"	2	24		"y"	"aon"	"ɦ"	"iɒ̃"
"王"	"王"	"ɦuɒ̃24"	"waon2"	"【文读】大~。"	2	24		"w"	"aon"	"ɦ"	"uɒ̃"
"王"	"王"	"ɦuɒ̃213"	"waon6"	"统治。"	6	213		"w"	"aon"	"ɦ"	"uɒ̃"
"往"	"往"	"uɒ̃44"	"uaon3"			44		"uaon"	3		"uɒ̃"
"旺"	"旺"	"ɦiɒ̃213"	"yaon6"	"【白读】火烧得~。"	6	213		"y"	"aon"	"ɦ"	"iɒ̃"
"旺"	"旺"	"ɦuɒ̃213"	"waon6"	"【文读】兴~。"	6	213		"w"	"aon"	"ɦ"	"uɒ̃"
"縛"	"缚"	"bɔʔ23"	"baoq8"		8	23		"b"	"aoq"	"b"	"ɔʔ"
"邦"	"邦"	"pɒ̃53"	"paon1"		1	53		"p"	"aon"	"p"	"ɒ̃"
"綁"	"绑"	"pɒ̃44"	"paon3"		3	44		"p"	"aon"	"p"	"ɒ̃"
"胖"	"胖"	"pʰɒ̃423"	"phaon5"		5	423		"ph"	"aon"	"pʰ"	"ɒ̃"
"龐"	"庞"	"bɒ̃24"	"baon2"		2	24		"b"	"aon"	"b"	"ɒ̃"
"棒"	"棒"	"bɒ̃31"	"baon4"		4	31		"b"	"aon"	"b"	"ɒ̃"
"樁"	"桩"	"tʂɒ̃53"	"caon1"		1	53		"c"	"aon"	"tʂ"	"ɒ̃"
"撞"	"撞"	"dʐɒ̃213"	"jaon6"		6	213		"j"	"aon"	"dʐ"	"ɒ̃"
"窗"	"窗"	"tʂʰɒ̃53"	"chaon1"		1	53		"ch"	"aon"	"tʂʰ"	"ɒ̃"
"雙"	"双"	"ʂɒ̃53"	"shaon1"		1	53		"sh"	"aon"	"ʂ"	"ɒ̃"
"江"	"江"	"kɒ̃53"	"kaon1"	"【白读】"	1	53		"k"	"aon"	"k"	"ɒ̃"
"江"	"江"	"tɕiɒ̃53"	"ciaon1"	"【文读】"	1	53		"c"	"iaon"	"tɕ"	"iɒ̃"
"講"	"讲"	"kɒ̃44"	"kaon3"	"【白读】"	3	44		"k"	"aon"	"k"	"ɒ̃"
"講"	"讲"	"tɕiɒ̃44"	"ciaon3"	"【文读】"	3	44		"c"	"iaon"	"tɕ"	"iɒ̃"
"港"	"港"	"kɒ̃44"	"kaon3"		3	44		"k"	"aon"	"k"	"ɒ̃"
"降"	"降"	"kɒ̃423"	"kaon5"	"【白读】~落。"	5	423		"k"	"aon"	"k"	"ɒ̃"
"降"	"降"	"tɕiɒ̃423"	"ciaon5"	"【文读】~落。"	5	423		"c"	"iaon"	"tɕ"	"iɒ̃"
"降"	"降"	"ɦɒ̃24"	"ghaon2"	"投~。"	2	24		"gh"	"aon"	"ɦ"	"ɒ̃"
"腔"	"腔"	"tɕʰiã53"	"chian1"	"【白读】~调。"	1	53		"ch"	"ian"	"tɕʰ"	"iã"
"腔"	"腔"	"tɕʰiɒ̃53"	"chiaon1"	"【文读】口~。"	1	53		"ch"	"iaon"	"tɕʰ"	"iɒ̃"
"項"	"项"	"ɦɒ̃31"	"ghaon4"		4	31		"gh"	"aon"	"ɦ"	"ɒ̃"
"巷"	"巷"	"ɦɒ̃213"	"ghaon6"		6	213		"gh"	"aon"	"ɦ"	"ɒ̃"
"剝"	"剥"	"pɔʔ5"	"paoq7"		7	5		"p"	"aoq"	"p"	"ɔʔ"
"樸"	"朴"	"pʰɔʔ5"	"phaoq7"		7	5		"ph"	"aoq"	"pʰ"	"ɔʔ"
"雹"	"雹"	"bɔʔ23"	"baoq8"		8	23		"b"	"aoq"	"b"	"ɔʔ"
"桌"	"桌"	"tʂɔʔ5"	"caoq7"		7	5		"c"	"aoq"	"tʂ"	"ɔʔ"
"戳"	"戳"	"tʂʰɔʔ5"	"chaoq7"		7	5		"ch"	"aoq"	"tʂʰ"	"ɔʔ"
"濁"	"浊"	"dʐɔʔ23"	"jaoq8"		8	23		"j"	"aoq"	"dʐ"	"ɔʔ"
"捉"	"捉"	"tʂɔʔ5"	"caoq7"		7	5		"c"	"aoq"	"tʂ"	"ɔʔ"
"鐲"	"镯"	"dʐɔʔ23"	"jaoq8"		8	23		"j"	"aoq"	"dʐ"	"ɔʔ"
"朔"	"朔"	"sɔʔ5"	"saoq7"		7	5		"s"	"aoq"	"s"	"ɔʔ"
"覺"	"觉"	"kɔʔ5"	"kaoq7"	"【白读】~得；~着。"	7	5		"k"	"aoq"	"k"	"ɔʔ"
"覺"	"觉"	"tɕiɔʔ5"	"ciaoq7"	"【文读】感~；~悟。"	7	5		"c"	"iaoq"	"tɕ"	"iɔʔ"
"覺"	"觉"	"kɔ423"	"kau5"	"【白读】困~。"	5	423		"k"	"au"	"k"	"ɔ"
"覺"	"觉"	"tɕiɔ423"	"ciau5"	"【文读】睡~。"	5	423		"c"	"iau"	"tɕ"	"iɔ"
"餃"	"饺"	"tɕiɔ44"	"ciau3"		3	44		"c"	"iau"	"tɕ"	"iɔ"
"角"	"角"	"kɔʔ5"	"kaoq7"		7	5		"k"	"aoq"	"k"	"ɔʔ"
"角"	"角"	"tɕiɑʔ5"	"ciaq7"	"【杭州文读】~色。"	7	5		"c"	"iaq"	"tɕ"	"iɑʔ"
"確"	"确"	"tɕʰiɔʔ5"	"chiaoq7"	"【文读】"	7	5		"ch"	"iaoq"	"tɕʰ"	"iɔʔ"
"岳"	"岳"	"ŋɔʔ23"	"ngaoq8"		8	23		"ng"	"aoq"	"ŋ"	"ɔʔ"
"樂"	"乐"	"ŋɔʔ23"	"ngaoq8"	"【白读】~桥（江苏苏州地名）；~清（浙江地名）。"	8	23		"ng"	"aoq"	"ŋ"	"ɔʔ"
"樂"	"乐"	"ɦiɔʔ23"	"yaoq8"	"【文读】音~。"	8	23		"y"	"aoq"	"ɦ"	"iɔʔ"
"樂"	"乐"	"ɦiɔ213"	"yau6"	"【文读】仁者~山，智者~水。"	6	213		"y"	"au"	"ɦ"	"iɔ"
"學"	"学"	"ɦɔʔ23"	"ghaoq8"	"【白读】~习；~生；~堂；小~、中~、大~（学校）。"	8	23		"gh"	"aoq"	"ɦ"	"ɔʔ"
"學"	"学"	"ɦiɔʔ23"	"yaoq8"	"【文读】~校；大~（儒家经典）。"	8	23		"y"	"aoq"	"ɦ"	"iɔʔ"
"握"	"握"	"uɔʔ5"	"uaoq7"		7	5			"uaoq"		"uɔʔ"
"崩"	"崩"	"pᴇ̃53"	"pen1"		1	53		"p"	"en"	"p"	"ᴇ̃"
"朋"	"朋"	"bã24"	"ban2"		2	24		"b"	"an"	"b"	"ã"
"鵬"	"鹏"	"bã24"	"ban2"		2	24		"b"	"an"	"b"	"ã"
"登"	"登"	"tᴇ̃53"	"ten1"		1	53		"t"	"en"	"t"	"ᴇ̃"
"燈"	"灯"	"tᴇ̃53"	"ten1"		1	53		"t"	"en"	"t"	"ᴇ̃"
"等"	"等"	"tᴇ̃44"	"ten3"		3	44		"t"	"en"	"t"	"ᴇ̃"
"凳"	"凳"	"tᴇ̃423"	"ten5"		5	423		"t"	"en"	"t"	"ᴇ̃"
"騰"	"腾"	"dᴇ̃24"	"den2"		2	24		"d"	"en"	"d"	"ᴇ̃"
"滕"	"滕"	"dᴇ̃24"	"den2"		2	24		"d"	"en"	"d"	"ᴇ̃"
"藤"	"藤"	"dᴇ̃24"	"den2"		2	24		"d"	"en"	"d"	"ᴇ̃"
"鄧"	"邓"	"dᴇ̃213"	"den6"		6	213		"d"	"en"	"d"	"ᴇ̃"
"能"	"能"	"nᴇ̃24"	"nen2"		2	24		"n"	"en"	"n"	"ᴇ̃"
"增"	"增"	"tsᴇ̃53"	"tsen1"		1	53		"ts"	"en"	"ts"	"ᴇ̃"
"曾"	"曾"	"tsᴇ̃53"	"tsen1"	"姓。"	1	53		"ts"	"en"	"ts"	"ᴇ̃"
"曾"	"曾"	"dzᴇ̃24"	"dzen2"	"~经"	2	24		"dz"	"en"	"dz"	"ᴇ̃"
"層"	"层"	"dzᴇ̃24"	"dzen2"		2	24		"dz"	"en"	"dz"	"ᴇ̃"
"贈"	"赠"	"dzᴇ̃213"	"dzen6"		6	213		"dz"	"en"	"dz"	"ᴇ̃"
"僧"	"僧"	"sᴇ̃53"	"sen1"		1	53		"s"	"en"	"s"	"ᴇ̃"
"肯"	"肯"	"kʰᴇ̃44"	"khen3"		3	44		"kh"	"en"	"kʰ"	"ᴇ̃"
"恆"	"恒"	"ɦᴇ̃24"	"ghen2"		2	24		"gh"	"en"	"ɦ"	"ᴇ̃"
"北"	"北"	"poʔ5"	"poq7"		7	5		"p"	"oq"	"p"	"oʔ"
"墨"	"墨"	"mᴇʔ23"	"meq8"		8	23		"m"	"eq"	"m"	"ᴇʔ"
"默"	"默"	"mᴇʔ23"	"meq8"		8	23		"m"	"eq"	"m"	"ᴇʔ"
"得"	"得"	"tᴇʔ5"	"teq7"		7	5		"t"	"eq"	"t"	"ᴇʔ"
"德"	"德"	"tᴇʔ5"	"teq7"		7	5		"t"	"eq"	"t"	"ᴇʔ"
"特"	"特"	"dᴇʔ23"	"deq8"		8	23		"d"	"eq"	"d"	"ᴇʔ"
"肋"	"肋"	"lᴇʔ23"	"leq8"		8	23		"l"	"eq"	"l"	"ᴇʔ"
"勒"	"勒"	"lᴇʔ23"	"leq8"		8	23		"l"	"eq"	"l"	"ᴇʔ"
"賊"	"贼"	"zᴇʔ23"	"zeq8"		8	23		"z"	"eq"	"z"	"ᴇʔ"
"塞"	"塞"	"sᴇʔ5"	"seq7"	"活~；殟~。"	7	5		"s"	"eq"	"s"	"ᴇʔ"
"塞"	"塞"	"sæ423"	"sae5"	"要~；边~。"	5	423		"s"	"ae"	"s"	"æ"
"克"	"克"	"kʰᴇʔ5"	"kheq7"		7	5		"kh"	"eq"	"kʰ"	"ᴇʔ"
"刻"	"刻"	"kʰᴇʔ5"	"kheq7"		7	5		"kh"	"eq"	"kʰ"	"ᴇʔ"
"黑"	"黑"	"hᴇʔ5"	"heq7"		7	5		"h"	"eq"	"h"	"ᴇʔ"
"冰"	"冰"	"piŋ53"	"pin1"		1	53		"p"	"in"	"p"	"iŋ"
"憑"	"凭"	"biŋ24"	"bin2"		2	24		"b"	"in"	"b"	"iŋ"
"陵"	"陵"	"liŋ24"	"lin2"		2	24		"l"	"in"	"l"	"iŋ"
"菱"	"菱"	"liŋ24"	"lin2"		2	24		"l"	"in"	"l"	"iŋ"
"徵"	"征"	"tʂᴇ̃53"	"cen1"		1	53		"c"	"en"	"tʂ"	"ᴇ̃"
"澄"	"澄"	"dʐᴇ̃24"	"jen2"	"《广韵》直陵切：~清；~湖。"	2	24		"j"	"en"	"dʐ"	"ᴇ̃"
"澄"	"澄"	"dzã24"	"dzan2"	"《广韵》直庚切：阳~湖。"	2	24		"dz"	"an"	"dz"	"ã"
"橙"	"橙"	"dʐᴇ̃24"	"jen2"		2	24		"j"	"en"	"dʐ"	"ᴇ̃"
"蒸"	"蒸"	"tʂᴇ̃53"	"cen1"		1	53		"c"	"en"	"tʂ"	"ᴇ̃"
"證"	"证"	"tʂᴇ̃423"	"cen5"		5	423		"c"	"en"	"tʂ"	"ᴇ̃"
"症"	"症"	"tʂᴇ̃423"	"cen5"		5	423		"c"	"en"	"tʂ"	"ᴇ̃"
"稱"	"称"	"tʂʰᴇ̃53"	"chen1"	"~呼。"	1	53		"ch"	"en"	"tʂʰ"	"ᴇ̃"
"稱"	"称"	"tʂʰᴇ̃423"	"chen5"	"相~。"	5	423		"ch"	"en"	"tʂʰ"	"ᴇ̃"
"秤"	"秤"	"tʂʰᴇ̃423"	"chen5"		5	423		"ch"	"en"	"tʂʰ"	"ᴇ̃"
"乘"	"乘"	"dʐᴇ̃24"	"jen2"		2	24		"j"	"en"	"dʐ"	"ᴇ̃"
"繩"	"绳"	"ʐᴇ̃24"	"zhen2"		2	24		"zh"	"en"	"ʐ"	"ᴇ̃"
"剩"	"剩"	"dʐᴇ̃213"	"jen6"		6	213		"j"	"en"	"dʐ"	"ᴇ̃"
"剩"	"剩"	"dzã213"	"dzan6"		6	213		"dz"	"an"	"dz"	"ã"
"升"	"升"	"ʂᴇ̃53"	"shen1"		1	53		"sh"	"en"	"ʂ"	"ᴇ̃"
"勝"	"胜"	"ʂᴇ̃423"	"shen5"	"常用读音。"	5	423		"sh"	"en"	"ʂ"	"ᴇ̃"
"勝"	"胜"	"ʂᴇ̃53"	"shen1"		1	53		"sh"	"en"	"ʂ"	"ᴇ̃"
"承"	"承"	"dʐᴇ̃24"	"jen2"		2	24		"j"	"en"	"dʐ"	"ᴇ̃"
"丞"	"丞"	"dʐᴇ̃24"	"jen2"		2	24		"j"	"en"	"dʐ"	"ᴇ̃"
"仍"	"仍"	"ȵiŋ24"	"gnin2"	"【白读】"	2	24		"gn"	"in"	"ȵ"	"iŋ"
"仍"	"仍"	"dʐᴇ̃24"	"jen2"	"【文读】"	2	24		"j"	"en"	"dʐ"	"ᴇ̃"
"扔"	"扔"	"dʐᴇ̃24"	"jen2"		2	24		"j"	"en"	"dʐ"	"ᴇ̃"
"應"	"应"	"iŋ53"	"in1"	"~该。"	1	53			"in"		"iŋ"
"應"	"应"	"iŋ423"	"in5"	"答~。"	5	423			"in"		"iŋ"
"鷹"	"鹰"	"iŋ53"	"in1"		1	53			"in"		"iŋ"
"蠅"	"蝇"	"ɦiŋ24"	"yin2"		2	24		"y"	"in"	"ɦ"	"iŋ"
"孕"	"孕"	"ɦiŋ213"	"yin6"		6	213		"y"	"in"	"ɦ"	"iŋ"
"逼"	"逼"	"piɪʔ5"	"piq7"		7	5		"p"	"iq"	"p"	"iɪʔ"
"力"	"力"	"liɪʔ23"	"liq8"		8	23		"l"	"iq"	"l"	"iɪʔ"
"即"	"即"	"tsiɪʔ5"	"tsiq7"		7	5		"ts"	"iq"	"ts"	"iɪʔ"
"鯽"	"鲫"	"tsiɪʔ5"	"tsiq7"		7	5		"ts"	"iq"	"ts"	"iɪʔ"
"息"	"息"	"siɪʔ5"	"siq7"		7	5		"s"	"iq"	"s"	"iɪʔ"
"熄"	"熄"	"siɪʔ5"	"siq7"		7	5		"s"	"iq"	"s"	"iɪʔ"
"直"	"直"	"dʐᴇʔ23"	"jeq8"		8	23		"j"	"eq"	"dʐ"	"ᴇʔ"
"值"	"值"	"dʐᴇʔ23"	"jeq8"		8	23		"j"	"eq"	"dʐ"	"ᴇʔ"
"側"	"侧"	"tsᴇʔ5"	"tseq7"		7	5		"ts"	"eq"	"ts"	"ᴇʔ"
"測"	"测"	"tsʰᴇʔ5"	"tsheq7"		7	5		"tsh"	"eq"	"tsʰ"	"ᴇʔ"
"色"	"色"	"sᴇʔ5"	"seq7"		7	5		"s"	"eq"	"s"	"ᴇʔ"
"織"	"织"	"tʂᴇʔ5"	"ceq7"		7	5		"c"	"eq"	"tʂ"	"ᴇʔ"
"職"	"职"	"tʂᴇʔ5"	"ceq7"		7	5		"c"	"eq"	"tʂ"	"ᴇʔ"
"食"	"食"	"ʐᴇʔ23"	"zheq8"		8	23		"zh"	"eq"	"ʐ"	"ᴇʔ"
"識"	"识"	"ʂᴇʔ5"	"sheq7"		7	5		"sh"	"eq"	"ʂ"	"ᴇʔ"
"式"	"式"	"ʂᴇʔ5"	"sheq7"		7	5		"sh"	"eq"	"ʂ"	"ᴇʔ"
"植"	"植"	"dʐᴇʔ23"	"jeq8"		8	23		"j"	"eq"	"dʐ"	"ᴇʔ"
"殖"	"殖"	"dʐᴇʔ23"	"jeq8"		8	23		"j"	"eq"	"dʐ"	"ᴇʔ"
"極"	"极"	"dʑiɪʔ23"	"jiq8"		8	23		"j"	"iq"	"dʑ"	"iɪʔ"
"憶"	"忆"	"iɪʔ5"	"iq7"		7	5			"iq"		"iɪʔ"
"億"	"亿"	"iɪʔ5"	"iq7"		7	5			"iq"		"iɪʔ"
"弘"	"弘"	"ɦoŋ24"	"ghon2"		2	24		"gh"	"on"	"ɦ"	"oŋ"
"肱"	"肱"	"koŋ53"	"kon1"		1	53		"k"	"on"	"k"	"oŋ"
"國"	"国"	"kuoʔ5"	"kuoq7"		7	5		"k"	"uoq"	"k"	"uoʔ"
"或"	"或"	"ɦuoʔ23"	"woq8"		8	23		"w"	"oq"	"ɦ"	"uoʔ"
"域"	"域"	"ɦioʔ23"	"yoq8"		8	23		"y"	"oq"	"ɦ"	"ioʔ"
"彭"	"彭"	"bã24"	"ban2"		2	24		"b"	"an"	"b"	"ã"
"膨"	"膨"	"bã24"	"ban2"		2	24		"b"	"an"	"b"	"ã"
"盲"	"盲"	"mã24"	"man2"		2	24		"m"	"an"	"m"	"ã"
"猛"	"猛"	"mã31"	"man4"		4	31		"m"	"an"	"m"	"ã"
"孟"	"孟"	"mã213"	"man6"		6	213		"m"	"an"	"m"	"ã"
"浜"	"浜"	"pã53"	"pan1"		1	53		"p"	"an"	"p"	"ã"
"打"	"打"	"tã44"	"tan3"		3	44		"t"	"an"	"t"	"ã"
"冷"	"冷"	"lã31"	"lan4"		4	31		"l"	"an"	"l"	"ã"
"撐"	"撑"	"tsʰã53"	"tshan1"		1	53		"tsh"	"an"	"tsʰ"	"ã"
"生"	"生"	"sã53"	"san1"	"【白读】~熟。"	1	53		"s"	"an"	"s"	"ã"
"生"	"生"	"sᴇ̃53"	"sen1"	"【文读】~产。"	1	53		"s"	"en"	"s"	"ᴇ̃"
"甥"	"甥"	"sã53"	"san1"		1	53		"s"	"an"	"s"	"ã"
"牲"	"牲"	"sã53"	"san1"	"【白读】众~；畜~。"	1	53		"s"	"an"	"s"	"ã"
"牲"	"牲"	"sᴇ̃53"	"sen1"	"【文读】牺~。"	1	53		"s"	"en"	"s"	"ᴇ̃"
"省"	"省"	"sã44"	"san3"	"~份；节~。"	3	44		"s"	"an"	"s"	"ã"
"省"	"省"	"siŋ44"	"sin3"	"反~。"	3	44		"s"	"in"	"s"	"iŋ"
"更"	"更"	"kã53"	"kan1"	"【白读】打~；夜半三~。"	1	53		"k"	"an"	"k"	"ã"
"更"	"更"	"kᴇ̃53"	"ken1"	"【文读】~改；~正；变~。"	1	53		"k"	"en"	"k"	"ᴇ̃"
"更"	"更"	"kã423"	"kan5"	"【白读】"	5	423		"k"	"an"	"k"	"ã"
"更"	"更"	"kᴇ̃423"	"ken5"	"【文读】~加。"	5	423		"k"	"en"	"k"	"ᴇ̃"
"羹"	"羹"	"kã53"	"kan1"	"【白读】~饭。"	1	53		"k"	"an"	"k"	"ã"
"羹"	"羹"	"kᴇ̃53"	"ken1"	"【文读】"	1	53		"k"	"en"	"k"	"ᴇ̃"
"庚"	"庚"	"kã53"	"kan1"		1	53		"k"	"an"	"k"	"ã"
"粳"	"粳"	"kã53"	"kan1"		1	53		"k"	"an"	"k"	"ã"
"哽"	"哽"	"kã44"	"kan3"		3	44		"k"	"an"	"k"	"ã"
"梗"	"梗"	"kã44"	"kan3"	"【白读】"	3	44		"k"	"an"	"k"	"ã"
"梗"	"梗"	"kᴇ̃44"	"ken3"	"【文读】~概。"	3	44		"k"	"en"	"k"	"ᴇ̃"
"坑"	"坑"	"kʰã53"	"khan1"	"【白读】~缸；~棚；粪~。"	1	53		"kh"	"an"	"kʰ"	"ã"
"坑"	"坑"	"kʰᴇ̃53"	"khen1"	"【文读】"	1	53		"kh"	"en"	"kʰ"	"ᴇ̃"
"硬"	"硬"	"ŋã213"	"ngan6"		6	213		"ng"	"an"	"ŋ"	"ã"
"杏"	"杏"	"ɦã31"	"ghan4"		4	31		"gh"	"an"	"ɦ"	"ã"
"百"	"百"	"pɑʔ5"	"paq7"		7	5		"p"	"aq"	"p"	"ɑʔ"
"柏"	"柏"	"pɑʔ5"	"paq7"		7	5		"p"	"aq"	"p"	"ɑʔ"
"伯"	"伯"	"pɑʔ5"	"paq7"		7	5		"p"	"aq"	"p"	"ɑʔ"
"迫"	"迫"	"pʰɑʔ5"	"phaq7"		7	5		"ph"	"aq"	"pʰ"	"ɑʔ"
"拍"	"拍"	"pʰɑʔ5"	"phaq7"		7	5		"ph"	"aq"	"pʰ"	"ɑʔ"
"魄"	"魄"	"pʰɑʔ5"	"phaq7"		7	5		"ph"	"aq"	"pʰ"	"ɑʔ"
"泊"	"泊"	"pʰɑʔ5"	"phaq7"		7	5		"ph"	"aq"	"pʰ"	"ɑʔ"
"舶"	"舶"	"pʰɑʔ5"	"phaq7"		7	5		"ph"	"aq"	"pʰ"	"ɑʔ"
"白"	"白"	"bɑʔ23"	"baq8"		8	23		"b"	"aq"	"b"	"ɑʔ"
"帛"	"帛"	"bɑʔ23"	"baq8"		8	23		"b"	"aq"	"b"	"ɑʔ"
"陌"	"陌"	"mɑʔ23"	"maq8"		8	23		"m"	"aq"	"m"	"ɑʔ"
"拆"	"拆"	"tsʰɑʔ5"	"tshaq7"		7	5		"tsh"	"aq"	"tsʰ"	"ɑʔ"
"擇"	"择"	"dzᴇʔ23"	"dzeq8"	"【文读】"	8	23		"dz"	"eq"	"dz"	"ᴇʔ"
"澤"	"泽"	"zɑʔ23"	"zaq8"	"【白读】地名用字，本字为“宅”：崧~，金~，张~，盛~；古代湖泊通名：震~。"	8	23		"z"	"aq"	"z"	"ɑʔ"
"澤"	"泽"	"dzᴇʔ23"	"dzeq8"	"【文读】沼~。"	8	23		"dz"	"eq"	"dz"	"ᴇʔ"
