"例字"	"中古音"	"电白龙山海话"	"罗定漳州话"	"湛江雷州黎话"	"吴川兰石东话"	"说明：兰石东话 阴平 33 家多初开 阳平 22 牙河图鱼 阴上 31 左把假女 阳上 42 午谢异硬 阴去 44 化废放布 阴入 5 发括得绩 阳入 2 活越贼局 升降调 453 之爸血百"
"现"	"山开四去霰匣"	"hin42"	"ien443"	"hiɛŋ453/hiŋ453"	"hin42"	
"烟"	"山开四平先影"	"jiŋ33"	"hun45"	"huŋ24"	"jin33"	
"燕"	"山开四去霰影"	"jiŋ44"	"ien31"	"i453/iɛŋ21"	"in44"	
"搬"	"山合一平桓帮"	"pun53"	"pua45"	"pua24"	"ɓu33"	
"半"	"山合一去换帮"	"pua44"	"pua31"	"pua21"	"ɓu44"	
"潘"	"山合一平桓滂"	"pʰua33"	"pʰua45"	"pʰua24"	"pʰun453"	
"判"	"山合一去换滂"	"pʰun44"	"pʰuon31"	"pʰuaŋ21"	"pʰun44"	
"泼"	"山合一入末滂"	"pʰua53"	"pʰuot5"	"pʰua453/ʦua453"	"pʰu453"	
"盘"	"山合一平桓并"	"pua22"	"pua24"	"pua22"	"ɓu22/pʰun22"	
"伴"	"山合一上缓并"	"pʰua31"	"pʰun24"	"puaŋ33"	"pʰu42"	
"叛"	"山合一去换并"	"pʰun44"	"puon31"	"puaŋ21"	"——"	
"满"	"山合一上缓明"	"mua31"	"ɓua451"	"mua41/ti22"	"mun42"	
"末"	"山合一入未明"	"mut2"	"ɓuot2"	"muak5"	"mut2"	
"端"	"山合一平桓端"	"tun33"	"tun45"	"tuaŋ24"	"——"	
"短"	"山合一上缓端"	"tia31"	"te451"	"tɛ41"	"ɗɛ31"	
"脱"	"山合一入末透"	"tʰut5"	"tʰut5"	"tʰui21"	"tʰut5"	
"团"	"山合一平桓定"	"tʰun22"	"tʰuon24"	"tʰuaŋ22/tʰui22"	"tʰui22/tʰyn22"	
"断折～"	"山合一上缓定"	"tui42"	"tui443"	"tui33"	"ɗui42"	
"缎"	"山合一去换定"	"tun42"	"tuon443"	"tuaŋ453"	"ɗyn42"	
"夺"	"山合一入末定"	"tut2"	"tut2"	"tuak5"	"——"	
"暖"	"山合一上缓泥"	"nun22"	"lua443"	"nuaŋ41"	"nun42"	
"乱"	"山合一去换来"	"nui33"	"luon443"	"luaŋ33"	"nui33"	
"捋"	"山合一入末来"	"lut2"	"luot2"	"luak5"	"lut2"	
"酸"	"山合一平桓心"	"ɬui33"	"sui45"	"sui24"	"ɬui33/ɬun453"	
"算"	"山合一去换心"	"ɬui33"	"sui31"	"sui21"	"ɬui44/ɬu44"	
"官"	"山合一平桓见"	"kua33"	"kua45"	"kua24"	"ku33/kun33"	
"管"	"山合一上缓见"	"kua31"	"kuon451"	"kua41"	"ku31/kun31"	
"灌"	"山合一去换见"	"kua44"	"kuon31"	"kuaŋ21"	"ku44"	
"括"	"山合一入末见"	"kʰut5"	"kʰuot5"	"kuak5"	"kʰut5"	
"宽"	"山合一平桓溪"	"kʰua53"	"kʰua45"	"kʰua24"	"ku453"	
"阔"	"山合一入末溪"	"kʰua53"	"kʰua451"	"kʰuak5"	"ku453"	
"欢"	"山合一平桓溪"	"hua33"	"hua45"	"huaŋ24"	"fu33/fun33"	
"完"	"山合一平桓匣"	"hun22"	"uon24"	"ŋuaŋ22"	"win22"	
"丸"	"山合一平桓匣"	"iŋ22"	"i24"	"jiɛŋ22"	"win22"	
"换"	"山合一去换匣"	"pɔ53"	"ua443"	"huaŋ33"	"ɓɔ453"	
"活"	"山合一入末匣"	"huak2"	"ua443"	"ua33"	"ut2"	
"碗"	"山合一上缓影"	"ua31"	"ua451"	"ua41"	"u31"	
"顽"	"山合一平山疑"	"——"	"uon24"	"ŋuaŋ22"	"——"	
"猾"	"山合二入黠匣"	"kut2"	"kʰut2"	"kuk2"	"wak2"	
"挖"	"山合二入黠影"	"uak5"	"uot5"	"uak453"	"wak5"	
"闩"	"山合二平删山"	"tsʰua33"	"tsʰua31"	"tsʰua21"	"ɬaŋ33"	
"刷"	"山合二入鎋生"	"ɬak5"	"tsʰat5"	"suak5"	"ɬaŋ44"	
"关"	"山合二平删见"	"kuai33"	"kue45"	"kuɛ24"	"kuɛ33/kuaŋ33"	
"惯"	"山合二去谏见"	"kuaŋ44/kuai44"	"kuon31"	"kuaŋ21"	"kuai44"	
"刮"	"山合二入鎋见"	"kua53"	"kue451"	"kuak5"	"kuak5"	
"还归～"	"山合二平删匣"	"huaŋ22"	"uon24"	"huaŋ22"	"waŋ22"	
"弯"	"山合三平删影"	"uaŋ33"	"on45"	"uaŋ24"	"waŋ453"	
"全"	"山合三平仙从"	"tsʰun22"	"ʦuon24"	"ʦui22"	"syn22"	
"泉"	"山合三平仙从"	"tsʰiŋ22"	"tsʰuon24"	"siap2"	"syn22"	
"绝"	"山合三入薛从"	"ʦit2"	"ʦuot2"	"ʦiɛk2"	"ʦyt2"	
"雪"	"山合三入薛心"	"ɬɔi53"	"se451"	"soi453"	"ɬɛi453"	
"旋"	"山合三平仙邪"	"——"	"suon24"	"siɛŋ22"	"ɬyn22"	
"转～身"	"山合三上狝知"	"ʦun31"	"ʦun451"	"ʦiɛŋ41/tui41"	"ʦyn31"	
"传～达"	"山合三平仙澄"	"tsʰun22"	"ʦun451"	"tsʰiɛŋ22"	"syn22"	
"砖"	"山合三平仙章"	"ʦui33"	"ʦui45"	"ʦui24"	"ʦyn33"	
"穿"	"山合三平仙昌"	"tsʰiaŋ33"	"tsʰui45"	"tsʰuaŋ24"	"sən33"	
"船"	"山合三平仙船"	"ʦun22"	"ʦun24"	"ʦuŋ22"	"tun22"	
"说小～"	"山合三入薛书"	"ɬɔi53"	"se451"	"suɛ453"	"ɬɛi453"	
"软"	"山合三上狝日"	"kiŋ31"	"nui451"	"nui33"	"nui31"	
"卷～起"	"山合三上狝见"	"kʰɛŋ53"	"lun451"	"kɛŋ41"	"kyn31"	
"圈圆～"	"山合三平仙溪"	"kʰiŋ22"	"kʰuon45"	"kʰɛu24"	"kʰuɛn453"	
"拳"	"山合三平仙群"	"kʰiŋ22"	"kʰuon24"	"kʰiɛŋ22"	"kʰuɛn22"	
"权"	"山合三平仙群"	"kʰiŋ22"	"kʰun24"	"kʰiɛŋ22"	"kʰyn22"	
"圆"	"山合三平仙云"	"i22"	"i24"	"i22"	"i22/jyn22"	
"缘"	"山合三平仙以"	"iŋ22"	"uon24"	"jiɛŋ22"	"jyn22"	
"反"	"山合三上阮非"	"huaŋ31"	"pan451"	"ɓaŋ41"	"faŋ31"	
"发"	"山合三入月非"	"huak5"	"huot5"	"ɓak5"	"fak5"	
"翻"	"山合三平元敷"	"huaŋ33"	"huon45"	"huaŋ24"	"faŋ33"	
"烦"	"山合三平元奉"	"huaŋ22"	"huon22"	"ɓaŋ22"	"faŋ22"	
"饭"	"山合三去愿奉"	"pui33"	"ɓui443"	"pui24"	"ɓoi33"	
"罚"	"山合三入月奉"	"huak2"	"huot2"	"huak2"	"fak2"	
"万"	"山合三去愿微"	"maŋ33"	"ɓan443"	"ɓaŋ24"	"maŋ33"	
"袜"	"山合三入月微"	"mak2"	"ɓat2"	"ɓak2"	"mak2"	
"劝"	"山合三去愿溪"	"kʰiŋ44"	"hun31"	"kʰɛŋ21"	"hyn44"	
"元"	"山合三平元疑"	"jiŋ22"	"uon24"	"jiɛŋ22"	"jyn22"	
"原"	"山合三平元疑"	"jiŋ22"	"yen22"	"jiɛŋ22"	"jyn22"	
"月"	"山合三入月疑"	"kɔi42"	"hye443"	"ɓuɛ33"	"koi42"	
"冤"	"山合三平元影"	"iŋ33"	"uon45"	"jiɛŋ24"	"jyn453"	
"远"	"山合三上阮云"	"hui42"	"hui443"	"hui33"	"hui42/jyn42"	
"决"	"山合四入屑见"	"kik5"	"kʰuot5"	"kʰiɛk5"	"kyt5"	
"缺"	"山合四入屑溪"	"kʰi53"	"kʰuot5"	"kʰi453"	"kʰi453/kʰyt5"	
"血"	"山合四入屑晓"	"hui53"	"hye451"	"huɛ453"	"hoi453"	
"县"	"山合四去霰匣"	"hiŋ42"	"kuon443"	"kuai24"	"jin22"	
"穴"	"山合四入屑匣"	"hiap5"	"uot2"	"hik5"	"jyt2"	
"吞"	"臻开一平痕透"	"tʰun33"	"tʰun45"	"tʰuŋ24"	"tʰun33"	
"根"	"臻开一去痕影"	"kiŋ33"	"kin45"	"kiɛŋ24"	"kin33"	
"痕"	"臻开一平痕匣"	"haŋ22"	"hin24"	"huŋ22"	"hun22"	
"恨"	"臻开一去恨匣"	"haŋ42/hoŋ53"	"hin24"	"hiɛŋ453"	"hən42"	
"恩"	"臻开一平痕影"	"ŋaŋ33"	"in45"	"iɛŋ24"	"ən33"	
"宾"	"臻开三平真帮"	"piŋ33"	"pin45"	"piɛŋ24"	"ɓən33"	
"笔"	"臻开三入质帮"	"pik5"	"pit5"	"piɛk5"	"ɓit5"	
"匹"	"臻开三入质滂"	"pʰik5"	"pʰiet5"	"pʰik5"	"pʰət5"	
"贫"	"臻开三平真并"	"pʰɛŋ22"	"pʰin24"	"pʰiɛŋ22"	"pʰən22"	
"民"	"臻开三平真明"	"miŋ22"	"ɓun24"	"miɛŋ22"	"mun22"	
"敏"	"臻开一上轸明"	"miŋ31"	"ɓin451"	"miɛŋ41"	"mən22"	
"密"	"臻开一入质明"	"wak2"	"ɓat2"	"miɛk5"	"mət2"	
"蜜"	"臻开一入质明"	"wak2"	"ɓat2"	"miɛk5"	"mət2"	
"麟"	"臻开三平真来"	"——"	"——"	"laŋ22"	"laŋ22"	
"进"	"臻开三去震精"	"ʦiŋ44"	"ʦin31"	"ʦiɛŋ21"	"ʦin44"	
"亲"	"臻开三平真清"	"tsʰiŋ33"	"tsʰin45"	"tsʰiɛŋ24"	"sən33"	
"七"	"臻开三入质清"	"tsʰik5"	"tsʰit5"	"tsʰiɛk5"	"sit5"	
"尽"	"臻开三上轸从"	"ʦiŋ42"	"ʦin31"	"ʦiɛŋ33"	"ʦyn42"	
"新"	"臻开三平真心"	"ɬiŋ33"	"sin31"	"siɛŋ24"	"ɬin33"	
"信"	"臻开三去震心"	"ɬiŋ44"	"sin31"	"siɛŋ21"	"ɬin44"	
"镇"	"臻开三去震知"	"ʦiŋ44"	"ʦin31"	"ʦiɛŋ21"	"ʦin44"	
"陈"	"臻开三平真澄"	"taŋ22"	"tan24"	"taŋ22"	"sən22"	
"真"	"臻开三平真章"	"ʦiŋ33"	"ʦin45"	"tsʰiɛŋ24"	"ʦin33"	
"质"	"臻开三入质章"	"ʦik5"	"ʦik5"	"ʦiɛk5"	"tət5"	
"侄"	"臻开三入质澄"	"ʦik5"	"tit2"	"ʦiɛk5"	"tət2"	
"神"	"臻开三平真船"	"ɬiŋ22"	"sin24"	"siɛŋ22"	"ɬin22"	
"实"	"臻开三入质船"	"ɬik2"	"ʦat2"	"siɛk2"	"ɬit2"	
"身"	"臻开三平真书"	"ɬiŋ33"	"sin45"	"siɛŋ24"	"ɬin33"	
"失"	"臻开三入质书"	"ɬik5"	"sit5"	"siɛk5"	"ɬit5"	
"肾"	"臻开三上轸禅"	"ɬiŋ44"	"ye45"	"siɛŋ33"	"——"	
"人"	"臻开三平真日"	"naŋ22"	"laŋ24"	"naŋ22"	"naŋ22"	
"忍"	"臻开三上轸日"	"nun31"	"nun451"	"iɛŋ41"	"nun42"	
"认"	"臻开三去震日"	"iŋ33"	"in443"	"jiɛŋ24"	"jin33"	
"日"	"臻开三入质日"	"jik2"	"it2"	"iɛk5"	"jit2"	
"巾"	"臻开三平真见"	"kiŋ33"	"kin45"	"kiɛŋ24"	"kin33"	
"紧"	"臻开三上轸见"	"kiŋ31"	"kin451"	"kiɛŋ41"	"kin31"	
"银"	"臻开三平真疑"	"ŋiŋ22"	"ŋiŋ24"	"ŋiɛŋ22"	"ŋin22"	
"因"	"臻开三平真影"	"iŋ33"	"in45"	"iɛŋ24"	"ən33"	
"印"	"臻开三去震影"	"iŋ44"	"in31"	"iɛŋ33"	"in44"	
"一"	"臻开三入质影"	"ik5/iak2"	"it5"	"iɛk5/iak5"	"it5/jiɐt2"	
"引"	"臻开三上轸以"	"iŋ31"	"in451"	"iɛŋ41"	"jiɐn31"	
"斤"	"臻开三平殷见"	"kiŋ33"	"kin45"	"kiɛŋ24"	"kin33"	
"筋"	"臻开三平殷见"	"kiŋ33"	"kin45"	"kiɛŋ24"	"kin33"	
"勤"	"臻开三平殷群"	"kʰiŋ22"	"kʰin24"	"kʰiɛŋ22"	"kʰin22"	
"近"	"臻开三上隐群"	"kiŋ42"	"kin443"	"kiɛŋ33"	"kin42"	
"本"	"臻合一上混帮"	"pui31"	"pun451"	"pui41/puŋ41"	"ɓoi31/ɓun31"	
"不"	"臻合一入没帮"	"put5"	"put5"	"ɓo22/puk5"	"ɓɔ22"	
"盆"	"臻合一平魂并"	"pʰun22"	"pua24"	"pʰuŋ22"	"ɓun22"	
"笨"	"臻合一上混并"	"paŋ42"	"pun31"	"puŋ41"	"——"	
"门"	"臻合一平魂明"	"mui22"	"pui24"	"mui22"	"moi22"	
"墩"	"臻合一平魂端"	"tun33"	"tun45"	"tuŋ24"	"ɗən453"	
"顿"	"臻合一去慁端"	"tun53"	"tun24"	"tuŋ453"	"ɗyn453"	
"突"	"臻合一入没定"	"tak2"	"tut2"	"tuk5"	"——"	
"嫩"	"臻合一去慁泥"	"iu44（训“幼”）"	"ʦi451"	"nuŋ453"	"iu44"	
"论"	"臻合一去慁来"	"lun22"	"lun443"	"luŋ33"	"lyn42"	
"尊"	"臻合一平魂精"	"ʦun33"	"ʦuon45"	"ʦuŋ24"	"ʦyn33"	
"卒"	"臻合一入没精"	"ʦut5"	"ʦuot5"	"ʦuk5"	"tut5"	
"村"	"臻合一平魂清"	"tsʰui33"	"tsʰun45"	"tsʰui24"	"sui33"	
"寸"	"臻合一平慁清"	"tsʰun44"	"tsʰun31"	"tsʰun21"	"sun44"	
"孙"	"臻合一平魂心"	"ɬun33"	"sun45"	"suŋ24"	"ɬun33"	
"滚"	"臻合一上混见"	"kun31"	"kun451"	"kuŋ41"	"kun31"	
"骨"	"臻合一入没见"	"kut5"	"kut5"	"kuk5"	"kut5"	
"捆"	"臻合一上混溪"	"kʰun31"	"kʰun451"	"kʰuŋ41"	"kʰun31"	
"困"	"臻合一去慁溪"	"kʰun44"	"kʰun31"	"kʰuŋ21"	"kʰuən44"	
"昏"	"臻合一平魂晓"	"hun33"	"hun45"	"huŋ24"	"hui22"	
"忽"	"臻合一入没晓"	"——"	"ut5"	"huk5"	"——"	
"混"	"臻合一上混匣"	"hun31"	"un24"	"huŋ21"	"——"	
"温"	"臻开一平魂影"	"un33"	"un45"	"uŋ24"	"uɐn453"	
"律"	"臻开三入术来"	"lut2"	"lyt24"	"luk2"	"lət2"	
"遵"	"臻合三平谆精"	"ʦun33"	"ʦuon45"	"ʦuŋ24"	"ʦyn33"	
"笋"	"臻合三上准心"	"ɬun31"	"sun451"	"suŋ41"	"ɬun31"	
"榫"	"臻合三上准心"	"ɬun31"	"sun451"	"suŋ41"	"ɬun31"	
"准"	"臻合三上准章"	"ʦun31"	"ʦun451"	"ʦuŋ41"	"tun31"	
"春"	"臻合三平谆昌"	"ʦun33"	"tsʰun45"	"tsʰuŋ24"	"sun33"	
"出"	"臻合三入术昌"	"tsʰut5"	"tsʰut5"	"tsʰuk5"	"sut5"	
"顺"	"臻合三去稕船"	"ɬun42"	"sun31"	"suŋ453"	"ɬun31"	
"纯"	"臻合三平谆禅"	"ɬun22"	"sin22"	"suŋ22"	"sən22"	
"闰"	"臻合三去稕日"	"nun33"	"zun443"	"nuŋ24"	"ɬun22"	
"橘"	"臻合三入术见"	"kik5"	"kuik5"	"kiɛk5/kik5"	"kit5"	
"均"	"臻合三平谆见"	"kʰiŋ33"	"kun45"	"kʰuŋ24"	"kʰuɐn33"	
"菌"	"臻合三上准群"	"kʰun31"	"kʰun451"	"kʰuŋ41"	"kʰən31"	
"允"	"臻合三上准以"	"un31"	"un451"	"iɛŋ21"	"un31"	
"分"	"臻合三平文非"	"hun33"	"hun45"	"puŋ24"	"ɓun33/hun33"	
"粪"	"臻合三去问非"	"pun44"	"hun31"	"puŋ21"	"ɓun44"	
"坟"	"臻合三平文奉"	"mɛu33"	"hun22"	"mɛu24/wɛŋ22"	"mɛu33"	
"佛"	"臻合三入物奉"	"put2"	"hut2"	"puk5/hok5"	"fət2"	
"蚊"	"臻合三平文微"	"maŋ31"	"ɓun24"	"maŋ41"	"maŋ22"	
"问"	"臻合三去问微"	"mui33"	"ɓui443"	"mui24"	"moi33"	
"物"	"臻合三入物微"	"mut2/mi42"	"ɓit2"	"mi33/wiɛk5"	"mi42/mət2"	
"军"	"臻合三平文见"	"kiŋ33"	"kun45"	"kiɛŋ24"	"kuɐn33"	
"君"	"臻合三平文见"	"kiŋ33"	"kun45"	"kiɛŋ24"	"kuɐn453"	
"屈"	"臻合三入物溪"	"kʰut5"	"ut5"	"kʰuak5"	"kʰut5"	
"裙"	"臻合三平文群"	"kun22"	"kʰun24"	"kuŋ22"	"kun22"	
"熏"	"臻合三平文晓"	"hun33"	"hun45"	"huŋ24"	"hun33"	
"勋"	"臻合三平文晓"	"——"	"hun45"	"——"	"——"	
"训"	"臻合三去问晓"	"hun44"	"hun31"	"huŋ21"	"hun44"	
"云"	"臻合三平文云"	"hun22"	"hun22"	"huŋ22"	"hun22"	
"运"	"臻合三去问云"	"un42"	"un443"	"jiɛŋ33"	"wɐn42"	
"帮"	"宕开一平唐帮"	"poŋ33"	"poŋ45"	"paŋ24"	"ɓoŋ33/ɓɔŋ33"	
"博"	"宕开一入铎帮"	"pok5"	"pok5"	"pok5"	"ɓɔk5/ɓət5"	
"薄"	"宕开一入铎并"	"po42"	"po443"	"po33"	"ɓɔ42"	
"忙"	"宕开一平唐明"	"maŋ22"	"ɓoŋ24"	"maŋ22"	"mɔŋ22"	
"莫"	"宕开一入铎明"	"mok5"	"ɓuok2"	"mok5"	"——"	
"膜"	"宕开一入铎明"	"mɔ42"	"ɓo451"	"mo33"	"mɔ42"	
"摸"	"宕开一入铎明"	"mɔ53"	"ɓo24"	"ma24"	"mɔ453"	
"党"	"宕开一上荡端"	"taŋ31"	"toŋ451"	"taŋ41"	"ɗɔŋ31"	
"汤"	"宕开一平唐透"	"tʰoŋ33"	"tʰoŋ45"	"tʰo24"	"tʰoŋ33/tʰɔŋ33"	
"托"	"宕开一入铎透"	"tʰok5"	"tʰok5"	"tʰok5"	"tʰɔ453/tʰɔk5"	
"堂"	"宕开一平唐定"	"tʰaŋ22"	"toŋ24"	"to22/tʰaŋ22"	"tʰɔŋ22"	
"糖"	"宕开一平唐定"	"tʰoŋ22"	"tʰoŋ24"	"tʰo22"	"tʰoŋ22"	
"荡"	"宕开一上荡定"	"toŋ42"	"toŋ443"	"taŋ453"	"——"	
"郎"	"宕开一平唐来"	"laŋ22"	"loŋ24"	"laŋ22"	"loŋ22/lɔŋ22"	
"狼"	"宕开一平唐来"	"laŋ22"	"loŋ24"	"laŋ22"	"lɔŋ22"	
"浪"	"宕开一去宕来"	"laŋ42"	"loŋ24"	"laŋ453"	"loŋ33"	
"落"	"宕开一入铎来"	"lɔ42"	"lo443"	"lo33/lak5"	"lɔ42/lak5"	
"葬"	"宕开一去宕精"	"ʦoŋ44"	"ʦoŋ31"	"ʦaŋ21"	"tɔŋ44"	
"作"	"宕开一入铎精"	"ʦok5"	"ʦok5"	"ʦok5"	"tɔk5"	
"仓"	"宕开一平唐清"	"tsʰoŋ33"	"tsʰoŋ45"	"tsʰo24/tsʰaŋ24"	"soŋ33"	
"凿"	"宕开一入铎从"	"tsʰak2"	"tsʰak2"	"tsʰak5"	"tɔk2"	
"桑"	"宕开一平唐心"	"tsʰam22"	"soŋ45"	"suaŋ24"	"——"	
"钢"	"宕开一平唐见"	"koŋ44"	"kɐŋ451"	"ko41"	"koŋ33"	
"各"	"宕开一入铎见"	"kok5"	"kok5"	"kok5"	"kɔk5"	
"糠"	"宕开一平唐溪"	"kʰoŋ33"	"kʰoŋ45"	"kʰo24"	"kʰoŋ33"	
"抗"	"宕开一去宕溪"	"kʰaŋ44"	"kʰoŋ31"	"kʰaŋ21"	"kʰɔŋ44"	
"行银～"	"宕开一平唐匣"	"oŋ22"	"haŋ24"	"haŋ22"	"hɔŋ22"	
"航"	"宕开一平唐匣"	"haŋ22"	"hoŋ31"	"haŋ22"	"hɔŋ22"	
"恶善～"	"宕开一入铎影"	"ok5"	"ok5"	"ok5"	"ɔk5"	
"娘"	"宕开三平阳泥"	"niɛu22"	"niaŋ24"	"nio22/niaŋ24"	"——"	
"凉"	"宕开三平阳来"	"liaŋ22/nia22"	"liaŋ24"	"lio22"	"niɔ22"	
"粮"	"宕开三平阳来"	"niɛu22"	"lyo24"	"lio22"	"niɔ22"	
"两～个"	"宕开三上养来"	"nɔ42"	"no443"	"no33"	"nɔ42"	
"两几～"	"宕开三上养来"	"niŋ31"	"liu451"	"lio41"	"ȵiɔ42"	
"浆"	"宕开三平阳精"	"ʦiŋ33/ʦiɛu33"	"ʦyo31"	"ʦio24"	"——"	
"蒋"	"宕开三上养精"	"ʦiaŋ31"	"ʦyo451"	"ʦiaŋ41"	"ʦən31"	
"酱"	"宕开三去漾精"	"ʦiŋ44"	"ʦiaŋ31"	"ʦio453"	"ʦɔ44"	
"雀"	"宕开三入药精"	"ʦiɛu53"	"ʦiak5"	"tsʰiok5"	"ʦou31"	
"枪"	"宕开三平阳清"	"tsʰiŋ33"	"tsʰyo45"	"tsʰio24"	"sɔ33"	
"抢"	"宕开三上养清"	"tsʰiaŋ31"	"tsʰyo451"	"tsʰiaŋ41"	"kiap5"	
"墙"	"宕开三平阳从"	"tsʰiŋ22"	"tsʰyo24"	"tsʰio22"	"sɔ33"	
"箱"	"宕开三平阳心"	"ɬiŋ33"	"syo45"	"sio24"	"ɬiɔ33"	
"想"	"宕开三上养心"	"ɬiŋ42"	"siaŋ451"	"sio41"	"ɬiɔ31"	
"削"	"宕开三入药心"	"ɬiap5"	"sia451"	"siak5"	"ɬiak5"	
"象"	"宕开三上养邪"	"tsʰiŋ42"	"ʦiaŋ442"	"tsʰio33"	"ʦən42"	
"像不～"	"宕开三上养邪"	"ɬiŋ44"	"tsʰiaŋ443"	"siaŋ21/sio21"	"ɬiɔ42"	
"张"	"宕开三平阳知"	"tiŋ33"	"tyo45"	"tio24/ʦiaŋ24"	"ɗiɔ33/ʦən33"	
"长生～"	"宕开三上养知"	"ʦiaŋ31"	"ʦiaŋ451"	"ʦiaŋ41"	"ʦən31"	
"帐"	"宕开三去漾知"	"tiŋ44"	"ta31"	"tio21"	"ɗiɔ44"	
"着穿～"	"宕开三入药知"	"ʦiak2"	"tyo443"	"tio33"	"——"	
"着睡～"	"宕开三入药澄"	"tiɛu42"	"tyo443"	"ɬiak2"	"——"	
"长～短"	"宕开三平阳澄"	"toŋ22"	"lo31"	"to22"	"ɗoŋ22"	
"肠"	"宕开三平阳澄"	"toŋ22"	"toŋ24"	"to22"	"ɗoŋ22"	
"丈"	"宕开三上养澄"	"tiɛu42/ʦiaŋ42"	"ʦiaŋ443"	"to33"	"ɗiɔ33"	
"庄"	"宕开三平阳庄"	"ʦoŋ33"	"ʦoŋ45"	"ʦuaŋ24"	"tɔŋ33"	
"壮"	"宕开三去漾庄"	"ʦuaŋ44"	"ʦoŋ31"	"tsʰuaŋ21"	"tɔŋ44"	
"疮"	"宕开三平阳初"	"tsʰoŋ33"	"tsʰoŋ45"	"tsʰo24"	"soŋ33"	
"床"	"宕开三平阳崇"	"tsʰoŋ22"	"tsʰoŋ24"	"tsʰo22"	"soŋ22"	
"霜"	"宕开三平阳生"	"ɬoŋ33"	"siaŋ45"	"suaŋ24"	"ɬiɔŋ33"	
"爽"	"宕开三上养生"	"ɬoŋ31"	"soŋ451"	"suaŋ41"	"ɬɔŋ31"	
"章"	"宕开三平阳章"	"ʦiaŋ33"	"tyo45"	"ʦiaŋ24"	"ʦən33"	
"掌"	"宕开三上养章"	"ʦiŋ31"	"ʦyo451"	"ʦio41"	"ʦɔ31"	
"昌"	"宕开三平阳昌"	"tsʰiaŋ33"	"tsʰiaŋ45"	"tsʰiaŋ24"	"sɔŋ453"	
"厂"	"宕开三上养昌"	"tsʰoŋ31"	"tsʰoŋ451"	"tsʰiaŋ41"	"sɔŋ31"	
"唱"	"宕开三去漾昌"	"tsʰiɛu44"	"tsʰyo31"	"tsʰio21"	"sɔ44"	
"瓤"	"宕开三平阳日"	"noŋ22"	"noŋ45"	"no22"	"nɔŋ22"	
"让"	"宕开三去漾日"	"niaŋ42"	"jiaŋ443"	"niaŋ453"	"ȵiən42"	
"弱"	"宕开三入药日"	"jiak2"	"jiak2"	"niok2"	"——"	
"伤"	"宕开三平阳书"	"ɬiaŋ33"	"siaŋ45"	"siaŋ24"	"ɬɛŋ33"	
"常"	"宕开三平阳禅"	"tsʰiaŋ22"	"siaŋ24"	"siaŋ22"	"ɬiaŋ22"	
"尝"	"宕开三平阳禅"	"tsʰiŋ22"	"si31"	"tsʰi21"	"ɬiɔ22"	
"上～山"	"宕开三上养禅"	"ɬiaŋ42"	"ʦyo443"	"ʦio33"	"ɗoŋ42"	
"上～面"	"宕开三去漾禅"	"ɬiaŋ42/ʦiɛu33"	"ʦyo443"	"ʦio24"	"ʦɔ33"	
"姜生～"	"宕开三平阳见"	"kiɛu33"	"kyo45"	"kio24"	"kiɔ33"	
"脚"	"宕开三入药见"	"kʰa33"	"kʰa45"	"kʰa24"	"kʰa33"	
"强～大"	"宕开三平阳群"	"kʰiaŋ22"	"kʰiaŋ24"	"kʰiaŋ22"	"kʰiaŋ22"	
"香"	"宕开三平阳晓"	"pʰaŋ33/hiaŋ33"	"pʰaŋ45"	"hio24/pʰaŋ24"	"hiɔ33"	
"乡"	"宕开三平阳晓"	"hiaŋ33"	"hyo45"	"hiaŋ24"	"hiɔ33"	
"响"	"宕开三上养晓"	"hiaŋ31"	"hiaŋ451"	"hiaŋ41"	"hiaŋ31"	
"向"	"宕开三去漾晓"	"hiaŋ44"	"hyo31"	"hio21"	"hiɔ44"	
"秧"	"宕开三平阳影"	"oŋ33"	"yo45"	"o24"	"oŋ33"	
"约"	"宕开三入药影"	"iak5"	"iak5"	"iok5"	"ɛk5"	
"羊"	"宕开三平阳以"	"iŋ22"	"yo24"	"io22"	"iɔ22"	
"杨"	"宕开三平阳以"	"iɛu22"	"iaŋ24"	"jiaŋ22"	"iɔ22"	
"痒"	"宕开三上养以"	"niap5"	"ʦyo24"	"ʦio22"	"ȵiap5"	
"样"	"宕开三去漾以"	"jiaŋ42"	"iaŋ451"	"io24"	"iɔ33"	
"光"	"宕合一平唐见"	"kuaŋ33"	"kui45"	"kui24/kuaŋ24"	"kui33/kuɔŋ453"	
"郭"	"宕合一入铎见"	"kuak5"	"kak5"	"kuɛk5"	"kɔk5"	
"荒"	"宕合一平唐晓"	"huaŋ33"	"hoŋ45"	"huaŋ24"	"fɔŋ33"	
"谎"	"宕合一上宕晓"	"huaŋ31"	"hoŋ45"	"huaŋ41"	"——"	
"黄"	"宕合一平唐匣"	"ui22"	"ui24"	"ui22"	"ui22"	
"方"	"宕合三平阳非"	"huaŋ33/paŋ33"	"hoŋ45"	"paŋ24/ɓaŋ24"	"ɓaŋ33/fɔ33/fɔŋ33"	
"放"	"宕合三去漾非"	"paŋ44"	"paŋ31"	"paŋ21"	"ɓaŋ44"	
"纺"	"宕合三上养敷"	"huaŋ31"	"hoŋ451"	"ɓaŋ41"	"pʰaŋ31"	
"房"	"宕合三平阳奉"	"paŋ22"	"paŋ24"	"paŋ22"	"ɓaŋ22"	
